LVMAMI, G, 0, -inf, -inf, inf
S7OMXL, Y, 4, 13, -4, 1
D7D114, O, 3, 1, -4, 1
WPZNJO, O, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
WPZNJO, P, 4, 1, -4, 1
D7D114, O, 3, 1, -4, 1
WPZNJO, R, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
WPZNJO, Y, 4, 13, -4, 1
D7D114, O, 3, 1, -4, 1
KP3JSP, B, 2, 1, 1, inf
D7D114, P, 3, inf, 1, inf
NM911U, B, 4, 7, 1, inf
D7D114, P, 3, 7, 1, 7
NM911U, O, 4, 11, 1, 7
D7D114, P, 3, 7, 1, 7
NM911U, R, 4, 11, 1, 7
D7D114, P, 3, 7, 1, 7
NM911U, Y, 4, 12, 1, 7
D7D114, P, 3, 7, 1, 7
O4CNQU, G, 4, 10, 1, 7
D7D114, P, 3, 7, 1, 7
O4CNQU, O, 4, 11, 1, 7
D7D114, P, 3, 7, 1, 7
O4CNQU, R, 4, 11, 1, 7
D7D114, P, 3, 7, 1, 7
O4CNQU, Y, 4, 12, 1, 7
D7D114, P, 3, 7, 1, 7
OS4JN0, O, 4, 11, 1, 7
D7D114, P, 3, 7, 1, 7
OS4JN0, P, 4, 0, 1, 7
D7D114, P, 3, 0, 1, 7
KP3JSP, B, 2, 1, 1, inf
D7D114, R, 3, inf, 1, inf
NM911U, B, 4, 5, 1, inf
D7D114, R, 3, 5, 1, 5
NM911U, O, 4, 9, 1, 5
D7D114, R, 3, 5, 1, 5
NM911U, P, 4, -2, 1, 5
D7D114, R, 3, -2, 1, 5
KP3JSP, B, 2, 1, 1, inf
D7D114, Y, 3, inf, 1, inf
NM911U, B, 4, -2, 1, inf
D7D114, Y, 3, -2, 1, inf
KP3JSP, B, 2, 1, 1, inf
NM911U, B, 3, inf, 1, inf
D7D114, G, 4, 10, 1, inf
NM911U, B, 3, 10, 1, 10
D7D114, O, 4, 11, 1, 10
NM911U, B, 3, 10, 1, 10
D7D114, P, 4, 0, 1, 10
NM911U, B, 3, 0, 1, 10
KP3JSP, B, 2, 1, 1, inf
NM911U, O, 3, inf, 1, inf
D7D114, G, 4, 11, 1, inf
NM911U, O, 3, 11, 1, 11
D7D114, P, 4, 1, 1, 11
NM911U, O, 3, 1, 1, 11
KP3JSP, B, 2, 1, 1, inf
NM911U, P, 3, inf, 1, inf
D7D114, G, 4, 10, 1, inf
NM911U, P, 3, 10, 1, 10
D7D114, O, 4, 11, 1, 10
NM911U, P, 3, 10, 1, 10
D7D114, R, 4, 11, 1, 10
NM911U, P, 3, 10, 1, 10
D7D114, Y, 4, 12, 1, 10
NM911U, P, 3, 10, 1, 10
O4CNQU, G, 4, 10, 1, 10
NM911U, P, 3, 10, 1, 10
O4CNQU, O, 4, 11, 1, 10
NM911U, P, 3, 10, 1, 10
O4CNQU, P, 4, 0, 1, 10
NM911U, P, 3, 0, 1, 10
KP3JSP, B, 2, 1, 1, inf
NM911U, R, 3, inf, 1, inf
D7D114, G, 4, 8, 1, inf
NM911U, R, 3, 8, 1, 8
D7D114, O, 4, 9, 1, 8
NM911U, R, 3, 8, 1, 8
D7D114, P, 4, -2, 1, 8
NM911U, R, 3, -2, 1, 8
KP3JSP, B, 2, 1, 1, inf
NM911U, Y, 3, inf, 1, inf
D7D114, G, 4, 1, 1, inf
NM911U, Y, 3, 1, 1, inf
KP3JSP, B, 2, 1, 1, inf
O4CNQU, G, 3, inf, 1, inf
D7D114, O, 4, 7, 1, inf
O4CNQU, G, 3, 7, 1, 7
D7D114, P, 4, -4, 1, 7
O4CNQU, G, 3, -4, 1, 7
KP3JSP, B, 2, 1, 1, inf
O4CNQU, O, 3, inf, 1, inf
D7D114, G, 4, 11, 1, inf
O4CNQU, O, 3, 11, 1, 11
D7D114, P, 4, 1, 1, 11
O4CNQU, O, 3, 1, 1, 11
KP3JSP, B, 2, 1, 1, inf
O4CNQU, P, 3, inf, 1, inf
D7D114, G, 4, 10, 1, inf
O4CNQU, P, 3, 10, 1, 10
D7D114, O, 4, 11, 1, 10
O4CNQU, P, 3, 10, 1, 10
D7D114, R, 4, 11, 1, 10
O4CNQU, P, 3, 10, 1, 10
D7D114, Y, 4, 12, 1, 10
O4CNQU, P, 3, 10, 1, 10
METYNL, B, 4, 7, 1, 10
O4CNQU, P, 3, 7, 1, 7
METYNL, G, 4, 10, 1, 7
O4CNQU, P, 3, 7, 1, 7
METYNL, O, 4, 11, 1, 7
O4CNQU, P, 3, 7, 1, 7
METYNL, R, 4, 11, 1, 7
O4CNQU, P, 3, 7, 1, 7
METYNL, Y, 4, 12, 1, 7
O4CNQU, P, 3, 7, 1, 7
NM911U, B, 4, 7, 1, 7
O4CNQU, P, 3, 7, 1, 7
NM911U, O, 4, 11, 1, 7
O4CNQU, P, 3, 7, 1, 7
NM911U, P, 4, 0, 1, 7
O4CNQU, P, 3, 0, 1, 7
KP3JSP, B, 2, 1, 1, inf
O4CNQU, R, 3, inf, 1, inf
D7D114, G, 4, 8, 1, inf
O4CNQU, R, 3, 8, 1, 8
D7D114, O, 4, 9, 1, 8
O4CNQU, R, 3, 8, 1, 8
D7D114, P, 4, -2, 1, 8
O4CNQU, R, 3, -2, 1, 8
KP3JSP, B, 2, 1, 1, inf
O4CNQU, Y, 3, inf, 1, inf
D7D114, G, 4, 1, 1, inf
O4CNQU, Y, 3, 1, 1, inf
KP3JSP, B, 2, 1, 1, inf
OS4JN0, O, 3, inf, 1, inf
0LLBL6, B, 4, 8, 1, inf
OS4JN0, O, 3, 8, 1, 8
0LLBL6, G, 4, 11, 1, 8
OS4JN0, O, 3, 8, 1, 8
0LLBL6, P, 4, 1, 1, 8
OS4JN0, O, 3, 1, 1, 8
KP3JSP, B, 2, 1, 1, inf
OS4JN0, P, 3, inf, 1, inf
0LLBL6, B, 4, 7, 1, inf
OS4JN0, P, 3, 7, 1, 7
0LLBL6, G, 4, 10, 1, 7
OS4JN0, P, 3, 7, 1, 7
0LLBL6, O, 4, 11, 1, 7
OS4JN0, P, 3, 7, 1, 7
0LLBL6, R, 4, 11, 1, 7
OS4JN0, P, 3, 7, 1, 7
0LLBL6, Y, 4, 12, 1, 7
OS4JN0, P, 3, 7, 1, 7
4B7VN5, B, 4, 7, 1, 7
OS4JN0, P, 3, 7, 1, 7
4B7VN5, G, 4, 10, 1, 7
OS4JN0, P, 3, 7, 1, 7
4B7VN5, O, 4, 11, 1, 7
OS4JN0, P, 3, 7, 1, 7
4B7VN5, R, 4, 11, 1, 7
OS4JN0, P, 3, 7, 1, 7
4B7VN5, Y, 4, 12, 1, 7
OS4JN0, P, 3, 7, 1, 7
COPC81, B, 4, 7, 1, 7
OS4JN0, P, 3, 7, 1, 7
COPC81, G, 4, 10, 1, 7
OS4JN0, P, 3, 7, 1, 7
COPC81, O, 4, 11, 1, 7
OS4JN0, P, 3, 7, 1, 7
COPC81, R, 4, 11, 1, 7
OS4JN0, P, 3, 7, 1, 7
COPC81, Y, 4, 12, 1, 7
OS4JN0, P, 3, 7, 1, 7
D7D114, G, 4, 10, 1, 7
OS4JN0, P, 3, 7, 1, 7
D7D114, O, 4, 11, 1, 7
OS4JN0, P, 3, 7, 1, 7
D7D114, P, 4, 0, 1, 7
OS4JN0, P, 3, 0, 1, 7
KP3JSP, B, 2, 1, 1, inf
OS4JN0, R, 3, inf, 1, inf
0LLBL6, B, 4, 5, 1, inf
OS4JN0, R, 3, 5, 1, 5
0LLBL6, G, 4, 8, 1, 5
OS4JN0, R, 3, 5, 1, 5
0LLBL6, O, 4, 9, 1, 5
OS4JN0, R, 3, 5, 1, 5
0LLBL6, P, 4, -2, 1, 5
OS4JN0, R, 3, -2, 1, 5
KP3JSP, B, 2, 1, 1, inf
OS4JN0, Y, 3, inf, 1, inf
0LLBL6, B, 4, -2, 1, inf
OS4JN0, Y, 3, -2, 1, inf
KP3JSP, B, 2, 1, 1, inf
PUUAOM, B, 3, inf, 1, inf
COPC81, G, 4, 10, 1, inf
PUUAOM, B, 3, 10, 1, 10
COPC81, O, 4, 11, 1, 10
PUUAOM, B, 3, 10, 1, 10
COPC81, P, 4, 0, 1, 10
PUUAOM, B, 3, 0, 1, 10
KP3JSP, B, 2, 1, 1, inf
PUUAOM, O, 3, inf, 1, inf
COPC81, B, 4, 8, 1, inf
PUUAOM, O, 3, 8, 1, 8
COPC81, G, 4, 11, 1, 8
PUUAOM, O, 3, 8, 1, 8
COPC81, P, 4, 1, 1, 8
PUUAOM, O, 3, 1, 1, 8
KP3JSP, B, 2, 1, 1, inf
PUUAOM, P, 3, inf, 1, inf
COPC81, B, 4, 7, 1, inf
PUUAOM, P, 3, 7, 1, 7
COPC81, G, 4, 10, 1, 7
PUUAOM, P, 3, 7, 1, 7
COPC81, O, 4, 11, 1, 7
PUUAOM, P, 3, 7, 1, 7
COPC81, R, 4, 11, 1, 7
PUUAOM, P, 3, 7, 1, 7
COPC81, Y, 4, 12, 1, 7
PUUAOM, P, 3, 7, 1, 7
D7D114, G, 4, 10, 1, 7
PUUAOM, P, 3, 7, 1, 7
D7D114, O, 4, 11, 1, 7
PUUAOM, P, 3, 7, 1, 7
D7D114, R, 4, 11, 1, 7
PUUAOM, P, 3, 7, 1, 7
D7D114, Y, 4, 12, 1, 7
PUUAOM, P, 3, 7, 1, 7
NM911U, B, 4, 7, 1, 7
PUUAOM, P, 3, 7, 1, 7
NM911U, O, 4, 11, 1, 7
PUUAOM, P, 3, 7, 1, 7
NM911U, P, 4, 0, 1, 7
PUUAOM, P, 3, 0, 1, 7
KP3JSP, B, 2, 1, 1, inf
PUUAOM, R, 3, inf, 1, inf
COPC81, B, 4, 5, 1, inf
PUUAOM, R, 3, 5, 1, 5
COPC81, G, 4, 8, 1, 5
PUUAOM, R, 3, 5, 1, 5
COPC81, O, 4, 9, 1, 5
PUUAOM, R, 3, 5, 1, 5
COPC81, P, 4, -2, 1, 5
PUUAOM, R, 3, -2, 1, 5
KP3JSP, B, 2, 1, 1, inf
PUUAOM, Y, 3, inf, 1, inf
COPC81, B, 4, -2, 1, inf
PUUAOM, Y, 3, -2, 1, inf
KP3JSP, B, 2, 1, 1, inf
S7OMXL, G, 3, inf, 1, inf
D7D114, G, 4, 6, 1, inf
S7OMXL, G, 3, 6, 1, 6
D7D114, O, 4, 7, 1, 6
S7OMXL, G, 3, 6, 1, 6
D7D114, P, 4, -4, 1, 6
S7OMXL, G, 3, -4, 1, 6
KP3JSP, B, 2, 1, 1, inf
S7OMXL, O, 3, inf, 1, inf
D7D114, G, 4, 11, 1, inf
S7OMXL, O, 3, 11, 1, 11
D7D114, O, 4, 12, 1, 11
S7OMXL, O, 3, 11, 1, 11
D7D114, P, 4, 1, 1, 11
S7OMXL, O, 3, 1, 1, 11
KP3JSP, B, 2, 1, 1, inf
S7OMXL, P, 3, inf, 1, inf
D7D114, G, 4, 10, 1, inf
S7OMXL, P, 3, 10, 1, 10
D7D114, O, 4, 11, 1, 10
S7OMXL, P, 3, 10, 1, 10
D7D114, P, 4, 0, 1, 10
S7OMXL, P, 3, 0, 1, 10
KP3JSP, B, 2, 1, 1, inf
S7OMXL, R, 3, inf, 1, inf
D7D114, G, 4, 8, 1, inf
S7OMXL, R, 3, 8, 1, 8
D7D114, O, 4, 9, 1, 8
S7OMXL, R, 3, 8, 1, 8
D7D114, P, 4, -2, 1, 8
S7OMXL, R, 3, -2, 1, 8
KP3JSP, B, 2, 1, 1, inf
S7OMXL, Y, 3, inf, 1, inf
D7D114, G, 4, 1, 1, inf
S7OMXL, Y, 3, 1, 1, inf
KP3JSP, B, 2, 1, 1, inf
WPZNJO, O, 3, inf, 1, inf
0LLBL6, B, 4, 8, 1, inf
WPZNJO, O, 3, 8, 1, 8
0LLBL6, G, 4, 11, 1, 8
WPZNJO, O, 3, 8, 1, 8
0LLBL6, P, 4, 1, 1, 8
WPZNJO, O, 3, 1, 1, 8
KP3JSP, B, 2, 1, 1, inf
WPZNJO, P, 3, inf, 1, inf
0LLBL6, B, 4, 7, 1, inf
WPZNJO, P, 3, 7, 1, 7
0LLBL6, G, 4, 10, 1, 7
WPZNJO, P, 3, 7, 1, 7
0LLBL6, O, 4, 11, 1, 7
WPZNJO, P, 3, 7, 1, 7
0LLBL6, R, 4, 11, 1, 7
WPZNJO, P, 3, 7, 1, 7
0LLBL6, Y, 4, 12, 1, 7
WPZNJO, P, 3, 7, 1, 7
COPC81, B, 4, 7, 1, 7
WPZNJO, P, 3, 7, 1, 7
COPC81, G, 4, 10, 1, 7
WPZNJO, P, 3, 7, 1, 7
COPC81, O, 4, 11, 1, 7
WPZNJO, P, 3, 7, 1, 7
COPC81, R, 4, 11, 1, 7
WPZNJO, P, 3, 7, 1, 7
COPC81, Y, 4, 12, 1, 7
WPZNJO, P, 3, 7, 1, 7
D7D114, G, 4, 10, 1, 7
WPZNJO, P, 3, 7, 1, 7
D7D114, O, 4, 11, 1, 7
WPZNJO, P, 3, 7, 1, 7
D7D114, P, 4, 0, 1, 7
WPZNJO, P, 3, 0, 1, 7
KP3JSP, B, 2, 1, 1, inf
WPZNJO, R, 3, inf, 1, inf
0LLBL6, B, 4, 5, 1, inf
WPZNJO, R, 3, 5, 1, 5
0LLBL6, G, 4, 8, 1, 5
WPZNJO, R, 3, 5, 1, 5
0LLBL6, O, 4, 9, 1, 5
WPZNJO, R, 3, 5, 1, 5
0LLBL6, P, 4, -2, 1, 5
WPZNJO, R, 3, -2, 1, 5
KP3JSP, B, 2, 1, 1, inf
WPZNJO, Y, 3, inf, 1, inf
0LLBL6, B, 4, -2, 1, inf
WPZNJO, Y, 3, -2, 1, inf
KP3JSP, B, 2, 1, 1, inf
EM53QA, B, 1, 1, -inf, 1
KP3JSP, O, 2, -inf, -inf, 1
D7D114, B, 3, inf, -inf, 1
NM911U, O, 4, 15, -inf, 1
D7D114, B, 3, 15, -inf, 1
NM911U, P, 4, 4, -inf, 1
D7D114, B, 3, 4, -inf, 1
NM911U, R, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
NM911U, Y, 4, 16, -inf, 1
D7D114, B, 3, 4, -inf, 1
O4CNQU, G, 4, 14, -inf, 1
D7D114, B, 3, 4, -inf, 1
O4CNQU, O, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
O4CNQU, P, 4, 4, -inf, 1
D7D114, B, 3, 4, -inf, 1
O4CNQU, R, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
O4CNQU, Y, 4, 16, -inf, 1
D7D114, B, 3, 4, -inf, 1
OS4JN0, O, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
OS4JN0, P, 4, 4, -inf, 1
D7D114, B, 3, 4, -inf, 1
OS4JN0, R, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
OS4JN0, Y, 4, 16, -inf, 1
D7D114, B, 3, 4, -inf, 1
PUUAOM, O, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
PUUAOM, P, 4, 4, -inf, 1
D7D114, B, 3, 4, -inf, 1
PUUAOM, R, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
PUUAOM, Y, 4, 16, -inf, 1
D7D114, B, 3, 4, -inf, 1
S7OMXL, G, 4, 14, -inf, 1
D7D114, B, 3, 4, -inf, 1
S7OMXL, P, 4, 4, -inf, 1
D7D114, B, 3, 4, -inf, 1
S7OMXL, R, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
S7OMXL, Y, 4, 16, -inf, 1
D7D114, B, 3, 4, -inf, 1
WPZNJO, B, 4, 11, -inf, 1
D7D114, B, 3, 4, -inf, 1
WPZNJO, P, 4, 4, -inf, 1
D7D114, B, 3, 4, -inf, 1
WPZNJO, R, 4, 15, -inf, 1
D7D114, B, 3, 4, -inf, 1
WPZNJO, Y, 4, 16, -inf, 1
D7D114, B, 3, 4, -inf, 1
KP3JSP, O, 2, 4, -inf, 1
EM53QA, B, 1, 1, -inf, 1
KP3JSP, P, 2, -inf, -inf, 1
D7D114, B, 3, inf, -inf, 1
NM911U, O, 4, 4, -inf, 1
D7D114, B, 3, 4, -inf, 1
NM911U, P, 4, -7, -inf, 1
D7D114, B, 3, -7, -inf, -7
NM911U, R, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
NM911U, Y, 4, 5, -inf, -7
D7D114, B, 3, -7, -inf, -7
O4CNQU, G, 4, 3, -inf, -7
D7D114, B, 3, -7, -inf, -7
O4CNQU, O, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
O4CNQU, P, 4, -7, -inf, -7
D7D114, B, 3, -7, -inf, -7
O4CNQU, R, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
O4CNQU, Y, 4, 5, -inf, -7
D7D114, B, 3, -7, -inf, -7
OS4JN0, O, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
OS4JN0, P, 4, -7, -inf, -7
D7D114, B, 3, -7, -inf, -7
OS4JN0, R, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
OS4JN0, Y, 4, 5, -inf, -7
D7D114, B, 3, -7, -inf, -7
PUUAOM, O, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
PUUAOM, P, 4, -7, -inf, -7
D7D114, B, 3, -7, -inf, -7
PUUAOM, R, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
PUUAOM, Y, 4, 5, -inf, -7
D7D114, B, 3, -7, -inf, -7
S7OMXL, G, 4, 3, -inf, -7
D7D114, B, 3, -7, -inf, -7
S7OMXL, O, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
S7OMXL, R, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
S7OMXL, Y, 4, 5, -inf, -7
D7D114, B, 3, -7, -inf, -7
WPZNJO, B, 4, 0, -inf, -7
D7D114, B, 3, -7, -inf, -7
WPZNJO, O, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
WPZNJO, R, 4, 4, -inf, -7
D7D114, B, 3, -7, -inf, -7
WPZNJO, Y, 4, 5, -inf, -7
D7D114, B, 3, -7, -inf, -7
KP3JSP, P, 2, -7, -7, 1
D7D114, G, 3, inf, -7, 1
NM911U, B, 4, -4, -7, 1
D7D114, G, 3, -4, -7, -4
NM911U, O, 4, 0, -7, -4
D7D114, G, 3, -4, -7, -4
NM911U, P, 4, -11, -7, -4
D7D114, G, 3, -11, -7, -4
KP3JSP, P, 2, -7, -7, 1
D7D114, O, 3, inf, -7, 1
NM911U, B, 4, 1, -7, 1
D7D114, O, 3, 1, -7, 1
NM911U, P, 4, -6, -7, 1
D7D114, O, 3, -6, -7, -6
NM911U, R, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
NM911U, Y, 4, 6, -7, -6
D7D114, O, 3, -6, -7, -6
O4CNQU, G, 4, 4, -7, -6
D7D114, O, 3, -6, -7, -6
O4CNQU, P, 4, -6, -7, -6
D7D114, O, 3, -6, -7, -6
O4CNQU, R, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
O4CNQU, Y, 4, 6, -7, -6
D7D114, O, 3, -6, -7, -6
OS4JN0, O, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
OS4JN0, P, 4, -6, -7, -6
D7D114, O, 3, -6, -7, -6
OS4JN0, R, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
OS4JN0, Y, 4, 6, -7, -6
D7D114, O, 3, -6, -7, -6
PUUAOM, B, 4, 1, -7, -6
D7D114, O, 3, -6, -7, -6
PUUAOM, P, 4, -6, -7, -6
D7D114, O, 3, -6, -7, -6
PUUAOM, R, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
PUUAOM, Y, 4, 6, -7, -6
D7D114, O, 3, -6, -7, -6
S7OMXL, G, 4, 4, -7, -6
D7D114, O, 3, -6, -7, -6
S7OMXL, O, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
S7OMXL, R, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
S7OMXL, Y, 4, 6, -7, -6
D7D114, O, 3, -6, -7, -6
WPZNJO, B, 4, 1, -7, -6
D7D114, O, 3, -6, -7, -6
WPZNJO, O, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
WPZNJO, R, 4, 5, -7, -6
D7D114, O, 3, -6, -7, -6
WPZNJO, Y, 4, 6, -7, -6
D7D114, O, 3, -6, -7, -6
KP3JSP, P, 2, -6, -6, 1
D7D114, R, 3, inf, -6, 1
NM911U, B, 4, -2, -6, 1
D7D114, R, 3, -2, -6, -2
NM911U, O, 4, 2, -6, -2
D7D114, R, 3, -2, -6, -2
NM911U, P, 4, -9, -6, -2
D7D114, R, 3, -9, -6, -2
KP3JSP, P, 2, -6, -6, 1
D7D114, Y, 3, inf, -6, 1
NM911U, B, 4, -9, -6, 1
D7D114, Y, 3, -9, -6, 1
KP3JSP, P, 2, -6, -6, 1
NM911U, B, 3, inf, -6, 1
D7D114, G, 4, 3, -6, 1
NM911U, B, 3, 3, -6, 1
D7D114, O, 4, 4, -6, 1
NM911U, B, 3, 3, -6, 1
D7D114, R, 4, 4, -6, 1
NM911U, B, 3, 3, -6, 1
D7D114, Y, 4, 5, -6, 1
NM911U, B, 3, 3, -6, 1
O4CNQU, G, 4, 3, -6, 1
NM911U, B, 3, 3, -6, 1
O4CNQU, O, 4, 4, -6, 1
NM911U, B, 3, 3, -6, 1
O4CNQU, P, 4, -7, -6, 1
NM911U, B, 3, -7, -6, 1
KP3JSP, P, 2, -6, -6, 1
NM911U, O, 3, inf, -6, 1
D7D114, B, 4, 1, -6, 1
NM911U, O, 3, 1, -6, 1
D7D114, G, 4, 4, -6, 1
NM911U, O, 3, 1, -6, 1
D7D114, R, 4, 5, -6, 1
NM911U, O, 3, 1, -6, 1
D7D114, Y, 4, 6, -6, 1
NM911U, O, 3, 1, -6, 1
O4CNQU, G, 4, 4, -6, 1
NM911U, O, 3, 1, -6, 1
O4CNQU, O, 4, 5, -6, 1
NM911U, O, 3, 1, -6, 1
O4CNQU, P, 4, -6, -6, 1
NM911U, O, 3, -6, -6, 1
KP3JSP, P, 2, -6, -6, 1
NM911U, P, 3, inf, -6, 1
D7D114, B, 4, 0, -6, 1
NM911U, P, 3, 0, -6, 0
D7D114, G, 4, 3, -6, 0
NM911U, P, 3, 0, -6, 0
D7D114, O, 4, 4, -6, 0
NM911U, P, 3, 0, -6, 0
D7D114, R, 4, 4, -6, 0
NM911U, P, 3, 0, -6, 0
D7D114, Y, 4, 5, -6, 0
NM911U, P, 3, 0, -6, 0
O4CNQU, G, 4, 3, -6, 0
NM911U, P, 3, 0, -6, 0
O4CNQU, O, 4, 4, -6, 0
NM911U, P, 3, 0, -6, 0
O4CNQU, P, 4, -7, -6, 0
NM911U, P, 3, -7, -6, 0
KP3JSP, P, 2, -6, -6, 1
NM911U, R, 3, inf, -6, 1
D7D114, B, 4, -2, -6, 1
NM911U, R, 3, -2, -6, -2
D7D114, G, 4, 1, -6, -2
NM911U, R, 3, -2, -6, -2
D7D114, O, 4, 2, -6, -2
NM911U, R, 3, -2, -6, -2
D7D114, Y, 4, 3, -6, -2
NM911U, R, 3, -2, -6, -2
O4CNQU, G, 4, 1, -6, -2
NM911U, R, 3, -2, -6, -2
O4CNQU, O, 4, 2, -6, -2
NM911U, R, 3, -2, -6, -2
O4CNQU, P, 4, -9, -6, -2
NM911U, R, 3, -9, -6, -2
KP3JSP, P, 2, -6, -6, 1
NM911U, Y, 3, inf, -6, 1
D7D114, B, 4, -9, -6, 1
NM911U, Y, 3, -9, -6, 1
KP3JSP, P, 2, -6, -6, 1
O4CNQU, G, 3, inf, -6, 1
