LL8ENE, G, 0, -inf, -inf, inf
8R6FXF, Y, 3, inf, 6, inf
9CY2PD, B, 4, 9, 6, inf
8R6FXF, Y, 3, 9, 6, 9
9CY2PD, G, 4, 16, 6, 9
8R6FXF, Y, 3, 9, 6, 9
9UVODX, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
9UVODX, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
DNW5WH, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
DNW5WH, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
DNW5WH, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
ECOZUU, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
ECOZUU, G, 4, 16, 6, 9
8R6FXF, Y, 3, 9, 6, 9
ECOZUU, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
GJ9DGA, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
GJ9DGA, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
GJ9DGA, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
KT9A9E, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
KT9A9E, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
LE239A, G, 4, 16, 6, 9
8R6FXF, Y, 3, 9, 6, 9
LE239A, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
M8HDRJ, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
M8HDRJ, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
NJ5QCS, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
NJ5QCS, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
NJ5QCS, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
QCVGNN, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
QCVGNN, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
QCVGNN, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
S6712X, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
S6712X, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
S6712X, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
STE00G, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
STE00G, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
STE00G, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
TWGO8A, G, 4, 16, 6, 9
8R6FXF, Y, 3, 9, 6, 9
TWGO8A, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
US40UL, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
W61GK1, G, 4, 16, 6, 9
8R6FXF, Y, 3, 9, 6, 9
W61GK1, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
W61GK1, Y, 4, 13, 6, 9
8R6FXF, Y, 3, 9, 6, 9
XI2AYM, B, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
XI2AYM, R, 4, 9, 6, 9
8R6FXF, Y, 3, 9, 6, 9
31Z0WX, G, 2, 9, 9, inf
9CY2PD, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
9CY2PD, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
9CY2PD, G, 3, inf, 9, inf
8R6FXF, R, 4, 6, 9, inf
9CY2PD, G, 3, 6, 9, inf
31Z0WX, G, 2, 9, 9, inf
9CY2PD, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
9CY2PD, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
9CY2PD, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
9UVODX, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
9UVODX, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
9UVODX, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
9UVODX, R, 3, 13, 9, 13
8R6FXF, Y, 4, 10, 9, 13
9UVODX, R, 3, 10, 9, 10
9CY2PD, B, 4, 6, 9, 10
9UVODX, R, 3, 6, 9, 10
31Z0WX, G, 2, 9, 9, inf
9UVODX, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
9UVODX, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
9UVODX, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
DNW5WH, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
DNW5WH, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
DNW5WH, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
DNW5WH, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
DNW5WH, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
DNW5WH, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
DNW5WH, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
DNW5WH, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
GJ9DGA, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
GJ9DGA, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
GJ9DGA, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
GJ9DGA, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
GJ9DGA, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
GJ9DGA, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
GJ9DGA, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
GJ9DGA, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
KT9A9E, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
KT9A9E, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
KT9A9E, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
KT9A9E, R, 3, 13, 9, 13
8R6FXF, Y, 4, 10, 9, 13
KT9A9E, R, 3, 10, 9, 10
9CY2PD, B, 4, 6, 9, 10
KT9A9E, R, 3, 6, 9, 10
31Z0WX, G, 2, 9, 9, inf
KT9A9E, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
KT9A9E, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
KT9A9E, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
LE239A, G, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
LE239A, G, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
LE239A, G, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
LE239A, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
LE239A, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
LE239A, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
M8HDRJ, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
M8HDRJ, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
M8HDRJ, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
M8HDRJ, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
M8HDRJ, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
M8HDRJ, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
NJ5QCS, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
NJ5QCS, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
NJ5QCS, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
NJ5QCS, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
NJ5QCS, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
NJ5QCS, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
NJ5QCS, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
NJ5QCS, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
QCVGNN, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
QCVGNN, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
QCVGNN, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
QCVGNN, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
QCVGNN, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
QCVGNN, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
QCVGNN, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
QCVGNN, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
S6712X, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
S6712X, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
S6712X, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
S6712X, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
S6712X, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
S6712X, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
S6712X, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
S6712X, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
STE00G, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
STE00G, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
STE00G, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
STE00G, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
STE00G, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
STE00G, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
STE00G, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
STE00G, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
TWGO8A, G, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
TWGO8A, G, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
TWGO8A, G, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
TWGO8A, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
TWGO8A, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
TWGO8A, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
US40UL, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
US40UL, R, 3, 13, 9, 13
8R6FXF, Y, 4, 10, 9, 13
US40UL, R, 3, 10, 9, 10
9CY2PD, B, 4, 6, 9, 10
US40UL, R, 3, 6, 9, 10
31Z0WX, G, 2, 9, 9, inf
US40UL, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
US40UL, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
US40UL, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
W61GK1, G, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
W61GK1, G, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
W61GK1, G, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
W61GK1, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
W61GK1, R, 3, 13, 9, 13
8R6FXF, R, 4, 6, 9, 13
W61GK1, R, 3, 6, 9, 13
31Z0WX, G, 2, 9, 9, inf
W61GK1, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
W61GK1, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
W61GK1, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
XI2AYM, B, 3, inf, 9, inf
8R6FXF, G, 4, 5, 9, inf
XI2AYM, B, 3, 5, 9, inf
31Z0WX, G, 2, 9, 9, inf
XI2AYM, R, 3, inf, 9, inf
8R6FXF, G, 4, 13, 9, inf
XI2AYM, R, 3, 13, 9, 13
8R6FXF, Y, 4, 10, 9, 13
XI2AYM, R, 3, 10, 9, 10
9CY2PD, B, 4, 6, 9, 10
XI2AYM, R, 3, 6, 9, 10
31Z0WX, G, 2, 9, 9, inf
XI2AYM, Y, 3, inf, 9, inf
8R6FXF, G, 4, 16, 9, inf
XI2AYM, Y, 3, 16, 9, 16
8R6FXF, R, 4, 9, 9, 16
XI2AYM, Y, 3, 9, 9, 16
31Z0WX, G, 2, 9, 9, inf
7MBB7Q, B, 1, 9, -inf, 9
31Z0WX, R, 2, -inf, -inf, 9
8R6FXF, G, 3, inf, -inf, 9
9CY2PD, B, 4, -1, -inf, 9
8R6FXF, G, 3, -1, -inf, -1
9CY2PD, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
9UVODX, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
9UVODX, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
DNW5WH, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
DNW5WH, R, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
DNW5WH, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
ECOZUU, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
ECOZUU, R, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
ECOZUU, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
GJ9DGA, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
GJ9DGA, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
GJ9DGA, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
KT9A9E, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
KT9A9E, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
LE239A, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
LE239A, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
M8HDRJ, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
M8HDRJ, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
NJ5QCS, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
NJ5QCS, R, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
NJ5QCS, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
QCVGNN, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
QCVGNN, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
QCVGNN, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
S6712X, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
S6712X, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
S6712X, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
STE00G, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
STE00G, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
STE00G, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
TWGO8A, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
TWGO8A, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
US40UL, R, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
US40UL, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
W61GK1, G, 4, 6, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
W61GK1, R, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
W61GK1, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
XI2AYM, B, 4, -1, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
XI2AYM, Y, 4, 3, -inf, -1
8R6FXF, G, 3, -1, -inf, -1
31Z0WX, R, 2, -1, -1, 9
8R6FXF, R, 3, inf, -1, 9
9CY2PD, B, 4, -1, -1, 9
8R6FXF, R, 3, -1, -1, 9
31Z0WX, R, 2, -1, -1, 9
8R6FXF, Y, 3, inf, -1, 9
9CY2PD, B, 4, 2, -1, 9
8R6FXF, Y, 3, 2, -1, 2
9CY2PD, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
9UVODX, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
9UVODX, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
DNW5WH, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
DNW5WH, R, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
DNW5WH, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
ECOZUU, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
ECOZUU, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
ECOZUU, R, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
GJ9DGA, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
GJ9DGA, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
GJ9DGA, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
KT9A9E, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
LE239A, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
LE239A, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
M8HDRJ, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
M8HDRJ, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
NJ5QCS, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
NJ5QCS, R, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
NJ5QCS, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
QCVGNN, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
QCVGNN, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
QCVGNN, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
S6712X, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
S6712X, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
S6712X, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
STE00G, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
STE00G, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
STE00G, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
TWGO8A, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
TWGO8A, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
US40UL, R, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
W61GK1, G, 4, 9, -1, 2
8R6FXF, Y, 3, 2, -1, 2
W61GK1, R, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
W61GK1, Y, 4, 6, -1, 2
8R6FXF, Y, 3, 2, -1, 2
XI2AYM, B, 4, 2, -1, 2
8R6FXF, Y, 3, 2, -1, 2
31Z0WX, R, 2, 2, 2, 9
9CY2PD, B, 3, inf, 2, 9
8R6FXF, G, 4, -2, 2, 9
9CY2PD, B, 3, -2, 2, 9
31Z0WX, R, 2, 2, 2, 9
9CY2PD, G, 3, inf, 2, 9
8R6FXF, R, 4, -1, 2, 9
9CY2PD, G, 3, -1, 2, 9
31Z0WX, R, 2, 2, 2, 9
9CY2PD, Y, 3, inf, 2, 9
8R6FXF, G, 4, 9, 2, 9
9CY2PD, Y, 3, 9, 2, 9
8R6FXF, R, 4, 2, 2, 9
9CY2PD, Y, 3, 2, 2, 9
31Z0WX, R, 2, 2, 2, 9
9UVODX, B, 3, inf, 2, 9
8R6FXF, G, 4, -2, 2, 9
9UVODX, B, 3, -2, 2, 9
31Z0WX, R, 2, 2, 2, 9
9UVODX, G, 3, inf, 2, 9
8R6FXF, R, 4, -1, 2, 9
9UVODX, G, 3, -1, 2, 9
31Z0WX, R, 2, 2, 2, 9
9UVODX, Y, 3, inf, 2, 9
8R6FXF, G, 4, 9, 2, 9
9UVODX, Y, 3, 9, 2, 9
8R6FXF, R, 4, 2, 2, 9
9UVODX, Y, 3, 2, 2, 9
31Z0WX, R, 2, 2, 2, 9
DNW5WH, B, 3, inf, 2, 9
8R6FXF, G, 4, -2, 2, 9
DNW5WH, B, 3, -2, 2, 9
31Z0WX, R, 2, 2, 2, 9
DNW5WH, R, 3, inf, 2, 9
8R6FXF, G, 4, 6, 2, 9
DNW5WH, R, 3, 6, 2, 6
8R6FXF, R, 4, -1, 2, 6
DNW5WH, R, 3, -1, 2, 6
31Z0WX, R, 2, 2, 2, 9
DNW5WH, Y, 3, inf, 2, 9
8R6FXF, G, 4, 9, 2, 9
DNW5WH, Y, 3, 9, 2, 9
8R6FXF, R, 4, 2, 2, 9
DNW5WH, Y, 3, 2, 2, 9
31Z0WX, R, 2, 2, 2, 9
GJ9DGA, B, 3, inf, 2, 9
8R6FXF, G, 4, -2, 2, 9
GJ9DGA, B, 3, -2, 2, 9
31Z0WX, R, 2, 2, 2, 9
GJ9DGA, G, 3, inf, 2, 9
8R6FXF, G, 4, 6, 2, 9
GJ9DGA, G, 3, 6, 2, 6
8R6FXF, R, 4, -1, 2, 6
GJ9DGA, G, 3, -1, 2, 6
31Z0WX, R, 2, 2, 2, 9
GJ9DGA, Y, 3, inf, 2, 9
8R6FXF, G, 4, 9, 2, 9
GJ9DGA, Y, 3, 9, 2, 9
8R6FXF, R, 4, 2, 2, 9
GJ9DGA, Y, 3, 2, 2, 9
31Z0WX, R, 2, 2, 2, 9
KT9A9E, B, 3, inf, 2, 9
8R6FXF, G, 4, -2, 2, 9
KT9A9E, B, 3, -2, 2, 9
31Z0WX, R, 2, 2, 2, 9
KT9A9E, Y, 3, inf, 2, 9
8R6FXF, G, 4, 9, 2, 9
KT9A9E, Y, 3, 9, 2, 9
8R6FXF, R, 4, 2, 2, 9
KT9A9E, Y, 3, 2, 2, 9
31Z0WX, R, 2, 2, 2, 9
LE239A, G, 3, inf, 2, 9
8R6FXF, G, 4, 6, 2, 9
LE239A, G, 3, 6, 2, 6
8R6FXF, R, 4, -1, 2, 6
LE239A, G, 3, -1, 2, 6
31Z0WX, R, 2, 2, 2, 9
LE239A, Y, 3, inf, 2, 9
8R6FXF, G, 4, 9, 2, 9
LE239A, Y, 3, 9, 2, 9
8R6FXF, R, 4, 2, 2, 9
LE239A, Y, 3, 2, 2, 9
31Z0WX, R, 2, 2, 2, 9
