39KZHL, G, 0, -inf, -inf, inf
F3HQ9T, B, 4, 3, -3, inf
ALDU5F, O, 3, 3, -3, 3
F3HQ9T, O, 4, -1, -3, 3
ALDU5F, O, 3, -1, -3, -1
F3HQ9T, P, 4, 2, -3, -1
ALDU5F, O, 3, -1, -3, -1
F3HQ9T, R, 4, -2, -3, -1
ALDU5F, O, 3, -2, -3, -2
F3HQ9T, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
I6XTP9, B, 4, 3, -3, -2
ALDU5F, O, 3, -2, -3, -2
I6XTP9, O, 4, -1, -3, -2
ALDU5F, O, 3, -2, -3, -2
I6XTP9, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
I6XTP9, R, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
I6XTP9, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
J3S4LL, B, 4, 3, -3, -2
ALDU5F, O, 3, -2, -3, -2
J3S4LL, O, 4, -1, -3, -2
ALDU5F, O, 3, -2, -3, -2
J3S4LL, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
J3S4LL, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
RIGQBQ, O, 4, -1, -3, -2
ALDU5F, O, 3, -2, -3, -2
RIGQBQ, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
RIGQBQ, R, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
RIGQBQ, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
S9OGAW, B, 4, 3, -3, -2
ALDU5F, O, 3, -2, -3, -2
S9OGAW, O, 4, -1, -3, -2
ALDU5F, O, 3, -2, -3, -2
S9OGAW, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
S9OGAW, R, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
S9OGAW, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
T0YVAQ, B, 4, 3, -3, -2
ALDU5F, O, 3, -2, -3, -2
T0YVAQ, O, 4, -1, -3, -2
ALDU5F, O, 3, -2, -3, -2
T0YVAQ, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
T0YVAQ, R, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
T0YVAQ, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
U1DPGK, O, 4, -1, -3, -2
ALDU5F, O, 3, -2, -3, -2
U1DPGK, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
U1DPGK, R, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
U1DPGK, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
U6W77E, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
U6W77E, R, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
U6W77E, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
ZWHEJ4, G, 4, 10, -3, -2
ALDU5F, O, 3, -2, -3, -2
ZWHEJ4, O, 4, -1, -3, -2
ALDU5F, O, 3, -2, -3, -2
ZWHEJ4, P, 4, 2, -3, -2
ALDU5F, O, 3, -2, -3, -2
ZWHEJ4, R, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
ZWHEJ4, Y, 4, -2, -3, -2
ALDU5F, O, 3, -2, -3, -2
89OO3B, G, 2, -2, -2, inf
ALDU5F, P, 3, inf, -2, inf
F3HQ9T, B, 4, 8, -2, inf
ALDU5F, P, 3, 8, -2, 8
F3HQ9T, O, 4, 4, -2, 8
ALDU5F, P, 3, 4, -2, 4
F3HQ9T, P, 4, 7, -2, 4
ALDU5F, P, 3, 4, -2, 4
F3HQ9T, R, 4, 3, -2, 4
ALDU5F, P, 3, 3, -2, 3
F3HQ9T, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
I6XTP9, B, 4, 8, -2, 3
ALDU5F, P, 3, 3, -2, 3
I6XTP9, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
I6XTP9, P, 4, 7, -2, 3
ALDU5F, P, 3, 3, -2, 3
I6XTP9, R, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
I6XTP9, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
J3S4LL, B, 4, 8, -2, 3
ALDU5F, P, 3, 3, -2, 3
J3S4LL, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
J3S4LL, P, 4, 7, -2, 3
ALDU5F, P, 3, 3, -2, 3
J3S4LL, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
RIGQBQ, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
RIGQBQ, P, 4, 7, -2, 3
ALDU5F, P, 3, 3, -2, 3
RIGQBQ, R, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
RIGQBQ, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
S9OGAW, B, 4, 8, -2, 3
ALDU5F, P, 3, 3, -2, 3
S9OGAW, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
S9OGAW, P, 4, 7, -2, 3
ALDU5F, P, 3, 3, -2, 3
S9OGAW, R, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
S9OGAW, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
T0YVAQ, B, 4, 8, -2, 3
ALDU5F, P, 3, 3, -2, 3
T0YVAQ, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
T0YVAQ, P, 4, 7, -2, 3
ALDU5F, P, 3, 3, -2, 3
T0YVAQ, R, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
T0YVAQ, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
U1DPGK, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
U1DPGK, P, 4, 7, -2, 3
ALDU5F, P, 3, 3, -2, 3
U1DPGK, R, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
U1DPGK, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
U6W77E, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
U6W77E, R, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
U6W77E, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
ZWHEJ4, G, 4, 15, -2, 3
ALDU5F, P, 3, 3, -2, 3
ZWHEJ4, O, 4, 4, -2, 3
ALDU5F, P, 3, 3, -2, 3
ZWHEJ4, P, 4, 7, -2, 3
ALDU5F, P, 3, 3, -2, 3
ZWHEJ4, R, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
ZWHEJ4, Y, 4, 3, -2, 3
ALDU5F, P, 3, 3, -2, 3
89OO3B, G, 2, 3, 3, inf
ALDU5F, R, 3, inf, 3, inf
F3HQ9T, B, 4, 8, 3, inf
ALDU5F, R, 3, 8, 3, 8
F3HQ9T, O, 4, 4, 3, 8
ALDU5F, R, 3, 4, 3, 4
F3HQ9T, P, 4, 7, 3, 4
ALDU5F, R, 3, 4, 3, 4
F3HQ9T, R, 4, 3, 3, 4
ALDU5F, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
ALDU5F, Y, 3, inf, 3, inf
F3HQ9T, B, 4, 4, 3, inf
ALDU5F, Y, 3, 4, 3, 4
F3HQ9T, O, 4, 0, 3, 4
ALDU5F, Y, 3, 0, 3, 4
89OO3B, G, 2, 3, 3, inf
F3HQ9T, B, 3, inf, 3, inf
ALDU5F, G, 4, 3, 3, inf
F3HQ9T, B, 3, 3, 3, inf
89OO3B, G, 2, 3, 3, inf
F3HQ9T, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
F3HQ9T, O, 3, 10, 3, 10
ALDU5F, O, 4, -1, 3, 10
F3HQ9T, O, 3, -1, 3, 10
89OO3B, G, 2, 3, 3, inf
F3HQ9T, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
F3HQ9T, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
F3HQ9T, P, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
F3HQ9T, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
F3HQ9T, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
F3HQ9T, R, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
F3HQ9T, R, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
F3HQ9T, R, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
F3HQ9T, R, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
F3HQ9T, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
F3HQ9T, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
F3HQ9T, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
F3HQ9T, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
I6XTP9, B, 3, inf, 3, inf
ALDU5F, G, 4, 3, 3, inf
I6XTP9, B, 3, 3, 3, inf
89OO3B, G, 2, 3, 3, inf
I6XTP9, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
I6XTP9, O, 3, 10, 3, 10
ALDU5F, O, 4, -1, 3, 10
I6XTP9, O, 3, -1, 3, 10
89OO3B, G, 2, 3, 3, inf
I6XTP9, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
I6XTP9, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
I6XTP9, P, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
I6XTP9, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
I6XTP9, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
I6XTP9, R, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
I6XTP9, R, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
I6XTP9, R, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
I6XTP9, R, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
I6XTP9, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
I6XTP9, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
I6XTP9, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
I6XTP9, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
J3S4LL, B, 3, inf, 3, inf
ALDU5F, G, 4, 3, 3, inf
J3S4LL, B, 3, 3, 3, inf
89OO3B, G, 2, 3, 3, inf
J3S4LL, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
J3S4LL, O, 3, 10, 3, 10
ALDU5F, O, 4, -1, 3, 10
J3S4LL, O, 3, -1, 3, 10
89OO3B, G, 2, 3, 3, inf
J3S4LL, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
J3S4LL, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
J3S4LL, P, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
J3S4LL, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
J3S4LL, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
J3S4LL, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
J3S4LL, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
J3S4LL, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
RIGQBQ, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
RIGQBQ, O, 3, 10, 3, 10
ALDU5F, O, 4, -1, 3, 10
RIGQBQ, O, 3, -1, 3, 10
89OO3B, G, 2, 3, 3, inf
RIGQBQ, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
RIGQBQ, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
RIGQBQ, P, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
RIGQBQ, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
RIGQBQ, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
RIGQBQ, R, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
RIGQBQ, R, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
RIGQBQ, R, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
RIGQBQ, R, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
RIGQBQ, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
RIGQBQ, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
RIGQBQ, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
RIGQBQ, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
S9OGAW, B, 3, inf, 3, inf
ALDU5F, G, 4, 3, 3, inf
S9OGAW, B, 3, 3, 3, inf
89OO3B, G, 2, 3, 3, inf
S9OGAW, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
S9OGAW, O, 3, 10, 3, 10
ALDU5F, O, 4, -1, 3, 10
S9OGAW, O, 3, -1, 3, 10
89OO3B, G, 2, 3, 3, inf
S9OGAW, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
S9OGAW, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
S9OGAW, P, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
S9OGAW, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
S9OGAW, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
S9OGAW, R, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
S9OGAW, R, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
S9OGAW, R, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
S9OGAW, R, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
S9OGAW, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
S9OGAW, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
S9OGAW, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
S9OGAW, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
T0YVAQ, B, 3, inf, 3, inf
ALDU5F, G, 4, 3, 3, inf
T0YVAQ, B, 3, 3, 3, inf
89OO3B, G, 2, 3, 3, inf
T0YVAQ, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
T0YVAQ, O, 3, 10, 3, 10
ALDU5F, O, 4, -1, 3, 10
T0YVAQ, O, 3, -1, 3, 10
89OO3B, G, 2, 3, 3, inf
T0YVAQ, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
T0YVAQ, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
T0YVAQ, P, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
T0YVAQ, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
T0YVAQ, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
T0YVAQ, R, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
T0YVAQ, R, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
T0YVAQ, R, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
T0YVAQ, R, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
T0YVAQ, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
T0YVAQ, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
T0YVAQ, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
T0YVAQ, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
U1DPGK, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
U1DPGK, O, 3, 10, 3, 10
ALDU5F, O, 4, -1, 3, 10
U1DPGK, O, 3, -1, 3, 10
89OO3B, G, 2, 3, 3, inf
U1DPGK, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
U1DPGK, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
U1DPGK, P, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
U1DPGK, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
U1DPGK, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
U1DPGK, R, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
U1DPGK, R, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
U1DPGK, R, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
U1DPGK, R, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
U1DPGK, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
U1DPGK, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
U1DPGK, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
U1DPGK, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
U6W77E, O, 3, inf, 3, inf
ALDU5F, G, 4, 10, 3, inf
U6W77E, O, 3, 10, 3, 10
ALDU5F, P, 4, 2, 3, 10
U6W77E, O, 3, 2, 3, 10
89OO3B, G, 2, 3, 3, inf
U6W77E, P, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
U6W77E, P, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
U6W77E, P, 3, 4, 3, 4
ALDU5F, R, 4, 3, 3, 4
U6W77E, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
U6W77E, R, 3, inf, 3, inf
ALDU5F, G, 4, 15, 3, inf
U6W77E, R, 3, 15, 3, 15
ALDU5F, O, 4, 4, 3, 15
U6W77E, R, 3, 4, 3, 4
ALDU5F, P, 4, 7, 3, 4
U6W77E, R, 3, 4, 3, 4
ALDU5F, Y, 4, 3, 3, 4
U6W77E, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
U6W77E, Y, 3, inf, 3, inf
ALDU5F, G, 4, 11, 3, inf
U6W77E, Y, 3, 11, 3, 11
ALDU5F, O, 4, 0, 3, 11
U6W77E, Y, 3, 0, 3, 11
89OO3B, G, 2, 3, 3, inf
ZWHEJ4, G, 3, inf, 3, inf
5DN4A9, B, 4, 2, 3, inf
ZWHEJ4, G, 3, 2, 3, inf
89OO3B, G, 2, 3, 3, inf
ZWHEJ4, O, 3, inf, 3, inf
5DN4A9, B, 4, 3, 3, inf
ZWHEJ4, O, 3, 3, 3, inf
89OO3B, G, 2, 3, 3, inf
ZWHEJ4, P, 3, inf, 3, inf
5DN4A9, B, 4, 8, 3, inf
ZWHEJ4, P, 3, 8, 3, 8
5DN4A9, G, 4, 15, 3, 8
ZWHEJ4, P, 3, 8, 3, 8
5DN4A9, O, 4, 4, 3, 8
ZWHEJ4, P, 3, 4, 3, 4
5DN4A9, R, 4, 3, 3, 4
ZWHEJ4, P, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
ZWHEJ4, R, 3, inf, 3, inf
5DN4A9, B, 4, 8, 3, inf
ZWHEJ4, R, 3, 8, 3, 8
5DN4A9, G, 4, 15, 3, 8
ZWHEJ4, R, 3, 8, 3, 8
5DN4A9, O, 4, 4, 3, 8
ZWHEJ4, R, 3, 4, 3, 4
5DN4A9, P, 4, 7, 3, 4
ZWHEJ4, R, 3, 4, 3, 4
5DN4A9, Y, 4, 3, 3, 4
ZWHEJ4, R, 3, 3, 3, 4
89OO3B, G, 2, 3, 3, inf
ZWHEJ4, Y, 3, inf, 3, inf
5DN4A9, B, 4, 4, 3, inf
ZWHEJ4, Y, 3, 4, 3, 4
5DN4A9, G, 4, 11, 3, 4
ZWHEJ4, Y, 3, 4, 3, 4
5DN4A9, O, 4, 0, 3, 4
ZWHEJ4, Y, 3, 0, 3, 4
89OO3B, G, 2, 3, 3, inf
1O7SKL, B, 1, 3, -inf, 3
89OO3B, O, 2, -inf, -inf, 3
ALDU5F, G, 3, inf, -inf, 3
F3HQ9T, B, 4, -9, -inf, 3
ALDU5F, G, 3, -9, -inf, -9
F3HQ9T, O, 4, -13, -inf, -9
ALDU5F, G, 3, -13, -inf, -13
F3HQ9T, P, 4, -10, -inf, -13
ALDU5F, G, 3, -13, -inf, -13
F3HQ9T, R, 4, -14, -inf, -13
ALDU5F, G, 3, -14, -inf, -14
F3HQ9T, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
I6XTP9, B, 4, -9, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
I6XTP9, G, 4, -2, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
I6XTP9, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
I6XTP9, R, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
I6XTP9, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
J3S4LL, B, 4, -9, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
J3S4LL, G, 4, -2, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
J3S4LL, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
J3S4LL, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
RIGQBQ, G, 4, -2, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
RIGQBQ, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
RIGQBQ, R, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
RIGQBQ, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
S9OGAW, B, 4, -9, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
S9OGAW, O, 4, -13, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
S9OGAW, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
S9OGAW, R, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
S9OGAW, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
T0YVAQ, B, 4, -9, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
T0YVAQ, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
T0YVAQ, R, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
T0YVAQ, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U1DPGK, O, 4, -13, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U1DPGK, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U1DPGK, R, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U1DPGK, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U6W77E, O, 4, -13, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U6W77E, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U6W77E, R, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
U6W77E, Y, 4, -14, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
ZWHEJ4, G, 4, -2, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
ZWHEJ4, O, 4, -13, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
ZWHEJ4, P, 4, -10, -inf, -14
ALDU5F, G, 3, -14, -inf, -14
ZWHEJ4, R, 4, -14, -inf, -14
