QPL7V4, G, 0, -inf, -inf, inf
QC0IBC, G, 2, 0, 0, 1
UIZHEI, R, 3, 0, 0, 1
QC0IBC, G, 2, 0, 0, 1
UIZHEI, Y, 3, -5, 0, 1
QC0IBC, G, 2, 0, 0, 1
Z2L8IK, B, 3, -11, 0, 1
QC0IBC, G, 2, 0, 0, 1
Z2L8IK, G, 3, -3, 0, 1
QC0IBC, G, 2, 0, 0, 1
Z2L8IK, P, 3, -13, 0, 1
QC0IBC, G, 2, 0, 0, 1
Z2L8IK, Y, 3, -5, 0, 1
QC0IBC, G, 2, 0, 0, 1
253D7E, B, 1, 0, -inf, 0
QC0IBC, P, 2, -inf, -inf, 0
CD9VU5, B, 3, 1, -inf, 0
QC0IBC, P, 2, 1, -inf, 0
253D7E, B, 1, 0, -inf, 0
QC0IBC, R, 2, -inf, -inf, 0
CD9VU5, B, 3, -10, -inf, 0
QC0IBC, R, 2, -10, -10, 0
CD9VU5, P, 3, -12, -10, 0
QC0IBC, R, 2, -10, -10, 0
CD9VU5, Y, 3, -4, -10, 0
QC0IBC, R, 2, -4, -4, 0
EZPSF9, B, 3, -10, -4, 0
QC0IBC, R, 2, -4, -4, 0
EZPSF9, P, 3, -12, -4, 0
QC0IBC, R, 2, -4, -4, 0
EZPSF9, R, 3, 1, -4, 0
QC0IBC, R, 2, 1, -4, 0
253D7E, B, 1, 0, -inf, 0
QC0IBC, Y, 2, -inf, -inf, 0
CD9VU5, B, 3, -3, -inf, 0
QC0IBC, Y, 2, -3, -3, 0
CD9VU5, P, 3, -5, -3, 0
QC0IBC, Y, 2, -3, -3, 0
CD9VU5, R, 3, 8, -3, 0
QC0IBC, Y, 2, 8, -3, 0
253D7E, B, 1, 0, -inf, 0
QOSV86, G, 2, -inf, -inf, 0
CD9VU5, B, 3, -11, -inf, 0
QOSV86, G, 2, -11, -11, 0
CD9VU5, P, 3, -13, -11, 0
QOSV86, G, 2, -11, -11, 0
CD9VU5, R, 3, 0, -11, 0
QOSV86, G, 2, 0, -11, 0
253D7E, B, 1, 0, -inf, 0
QOSV86, P, 2, -inf, -inf, 0
CD9VU5, B, 3, 1, -inf, 0
QOSV86, P, 2, 1, -inf, 0
253D7E, B, 1, 0, -inf, 0
QOSV86, Y, 2, -inf, -inf, 0
CD9VU5, B, 3, -3, -inf, 0
QOSV86, Y, 2, -3, -3, 0
CD9VU5, P, 3, -5, -3, 0
QOSV86, Y, 2, -3, -3, 0
CD9VU5, R, 3, 8, -3, 0
QOSV86, Y, 2, 8, -3, 0
253D7E, B, 1, 0, -inf, 0
RKOCLJ, P, 2, -inf, -inf, 0
CD9VU5, B, 3, 1, -inf, 0
RKOCLJ, P, 2, 1, -inf, 0
253D7E, B, 1, 0, -inf, 0
RKOCLJ, R, 2, -inf, -inf, 0
CD9VU5, B, 3, -10, -inf, 0
RKOCLJ, R, 2, -10, -10, 0
CD9VU5, P, 3, -12, -10, 0
RKOCLJ, R, 2, -10, -10, 0
CD9VU5, R, 3, 1, -10, 0
RKOCLJ, R, 2, 1, -10, 0
253D7E, B, 1, 0, -inf, 0
RKOCLJ, Y, 2, -inf, -inf, 0
CD9VU5, B, 3, -3, -inf, 0
RKOCLJ, Y, 2, -3, -3, 0
CD9VU5, P, 3, -5, -3, 0
RKOCLJ, Y, 2, -3, -3, 0
CD9VU5, R, 3, 8, -3, 0
RKOCLJ, Y, 2, 8, -3, 0
253D7E, B, 1, 0, -inf, 0
SL3KNZ, B, 2, -inf, -inf, 0
CD9VU5, B, 3, -9, -inf, 0
SL3KNZ, B, 2, -9, -9, 0
CD9VU5, P, 3, -11, -9, 0
SL3KNZ, B, 2, -9, -9, 0
CD9VU5, R, 3, 2, -9, 0
SL3KNZ, B, 2, 2, -9, 0
253D7E, B, 1, 0, -inf, 0
SL3KNZ, G, 2, -inf, -inf, 0
CD9VU5, B, 3, -11, -inf, 0
SL3KNZ, G, 2, -11, -11, 0
CD9VU5, P, 3, -13, -11, 0
SL3KNZ, G, 2, -11, -11, 0
CD9VU5, R, 3, 0, -11, 0
SL3KNZ, G, 2, 0, -11, 0
253D7E, B, 1, 0, -inf, 0
SL3KNZ, P, 2, -inf, -inf, 0
CD9VU5, B, 3, 1, -inf, 0
SL3KNZ, P, 2, 1, -inf, 0
253D7E, B, 1, 0, -inf, 0
SL3KNZ, Y, 2, -inf, -inf, 0
CD9VU5, B, 3, -3, -inf, 0
SL3KNZ, Y, 2, -3, -3, 0
CD9VU5, P, 3, -5, -3, 0
SL3KNZ, Y, 2, -3, -3, 0
CD9VU5, R, 3, 8, -3, 0
SL3KNZ, Y, 2, 8, -3, 0
253D7E, B, 1, 0, -inf, 0
UIZHEI, P, 2, -inf, -inf, 0
185I8G, B, 3, 1, -inf, 0
UIZHEI, P, 2, 1, -inf, 0
253D7E, B, 1, 0, -inf, 0
UIZHEI, R, 2, -inf, -inf, 0
185I8G, B, 3, -10, -inf, 0
UIZHEI, R, 2, -10, -10, 0
185I8G, G, 3, -2, -10, 0
UIZHEI, R, 2, -2, -2, 0
185I8G, P, 3, -12, -2, 0
UIZHEI, R, 2, -2, -2, 0
185I8G, Y, 3, -4, -2, 0
UIZHEI, R, 2, -2, -2, 0
CD9VU5, B, 3, -10, -2, 0
UIZHEI, R, 2, -2, -2, 0
CD9VU5, P, 3, -12, -2, 0
UIZHEI, R, 2, -2, -2, 0
CD9VU5, R, 3, 1, -2, 0
UIZHEI, R, 2, 1, -2, 0
253D7E, B, 1, 0, -inf, 0
UIZHEI, Y, 2, -inf, -inf, 0
185I8G, B, 3, -3, -inf, 0
UIZHEI, Y, 2, -3, -3, 0
185I8G, G, 3, 5, -3, 0
UIZHEI, Y, 2, 5, -3, 0
253D7E, B, 1, 0, -inf, 0
Z2L8IK, B, 2, -inf, -inf, 0
CD9VU5, B, 3, -9, -inf, 0
Z2L8IK, B, 2, -9, -9, 0
CD9VU5, P, 3, -11, -9, 0
Z2L8IK, B, 2, -9, -9, 0
CD9VU5, R, 3, 2, -9, 0
Z2L8IK, B, 2, 2, -9, 0
253D7E, B, 1, 0, -inf, 0
Z2L8IK, G, 2, -inf, -inf, 0
CD9VU5, B, 3, -11, -inf, 0
Z2L8IK, G, 2, -11, -11, 0
CD9VU5, P, 3, -13, -11, 0
Z2L8IK, G, 2, -11, -11, 0
CD9VU5, R, 3, 0, -11, 0
Z2L8IK, G, 2, 0, -11, 0
253D7E, B, 1, 0, -inf, 0
Z2L8IK, P, 2, -inf, -inf, 0
CD9VU5, B, 3, 1, -inf, 0
Z2L8IK, P, 2, 1, -inf, 0
253D7E, B, 1, 0, -inf, 0
Z2L8IK, Y, 2, -inf, -inf, 0
CD9VU5, B, 3, -3, -inf, 0
Z2L8IK, Y, 2, -3, -3, 0
CD9VU5, P, 3, -5, -3, 0
Z2L8IK, Y, 2, -3, -3, 0
CD9VU5, R, 3, 8, -3, 0
Z2L8IK, Y, 2, 8, -3, 0
253D7E, B, 1, 0, -inf, 0
QPL7V4, G, 0, 0, 0, inf
253D7E, P, 1, inf, 0, inf
CD9VU5, B, 2, -inf, 0, inf
185I8G, G, 3, -3, 0, inf
CD9VU5, B, 2, -3, 0, inf
185I8G, P, 3, -13, 0, inf
CD9VU5, B, 2, -3, 0, inf
185I8G, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
185I8G, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
EZPSF9, B, 3, -11, 0, inf
CD9VU5, B, 2, 0, 0, inf
EZPSF9, P, 3, -13, 0, inf
CD9VU5, B, 2, 0, 0, inf
EZPSF9, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
EZPSF9, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
GKYB2V, G, 3, -3, 0, inf
CD9VU5, B, 2, 0, 0, inf
GKYB2V, P, 3, -13, 0, inf
CD9VU5, B, 2, 0, 0, inf
GKYB2V, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
GKYB2V, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
KQQOCR, G, 3, -3, 0, inf
CD9VU5, B, 2, 0, 0, inf
KQQOCR, P, 3, -13, 0, inf
CD9VU5, B, 2, 0, 0, inf
KQQOCR, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
KQQOCR, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
O9SUZZ, G, 3, -3, 0, inf
CD9VU5, B, 2, 0, 0, inf
O9SUZZ, P, 3, -13, 0, inf
CD9VU5, B, 2, 0, 0, inf
O9SUZZ, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
O9SUZZ, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
QC0IBC, G, 3, -3, 0, inf
CD9VU5, B, 2, 0, 0, inf
QC0IBC, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
QC0IBC, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
QOSV86, G, 3, -3, 0, inf
CD9VU5, B, 2, 0, 0, inf
QOSV86, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
RKOCLJ, B, 3, -11, 0, inf
CD9VU5, B, 2, 0, 0, inf
RKOCLJ, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
RKOCLJ, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
SL3KNZ, B, 3, -11, 0, inf
CD9VU5, B, 2, 0, 0, inf
SL3KNZ, G, 3, -3, 0, inf
CD9VU5, B, 2, 0, 0, inf
SL3KNZ, P, 3, -13, 0, inf
CD9VU5, B, 2, 0, 0, inf
SL3KNZ, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
UIZHEI, B, 3, -11, 0, inf
CD9VU5, B, 2, 0, 0, inf
UIZHEI, R, 3, 0, 0, inf
CD9VU5, B, 2, 0, 0, inf
UIZHEI, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
Z2L8IK, B, 3, -11, 0, inf
CD9VU5, B, 2, 0, 0, inf
Z2L8IK, G, 3, -3, 0, inf
CD9VU5, B, 2, 0, 0, inf
Z2L8IK, P, 3, -13, 0, inf
CD9VU5, B, 2, 0, 0, inf
Z2L8IK, Y, 3, -5, 0, inf
CD9VU5, B, 2, 0, 0, inf
253D7E, P, 1, 0, 0, inf
QPL7V4, G, 0, 0, 0, inf
253D7E, R, 1, inf, 0, inf
CD9VU5, B, 2, -inf, 0, inf
185I8G, G, 3, 10, 0, inf
CD9VU5, B, 2, 10, 10, inf
185I8G, P, 3, 0, 10, inf
CD9VU5, B, 2, 10, 10, inf
185I8G, R, 3, 13, 10, inf
CD9VU5, B, 2, 13, 13, inf
185I8G, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
EZPSF9, B, 3, 2, 13, inf
CD9VU5, B, 2, 13, 13, inf
EZPSF9, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
EZPSF9, R, 3, 13, 13, inf
CD9VU5, B, 2, 13, 13, inf
EZPSF9, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
GKYB2V, G, 3, 10, 13, inf
CD9VU5, B, 2, 13, 13, inf
GKYB2V, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
GKYB2V, R, 3, 13, 13, inf
CD9VU5, B, 2, 13, 13, inf
GKYB2V, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
KQQOCR, G, 3, 10, 13, inf
CD9VU5, B, 2, 13, 13, inf
KQQOCR, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
KQQOCR, R, 3, 13, 13, inf
CD9VU5, B, 2, 13, 13, inf
KQQOCR, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
O9SUZZ, G, 3, 10, 13, inf
CD9VU5, B, 2, 13, 13, inf
O9SUZZ, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
O9SUZZ, R, 3, 13, 13, inf
CD9VU5, B, 2, 13, 13, inf
O9SUZZ, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
QC0IBC, G, 3, 10, 13, inf
CD9VU5, B, 2, 13, 13, inf
QC0IBC, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
QC0IBC, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
QOSV86, G, 3, 10, 13, inf
CD9VU5, B, 2, 13, 13, inf
QOSV86, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
QOSV86, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
RKOCLJ, B, 3, 2, 13, inf
CD9VU5, B, 2, 13, 13, inf
RKOCLJ, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
RKOCLJ, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
SL3KNZ, B, 3, 2, 13, inf
CD9VU5, B, 2, 13, 13, inf
SL3KNZ, G, 3, 10, 13, inf
CD9VU5, B, 2, 13, 13, inf
SL3KNZ, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
SL3KNZ, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
UIZHEI, B, 3, 2, 13, inf
CD9VU5, B, 2, 13, 13, inf
UIZHEI, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
UIZHEI, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
Z2L8IK, B, 3, 2, 13, inf
CD9VU5, B, 2, 13, 13, inf
Z2L8IK, G, 3, 10, 13, inf
CD9VU5, B, 2, 13, 13, inf
Z2L8IK, P, 3, 0, 13, inf
CD9VU5, B, 2, 13, 13, inf
Z2L8IK, Y, 3, 8, 13, inf
CD9VU5, B, 2, 13, 13, inf
253D7E, R, 1, 13, 0, 13
CD9VU5, P, 2, -inf, 0, 13
185I8G, B, 3, 12, 0, 13
CD9VU5, P, 2, 12, 12, 13
185I8G, G, 3, 20, 12, 13
CD9VU5, P, 2, 20, 12, 13
253D7E, R, 1, 13, 0, 13
CD9VU5, R, 2, -inf, 0, 13
185I8G, B, 3, 1, 0, 13
CD9VU5, R, 2, 1, 1, 13
185I8G, G, 3, 9, 1, 13
CD9VU5, R, 2, 9, 9, 13
185I8G, P, 3, -1, 9, 13
CD9VU5, R, 2, 9, 9, 13
185I8G, Y, 3, 7, 9, 13
CD9VU5, R, 2, 9, 9, 13
EZPSF9, B, 3, 1, 9, 13
CD9VU5, R, 2, 9, 9, 13
EZPSF9, P, 3, -1, 9, 13
CD9VU5, R, 2, 9, 9, 13
EZPSF9, R, 3, 12, 9, 13
CD9VU5, R, 2, 12, 12, 13
EZPSF9, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
GKYB2V, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
GKYB2V, G, 3, 9, 12, 13
CD9VU5, R, 2, 12, 12, 13
GKYB2V, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
GKYB2V, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
KQQOCR, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
KQQOCR, G, 3, 9, 12, 13
CD9VU5, R, 2, 12, 12, 13
KQQOCR, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
KQQOCR, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
O9SUZZ, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
O9SUZZ, G, 3, 9, 12, 13
CD9VU5, R, 2, 12, 12, 13
O9SUZZ, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
O9SUZZ, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
QC0IBC, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
QC0IBC, G, 3, 9, 12, 13
CD9VU5, R, 2, 12, 12, 13
QC0IBC, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
QC0IBC, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
QOSV86, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
QOSV86, G, 3, 9, 12, 13
CD9VU5, R, 2, 12, 12, 13
QOSV86, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
QOSV86, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
RKOCLJ, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
RKOCLJ, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
RKOCLJ, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
SL3KNZ, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
SL3KNZ, G, 3, 9, 12, 13
CD9VU5, R, 2, 12, 12, 13
SL3KNZ, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
SL3KNZ, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
UIZHEI, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
UIZHEI, P, 3, -1, 12, 13
CD9VU5, R, 2, 12, 12, 13
UIZHEI, Y, 3, 7, 12, 13
CD9VU5, R, 2, 12, 12, 13
Z2L8IK, B, 3, 1, 12, 13
CD9VU5, R, 2, 12, 12, 13
