ZKDN7L, G, 0, -inf, -inf, inf
AZNZW6, R, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
AZNZW6, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
HVF5GE, B, 4, -11, -18, -15
3EZBRQ, P, 3, -15, -18, -15
HVF5GE, G, 4, -15, -18, -15
3EZBRQ, P, 3, -15, -18, -15
HVF5GE, P, 4, -13, -18, -15
3EZBRQ, P, 3, -15, -18, -15
HVF5GE, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
O52HYD, G, 4, -15, -18, -15
3EZBRQ, P, 3, -15, -18, -15
O52HYD, P, 4, -13, -18, -15
3EZBRQ, P, 3, -15, -18, -15
O52HYD, R, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
O52HYD, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
UVUETX, B, 4, -11, -18, -15
3EZBRQ, P, 3, -15, -18, -15
UVUETX, G, 4, -15, -18, -15
3EZBRQ, P, 3, -15, -18, -15
UVUETX, P, 4, -13, -18, -15
3EZBRQ, P, 3, -15, -18, -15
UVUETX, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VKMURE, B, 4, -11, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VKMURE, P, 4, -13, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VKMURE, R, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VKMURE, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VWMFU9, G, 4, -15, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VWMFU9, P, 4, -13, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VWMFU9, R, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
VWMFU9, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
WQ4YKE, B, 4, -11, -18, -15
3EZBRQ, P, 3, -15, -18, -15
WQ4YKE, G, 4, -15, -18, -15
3EZBRQ, P, 3, -15, -18, -15
WQ4YKE, R, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
WQ4YKE, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
WWN9BE, B, 4, -11, -18, -15
3EZBRQ, P, 3, -15, -18, -15
WWN9BE, G, 4, -15, -18, -15
3EZBRQ, P, 3, -15, -18, -15
WWN9BE, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
4X8BBI, G, 2, -15, -15, inf
3EZBRQ, R, 3, inf, -15, inf
6EHM3Q, B, 4, -11, -15, inf
3EZBRQ, R, 3, -11, -15, -11
6EHM3Q, P, 4, -13, -15, -11
3EZBRQ, R, 3, -13, -15, -13
6EHM3Q, R, 4, -12, -15, -13
3EZBRQ, R, 3, -13, -15, -13
6EHM3Q, Y, 4, -12, -15, -13
3EZBRQ, R, 3, -13, -15, -13
90V1TB, G, 4, -15, -15, -13
3EZBRQ, R, 3, -15, -15, -13
4X8BBI, G, 2, -15, -15, inf
3EZBRQ, Y, 3, inf, -15, inf
6EHM3Q, B, 4, -8, -15, inf
3EZBRQ, Y, 3, -8, -15, -8
6EHM3Q, P, 4, -10, -15, -8
3EZBRQ, Y, 3, -10, -15, -10
6EHM3Q, R, 4, -9, -15, -10
3EZBRQ, Y, 3, -10, -15, -10
6EHM3Q, Y, 4, -9, -15, -10
3EZBRQ, Y, 3, -10, -15, -10
90V1TB, G, 4, -12, -15, -10
3EZBRQ, Y, 3, -12, -15, -12
90V1TB, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
90V1TB, R, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
90V1TB, Y, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
AZNZW6, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
AZNZW6, R, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
AZNZW6, Y, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
HVF5GE, B, 4, -8, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
HVF5GE, G, 4, -12, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
HVF5GE, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
HVF5GE, Y, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
O52HYD, G, 4, -12, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
O52HYD, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
O52HYD, R, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
O52HYD, Y, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
UVUETX, B, 4, -8, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
UVUETX, G, 4, -12, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
UVUETX, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
UVUETX, Y, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VKMURE, B, 4, -8, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VKMURE, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VKMURE, R, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VKMURE, Y, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VWMFU9, G, 4, -12, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VWMFU9, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VWMFU9, R, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
VWMFU9, Y, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
WQ4YKE, B, 4, -8, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
WQ4YKE, G, 4, -12, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
WQ4YKE, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
WQ4YKE, R, 4, -9, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
WWN9BE, B, 4, -8, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
WWN9BE, G, 4, -12, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
WWN9BE, P, 4, -10, -15, -12
3EZBRQ, Y, 3, -12, -15, -12
4X8BBI, G, 2, -12, -12, inf
6EHM3Q, B, 3, inf, -12, inf
3EZBRQ, B, 4, -14, -12, inf
6EHM3Q, B, 3, -14, -12, inf
4X8BBI, G, 2, -12, -12, inf
6EHM3Q, P, 3, inf, -12, inf
3EZBRQ, B, 4, -11, -12, inf
6EHM3Q, P, 3, -11, -12, -11
3EZBRQ, P, 4, -13, -12, -11
6EHM3Q, P, 3, -13, -12, -11
4X8BBI, G, 2, -12, -12, inf
6EHM3Q, R, 3, inf, -12, inf
3EZBRQ, B, 4, -11, -12, inf
6EHM3Q, R, 3, -11, -12, -11
3EZBRQ, P, 4, -13, -12, -11
6EHM3Q, R, 3, -13, -12, -11
4X8BBI, G, 2, -12, -12, inf
6EHM3Q, Y, 3, inf, -12, inf
3EZBRQ, B, 4, -8, -12, inf
6EHM3Q, Y, 3, -8, -12, -8
3EZBRQ, P, 4, -10, -12, -8
6EHM3Q, Y, 3, -10, -12, -10
3EZBRQ, R, 4, -9, -12, -10
6EHM3Q, Y, 3, -10, -12, -10
3EZBRQ, Y, 4, -9, -12, -10
6EHM3Q, Y, 3, -10, -12, -10
67M6U8, B, 4, -8, -12, -10
6EHM3Q, Y, 3, -10, -12, -10
67M6U8, G, 4, -12, -12, -10
6EHM3Q, Y, 3, -12, -12, -10
4X8BBI, G, 2, -12, -12, inf
90V1TB, G, 3, inf, -12, inf
3EZBRQ, B, 4, -7, -12, inf
90V1TB, G, 3, -7, -12, -7
3EZBRQ, P, 4, -9, -12, -7
90V1TB, G, 3, -9, -12, -9
3EZBRQ, R, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
3EZBRQ, Y, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
6EHM3Q, B, 4, -7, -12, -9
90V1TB, G, 3, -9, -12, -9
6EHM3Q, P, 4, -9, -12, -9
90V1TB, G, 3, -9, -12, -9
6EHM3Q, R, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
6EHM3Q, Y, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
AZNZW6, P, 4, -9, -12, -9
90V1TB, G, 3, -9, -12, -9
AZNZW6, R, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
AZNZW6, Y, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
HVF5GE, B, 4, -7, -12, -9
90V1TB, G, 3, -9, -12, -9
HVF5GE, P, 4, -9, -12, -9
90V1TB, G, 3, -9, -12, -9
HVF5GE, Y, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
ILIYJZ, B, 4, -7, -12, -9
90V1TB, G, 3, -9, -12, -9
ILIYJZ, P, 4, -9, -12, -9
90V1TB, G, 3, -9, -12, -9
ILIYJZ, R, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
ILIYJZ, Y, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
O52HYD, P, 4, -9, -12, -9
90V1TB, G, 3, -9, -12, -9
O52HYD, R, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
O52HYD, Y, 4, -8, -12, -9
90V1TB, G, 3, -9, -12, -9
UVUETX, B, 4, -7, -12, -9
90V1TB, G, 3, -9, -12, -9
UVUETX, G, 4, -11, -12, -9
90V1TB, G, 3, -11, -12, -11
UVUETX, P, 4, -9, -12, -11
90V1TB, G, 3, -11, -12, -11
UVUETX, Y, 4, -8, -12, -11
90V1TB, G, 3, -11, -12, -11
VKMURE, B, 4, -7, -12, -11
90V1TB, G, 3, -11, -12, -11
VKMURE, P, 4, -9, -12, -11
90V1TB, G, 3, -11, -12, -11
VKMURE, R, 4, -8, -12, -11
90V1TB, G, 3, -11, -12, -11
VKMURE, Y, 4, -8, -12, -11
90V1TB, G, 3, -11, -12, -11
VWMFU9, G, 4, -11, -12, -11
90V1TB, G, 3, -11, -12, -11
VWMFU9, P, 4, -9, -12, -11
90V1TB, G, 3, -11, -12, -11
VWMFU9, R, 4, -8, -12, -11
90V1TB, G, 3, -11, -12, -11
VWMFU9, Y, 4, -8, -12, -11
90V1TB, G, 3, -11, -12, -11
WWN9BE, B, 4, -7, -12, -11
90V1TB, G, 3, -11, -12, -11
WWN9BE, G, 4, -11, -12, -11
90V1TB, G, 3, -11, -12, -11
WWN9BE, P, 4, -9, -12, -11
90V1TB, G, 3, -11, -12, -11
WWN9BE, Y, 4, -8, -12, -11
90V1TB, G, 3, -11, -12, -11
4X8BBI, G, 2, -11, -11, inf
90V1TB, P, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
90V1TB, P, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
90V1TB, R, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
90V1TB, R, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
90V1TB, Y, 3, inf, -11, inf
3EZBRQ, B, 4, -8, -11, inf
90V1TB, Y, 3, -8, -11, -8
3EZBRQ, P, 4, -10, -11, -8
90V1TB, Y, 3, -10, -11, -10
3EZBRQ, R, 4, -9, -11, -10
90V1TB, Y, 3, -10, -11, -10
3EZBRQ, Y, 4, -9, -11, -10
90V1TB, Y, 3, -10, -11, -10
6EHM3Q, B, 4, -8, -11, -10
90V1TB, Y, 3, -10, -11, -10
6EHM3Q, P, 4, -10, -11, -10
90V1TB, Y, 3, -10, -11, -10
6EHM3Q, R, 4, -9, -11, -10
90V1TB, Y, 3, -10, -11, -10
6EHM3Q, Y, 4, -9, -11, -10
90V1TB, Y, 3, -10, -11, -10
AZNZW6, P, 4, -10, -11, -10
90V1TB, Y, 3, -10, -11, -10
AZNZW6, R, 4, -9, -11, -10
90V1TB, Y, 3, -10, -11, -10
AZNZW6, Y, 4, -9, -11, -10
90V1TB, Y, 3, -10, -11, -10
HVF5GE, B, 4, -8, -11, -10
90V1TB, Y, 3, -10, -11, -10
HVF5GE, G, 4, -12, -11, -10
90V1TB, Y, 3, -12, -11, -10
4X8BBI, G, 2, -11, -11, inf
AZNZW6, P, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
AZNZW6, P, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
AZNZW6, R, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
AZNZW6, R, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
AZNZW6, Y, 3, inf, -11, inf
3EZBRQ, B, 4, -8, -11, inf
AZNZW6, Y, 3, -8, -11, -8
3EZBRQ, P, 4, -10, -11, -8
AZNZW6, Y, 3, -10, -11, -10
3EZBRQ, R, 4, -9, -11, -10
AZNZW6, Y, 3, -10, -11, -10
3EZBRQ, Y, 4, -9, -11, -10
AZNZW6, Y, 3, -10, -11, -10
6EHM3Q, B, 4, -8, -11, -10
AZNZW6, Y, 3, -10, -11, -10
6EHM3Q, P, 4, -10, -11, -10
AZNZW6, Y, 3, -10, -11, -10
6EHM3Q, R, 4, -9, -11, -10
AZNZW6, Y, 3, -10, -11, -10
6EHM3Q, Y, 4, -9, -11, -10
AZNZW6, Y, 3, -10, -11, -10
90V1TB, G, 4, -12, -11, -10
AZNZW6, Y, 3, -12, -11, -10
4X8BBI, G, 2, -11, -11, inf
HVF5GE, B, 3, inf, -11, inf
3EZBRQ, B, 4, -14, -11, inf
HVF5GE, B, 3, -14, -11, inf
4X8BBI, G, 2, -11, -11, inf
HVF5GE, G, 3, inf, -11, inf
3EZBRQ, B, 4, -7, -11, inf
HVF5GE, G, 3, -7, -11, -7
3EZBRQ, P, 4, -9, -11, -7
HVF5GE, G, 3, -9, -11, -9
3EZBRQ, R, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
3EZBRQ, Y, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
6EHM3Q, B, 4, -7, -11, -9
HVF5GE, G, 3, -9, -11, -9
6EHM3Q, P, 4, -9, -11, -9
HVF5GE, G, 3, -9, -11, -9
6EHM3Q, R, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
6EHM3Q, Y, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
90V1TB, P, 4, -9, -11, -9
HVF5GE, G, 3, -9, -11, -9
90V1TB, R, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
90V1TB, Y, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
AZNZW6, P, 4, -9, -11, -9
HVF5GE, G, 3, -9, -11, -9
AZNZW6, R, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
AZNZW6, Y, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
ILIYJZ, B, 4, -7, -11, -9
HVF5GE, G, 3, -9, -11, -9
ILIYJZ, P, 4, -9, -11, -9
HVF5GE, G, 3, -9, -11, -9
ILIYJZ, R, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
ILIYJZ, Y, 4, -8, -11, -9
HVF5GE, G, 3, -9, -11, -9
O52HYD, G, 4, -11, -11, -9
HVF5GE, G, 3, -11, -11, -9
4X8BBI, G, 2, -11, -11, inf
HVF5GE, P, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
HVF5GE, P, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
HVF5GE, Y, 3, inf, -11, inf
3EZBRQ, B, 4, -8, -11, inf
HVF5GE, Y, 3, -8, -11, -8
3EZBRQ, P, 4, -10, -11, -8
HVF5GE, Y, 3, -10, -11, -10
3EZBRQ, R, 4, -9, -11, -10
HVF5GE, Y, 3, -10, -11, -10
3EZBRQ, Y, 4, -9, -11, -10
HVF5GE, Y, 3, -10, -11, -10
6EHM3Q, B, 4, -8, -11, -10
HVF5GE, Y, 3, -10, -11, -10
6EHM3Q, P, 4, -10, -11, -10
HVF5GE, Y, 3, -10, -11, -10
6EHM3Q, R, 4, -9, -11, -10
HVF5GE, Y, 3, -10, -11, -10
6EHM3Q, Y, 4, -9, -11, -10
HVF5GE, Y, 3, -10, -11, -10
90V1TB, G, 4, -12, -11, -10
HVF5GE, Y, 3, -12, -11, -10
4X8BBI, G, 2, -11, -11, inf
O52HYD, G, 3, inf, -11, inf
3EZBRQ, B, 4, -7, -11, inf
O52HYD, G, 3, -7, -11, -7
3EZBRQ, P, 4, -9, -11, -7
O52HYD, G, 3, -9, -11, -9
3EZBRQ, R, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
3EZBRQ, Y, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
6EHM3Q, B, 4, -7, -11, -9
O52HYD, G, 3, -9, -11, -9
6EHM3Q, P, 4, -9, -11, -9
O52HYD, G, 3, -9, -11, -9
6EHM3Q, R, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
6EHM3Q, Y, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
90V1TB, P, 4, -9, -11, -9
O52HYD, G, 3, -9, -11, -9
90V1TB, R, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
90V1TB, Y, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
AZNZW6, P, 4, -9, -11, -9
O52HYD, G, 3, -9, -11, -9
AZNZW6, R, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
AZNZW6, Y, 4, -8, -11, -9
O52HYD, G, 3, -9, -11, -9
HVF5GE, B, 4, -7, -11, -9
O52HYD, G, 3, -9, -11, -9
HVF5GE, G, 4, -11, -11, -9
O52HYD, G, 3, -11, -11, -9
4X8BBI, G, 2, -11, -11, inf
O52HYD, P, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
O52HYD, P, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
O52HYD, R, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
O52HYD, R, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
O52HYD, Y, 3, inf, -11, inf
3EZBRQ, B, 4, -8, -11, inf
O52HYD, Y, 3, -8, -11, -8
3EZBRQ, P, 4, -10, -11, -8
O52HYD, Y, 3, -10, -11, -10
3EZBRQ, R, 4, -9, -11, -10
O52HYD, Y, 3, -10, -11, -10
3EZBRQ, Y, 4, -9, -11, -10
O52HYD, Y, 3, -10, -11, -10
6EHM3Q, B, 4, -8, -11, -10
O52HYD, Y, 3, -10, -11, -10
6EHM3Q, P, 4, -10, -11, -10
O52HYD, Y, 3, -10, -11, -10
6EHM3Q, R, 4, -9, -11, -10
O52HYD, Y, 3, -10, -11, -10
6EHM3Q, Y, 4, -9, -11, -10
O52HYD, Y, 3, -10, -11, -10
90V1TB, G, 4, -12, -11, -10
O52HYD, Y, 3, -12, -11, -10
4X8BBI, G, 2, -11, -11, inf
UVUETX, B, 3, inf, -11, inf
3EZBRQ, B, 4, -14, -11, inf
UVUETX, B, 3, -14, -11, inf
4X8BBI, G, 2, -11, -11, inf
UVUETX, G, 3, inf, -11, inf
3EZBRQ, B, 4, -7, -11, inf
UVUETX, G, 3, -7, -11, -7
3EZBRQ, P, 4, -9, -11, -7
UVUETX, G, 3, -9, -11, -9
3EZBRQ, R, 4, -8, -11, -9
UVUETX, G, 3, -9, -11, -9
3EZBRQ, Y, 4, -8, -11, -9
UVUETX, G, 3, -9, -11, -9
6EHM3Q, B, 4, -7, -11, -9
UVUETX, G, 3, -9, -11, -9
6EHM3Q, P, 4, -9, -11, -9
UVUETX, G, 3, -9, -11, -9
6EHM3Q, R, 4, -8, -11, -9
UVUETX, G, 3, -9, -11, -9
6EHM3Q, Y, 4, -8, -11, -9
UVUETX, G, 3, -9, -11, -9
90V1TB, G, 4, -11, -11, -9
UVUETX, G, 3, -11, -11, -9
4X8BBI, G, 2, -11, -11, inf
UVUETX, P, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
UVUETX, P, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
UVUETX, Y, 3, inf, -11, inf
3EZBRQ, B, 4, -8, -11, inf
UVUETX, Y, 3, -8, -11, -8
3EZBRQ, P, 4, -10, -11, -8
UVUETX, Y, 3, -10, -11, -10
3EZBRQ, R, 4, -9, -11, -10
UVUETX, Y, 3, -10, -11, -10
3EZBRQ, Y, 4, -9, -11, -10
UVUETX, Y, 3, -10, -11, -10
6EHM3Q, B, 4, -8, -11, -10
UVUETX, Y, 3, -10, -11, -10
6EHM3Q, P, 4, -10, -11, -10
UVUETX, Y, 3, -10, -11, -10
6EHM3Q, R, 4, -9, -11, -10
UVUETX, Y, 3, -10, -11, -10
6EHM3Q, Y, 4, -9, -11, -10
UVUETX, Y, 3, -10, -11, -10
90V1TB, G, 4, -12, -11, -10
UVUETX, Y, 3, -12, -11, -10
4X8BBI, G, 2, -11, -11, inf
VKMURE, B, 3, inf, -11, inf
3EZBRQ, B, 4, -14, -11, inf
VKMURE, B, 3, -14, -11, inf
4X8BBI, G, 2, -11, -11, inf
VKMURE, P, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
VKMURE, P, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
VKMURE, R, 3, inf, -11, inf
3EZBRQ, B, 4, -11, -11, inf
VKMURE, R, 3, -11, -11, inf
4X8BBI, G, 2, -11, -11, inf
VKMURE, Y, 3, inf, -11, inf
3EZBRQ, B, 4, -8, -11, inf
VKMURE, Y, 3, -8, -11, -8
3EZBRQ, P, 4, -10, -11, -8
VKMURE, Y, 3, -10, -11, -10
3EZBRQ, R, 4, -9, -11, -10
VKMURE, Y, 3, -10, -11, -10
3EZBRQ, Y, 4, -9, -11, -10
VKMURE, Y, 3, -10, -11, -10
6EHM3Q, B, 4, -8, -11, -10
VKMURE, Y, 3, -10, -11, -10
6EHM3Q, P, 4, -10, -11, -10
VKMURE, Y, 3, -10, -11, -10
6EHM3Q, R, 4, -9, -11, -10
VKMURE, Y, 3, -10, -11, -10
90V1TB, G, 4, -12, -11, -10
VKMURE, Y, 3, -12, -11, -10
4X8BBI, G, 2, -11, -11, inf
VWMFU9, G, 3, inf, -11, inf
3EZBRQ, B, 4, -7, -11, inf
VWMFU9, G, 3, -7, -11, -7
3EZBRQ, P, 4, -9, -11, -7
VWMFU9, G, 3, -9, -11, -9
3EZBRQ, R, 4, -8, -11, -9
VWMFU9, G, 3, -9, -11, -9
3EZBRQ, Y, 4, -8, -11, -9
VWMFU9, G, 3, -9, -11, -9
6EHM3Q, B, 4, -7, -11, -9
VWMFU9, G, 3, -9, -11, -9
6EHM3Q, P, 4, -9, -11, -9
VWMFU9, G, 3, -9, -11, -9
6EHM3Q, R, 4, -8, -11, -9
VWMFU9, G, 3, -9, -11, -9
6EHM3Q, Y, 4, -8, -11, -9
VWMFU9, G, 3, -9, -11, -9
6JY6KY, B, 4, -7, -11, -9
VWMFU9, G, 3, -9, -11, -9
6JY6KY, P, 4, -9, -11, -9
VWMFU9, G, 3, -9, -11, -9
6JY6KY, R, 4, -8, -11, -9
