HL7RH0, G, 0, -inf, -inf, inf
7MVUG1, G, 3, -11, -inf, -11
ODUBEG, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
ST898E, G, 4, -7, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
ST898E, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
93CT8B, B, 2, -11, -11, inf
7MVUG1, R, 3, inf, -11, inf
B302WY, B, 4, 4, -11, inf
7MVUG1, R, 3, 4, -11, 4
B302WY, G, 4, 0, -11, 4
7MVUG1, R, 3, 0, -11, 0
B302WY, Y, 4, -4, -11, 0
7MVUG1, R, 3, -4, -11, -4
D7A6DO, G, 4, 0, -11, -4
7MVUG1, R, 3, -4, -11, -4
D7A6DO, R, 4, -2, -11, -4
7MVUG1, R, 3, -4, -11, -4
D7A6DO, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
E3B6KU, B, 4, 4, -11, -4
7MVUG1, R, 3, -4, -11, -4
E3B6KU, R, 4, -2, -11, -4
7MVUG1, R, 3, -4, -11, -4
E3B6KU, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
FBMJRV, B, 4, 4, -11, -4
7MVUG1, R, 3, -4, -11, -4
FBMJRV, R, 4, -2, -11, -4
7MVUG1, R, 3, -4, -11, -4
FBMJRV, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
GKM35T, G, 4, 0, -11, -4
7MVUG1, R, 3, -4, -11, -4
GKM35T, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
IOIZ5S, B, 4, 4, -11, -4
7MVUG1, R, 3, -4, -11, -4
IOIZ5S, G, 4, 0, -11, -4
7MVUG1, R, 3, -4, -11, -4
IOIZ5S, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
JENPWA, G, 4, 0, -11, -4
7MVUG1, R, 3, -4, -11, -4
JENPWA, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
LCX2DK, B, 4, 4, -11, -4
7MVUG1, R, 3, -4, -11, -4
LCX2DK, R, 4, -2, -11, -4
7MVUG1, R, 3, -4, -11, -4
LCX2DK, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
LX6ZE0, G, 4, 0, -11, -4
7MVUG1, R, 3, -4, -11, -4
LX6ZE0, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
NCYMNC, B, 4, 4, -11, -4
7MVUG1, R, 3, -4, -11, -4
NCYMNC, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
ODUBEG, G, 4, 0, -11, -4
7MVUG1, R, 3, -4, -11, -4
ODUBEG, R, 4, -2, -11, -4
7MVUG1, R, 3, -4, -11, -4
ODUBEG, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
ST898E, G, 4, 0, -11, -4
7MVUG1, R, 3, -4, -11, -4
ST898E, Y, 4, -4, -11, -4
7MVUG1, R, 3, -4, -11, -4
93CT8B, B, 2, -4, -4, inf
7MVUG1, Y, 3, inf, -4, inf
B302WY, B, 4, 2, -4, inf
7MVUG1, Y, 3, 2, -4, 2
B302WY, G, 4, -2, -4, 2
7MVUG1, Y, 3, -2, -4, -2
B302WY, R, 4, -4, -4, -2
7MVUG1, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
D7A6DO, G, 3, inf, -4, inf
7MVUG1, G, 4, -7, -4, inf
D7A6DO, G, 3, -7, -4, inf
93CT8B, B, 2, -4, -4, inf
D7A6DO, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
D7A6DO, R, 3, 0, -4, 0
7MVUG1, R, 4, -2, -4, 0
D7A6DO, R, 3, -2, -4, -2
7MVUG1, Y, 4, -4, -4, -2
D7A6DO, R, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
D7A6DO, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
D7A6DO, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
D7A6DO, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
E3B6KU, B, 3, inf, -4, inf
7MVUG1, G, 4, -13, -4, inf
E3B6KU, B, 3, -13, -4, inf
93CT8B, B, 2, -4, -4, inf
E3B6KU, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
E3B6KU, R, 3, 0, -4, 0
7MVUG1, R, 4, -2, -4, 0
E3B6KU, R, 3, -2, -4, -2
7MVUG1, Y, 4, -4, -4, -2
E3B6KU, R, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
E3B6KU, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
E3B6KU, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
E3B6KU, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
FBMJRV, B, 3, inf, -4, inf
7MVUG1, G, 4, -13, -4, inf
FBMJRV, B, 3, -13, -4, inf
93CT8B, B, 2, -4, -4, inf
FBMJRV, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
FBMJRV, R, 3, 0, -4, 0
7MVUG1, R, 4, -2, -4, 0
FBMJRV, R, 3, -2, -4, -2
7MVUG1, Y, 4, -4, -4, -2
FBMJRV, R, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
FBMJRV, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
FBMJRV, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
FBMJRV, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
GKM35T, G, 3, inf, -4, inf
7MVUG1, R, 4, -9, -4, inf
GKM35T, G, 3, -9, -4, inf
93CT8B, B, 2, -4, -4, inf
GKM35T, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
GKM35T, R, 3, 0, -4, 0
7MVUG1, Y, 4, -4, -4, 0
GKM35T, R, 3, -4, -4, 0
93CT8B, B, 2, -4, -4, inf
GKM35T, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
GKM35T, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
GKM35T, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
JENPWA, G, 3, inf, -4, inf
7MVUG1, R, 4, -9, -4, inf
JENPWA, G, 3, -9, -4, inf
93CT8B, B, 2, -4, -4, inf
JENPWA, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
JENPWA, R, 3, 0, -4, 0
7MVUG1, Y, 4, -4, -4, 0
JENPWA, R, 3, -4, -4, 0
93CT8B, B, 2, -4, -4, inf
JENPWA, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
JENPWA, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
JENPWA, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
LCX2DK, B, 3, inf, -4, inf
7MVUG1, G, 4, -13, -4, inf
LCX2DK, B, 3, -13, -4, inf
93CT8B, B, 2, -4, -4, inf
LCX2DK, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
LCX2DK, R, 3, 0, -4, 0
7MVUG1, R, 4, -2, -4, 0
LCX2DK, R, 3, -2, -4, -2
7MVUG1, Y, 4, -4, -4, -2
LCX2DK, R, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
LCX2DK, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
LCX2DK, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
LCX2DK, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
LX6ZE0, G, 3, inf, -4, inf
7MVUG1, R, 4, -9, -4, inf
LX6ZE0, G, 3, -9, -4, inf
93CT8B, B, 2, -4, -4, inf
LX6ZE0, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
LX6ZE0, R, 3, 0, -4, 0
7MVUG1, Y, 4, -4, -4, 0
LX6ZE0, R, 3, -4, -4, 0
93CT8B, B, 2, -4, -4, inf
LX6ZE0, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
LX6ZE0, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
LX6ZE0, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
NCYMNC, B, 3, inf, -4, inf
7MVUG1, G, 4, -13, -4, inf
NCYMNC, B, 3, -13, -4, inf
93CT8B, B, 2, -4, -4, inf
NCYMNC, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
NCYMNC, R, 3, 0, -4, 0
7MVUG1, Y, 4, -4, -4, 0
NCYMNC, R, 3, -4, -4, 0
93CT8B, B, 2, -4, -4, inf
NCYMNC, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
NCYMNC, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
NCYMNC, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
ODUBEG, G, 3, inf, -4, inf
7MVUG1, G, 4, -7, -4, inf
ODUBEG, G, 3, -7, -4, inf
93CT8B, B, 2, -4, -4, inf
ODUBEG, R, 3, inf, -4, inf
7MVUG1, G, 4, 0, -4, inf
ODUBEG, R, 3, 0, -4, 0
7MVUG1, R, 4, -2, -4, 0
ODUBEG, R, 3, -2, -4, -2
7MVUG1, Y, 4, -4, -4, -2
ODUBEG, R, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
ODUBEG, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
ODUBEG, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
ODUBEG, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
ST898E, G, 3, inf, -4, inf
7MVUG1, G, 4, -7, -4, inf
ST898E, G, 3, -7, -4, inf
93CT8B, B, 2, -4, -4, inf
ST898E, Y, 3, inf, -4, inf
7MVUG1, G, 4, -2, -4, inf
ST898E, Y, 3, -2, -4, -2
7MVUG1, R, 4, -4, -4, -2
ST898E, Y, 3, -4, -4, -2
93CT8B, B, 2, -4, -4, inf
4TGIVI, B, 1, -4, -inf, -4
93CT8B, R, 2, -inf, -inf, -4
7MVUG1, B, 3, inf, -inf, -4
B302WY, G, 4, -19, -inf, -4
7MVUG1, B, 3, -19, -inf, -19
B302WY, R, 4, -21, -inf, -19
7MVUG1, B, 3, -21, -inf, -21
B302WY, Y, 4, -23, -inf, -21
7MVUG1, B, 3, -23, -inf, -23
D7A6DO, G, 4, -19, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
D7A6DO, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
D7A6DO, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
E3B6KU, B, 4, -15, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
E3B6KU, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
E3B6KU, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
FBMJRV, B, 4, -15, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
FBMJRV, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
FBMJRV, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
GKM35T, G, 4, -19, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
GKM35T, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
GKM35T, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
IOIZ5S, G, 4, -19, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
IOIZ5S, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
IOIZ5S, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
JENPWA, G, 4, -19, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
JENPWA, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
JENPWA, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
LCX2DK, B, 4, -15, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
LCX2DK, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
LCX2DK, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
LX6ZE0, G, 4, -19, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
LX6ZE0, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
LX6ZE0, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
NCYMNC, R, 4, -21, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
NCYMNC, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
ODUBEG, B, 4, -15, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
ODUBEG, G, 4, -19, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
ODUBEG, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
ST898E, B, 4, -15, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
ST898E, G, 4, -19, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
ST898E, Y, 4, -23, -inf, -23
7MVUG1, B, 3, -23, -inf, -23
93CT8B, R, 2, -23, -23, -4
7MVUG1, G, 3, inf, -23, -4
B302WY, B, 4, -9, -23, -4
7MVUG1, G, 3, -9, -23, -9
B302WY, R, 4, -15, -23, -9
7MVUG1, G, 3, -15, -23, -15
B302WY, Y, 4, -17, -23, -15
7MVUG1, G, 3, -17, -23, -17
D7A6DO, G, 4, -13, -23, -17
7MVUG1, G, 3, -17, -23, -17
D7A6DO, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
D7A6DO, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
E3B6KU, B, 4, -9, -23, -17
7MVUG1, G, 3, -17, -23, -17
E3B6KU, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
E3B6KU, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
FBMJRV, B, 4, -9, -23, -17
7MVUG1, G, 3, -17, -23, -17
FBMJRV, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
FBMJRV, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
GKM35T, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
GKM35T, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
IOIZ5S, B, 4, -9, -23, -17
7MVUG1, G, 3, -17, -23, -17
IOIZ5S, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
IOIZ5S, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
JENPWA, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
JENPWA, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
LCX2DK, B, 4, -9, -23, -17
7MVUG1, G, 3, -17, -23, -17
LCX2DK, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
LCX2DK, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
LX6ZE0, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
LX6ZE0, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
NCYMNC, B, 4, -9, -23, -17
7MVUG1, G, 3, -17, -23, -17
NCYMNC, R, 4, -15, -23, -17
7MVUG1, G, 3, -17, -23, -17
NCYMNC, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
ODUBEG, B, 4, -9, -23, -17
7MVUG1, G, 3, -17, -23, -17
ODUBEG, G, 4, -13, -23, -17
7MVUG1, G, 3, -17, -23, -17
ODUBEG, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
ST898E, B, 4, -9, -23, -17
7MVUG1, G, 3, -17, -23, -17
ST898E, G, 4, -13, -23, -17
7MVUG1, G, 3, -17, -23, -17
ST898E, Y, 4, -17, -23, -17
7MVUG1, G, 3, -17, -23, -17
93CT8B, R, 2, -17, -17, -4
7MVUG1, Y, 3, inf, -17, -4
B302WY, B, 4, -4, -17, -4
7MVUG1, Y, 3, -4, -17, -4
B302WY, G, 4, -8, -17, -4
7MVUG1, Y, 3, -8, -17, -8
B302WY, R, 4, -10, -17, -8
7MVUG1, Y, 3, -10, -17, -10
D7A6DO, G, 4, -8, -17, -10
7MVUG1, Y, 3, -10, -17, -10
D7A6DO, R, 4, -10, -17, -10
7MVUG1, Y, 3, -10, -17, -10
D7A6DO, Y, 4, -12, -17, -10
7MVUG1, Y, 3, -12, -17, -12
E3B6KU, B, 4, -4, -17, -12
7MVUG1, Y, 3, -12, -17, -12
E3B6KU, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
E3B6KU, Y, 4, -12, -17, -12
7MVUG1, Y, 3, -12, -17, -12
FBMJRV, B, 4, -4, -17, -12
7MVUG1, Y, 3, -12, -17, -12
FBMJRV, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
FBMJRV, Y, 4, -12, -17, -12
7MVUG1, Y, 3, -12, -17, -12
GKM35T, G, 4, -8, -17, -12
7MVUG1, Y, 3, -12, -17, -12
GKM35T, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
IOIZ5S, B, 4, -4, -17, -12
7MVUG1, Y, 3, -12, -17, -12
IOIZ5S, G, 4, -8, -17, -12
7MVUG1, Y, 3, -12, -17, -12
IOIZ5S, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
JENPWA, G, 4, -8, -17, -12
7MVUG1, Y, 3, -12, -17, -12
JENPWA, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
LCX2DK, B, 4, -4, -17, -12
7MVUG1, Y, 3, -12, -17, -12
LCX2DK, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
LCX2DK, Y, 4, -12, -17, -12
7MVUG1, Y, 3, -12, -17, -12
LX6ZE0, G, 4, -8, -17, -12
7MVUG1, Y, 3, -12, -17, -12
LX6ZE0, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
NCYMNC, B, 4, -4, -17, -12
7MVUG1, Y, 3, -12, -17, -12
NCYMNC, R, 4, -10, -17, -12
7MVUG1, Y, 3, -12, -17, -12
ODUBEG, B, 4, -4, -17, -12
7MVUG1, Y, 3, -12, -17, -12
ODUBEG, G, 4, -8, -17, -12
7MVUG1, Y, 3, -12, -17, -12
ODUBEG, Y, 4, -12, -17, -12
7MVUG1, Y, 3, -12, -17, -12
ST898E, B, 4, -4, -17, -12
7MVUG1, Y, 3, -12, -17, -12
ST898E, G, 4, -8, -17, -12
7MVUG1, Y, 3, -12, -17, -12
ST898E, Y, 4, -12, -17, -12
7MVUG1, Y, 3, -12, -17, -12
93CT8B, R, 2, -12, -12, -4
D7A6DO, G, 3, inf, -12, -4
7MVUG1, B, 4, -9, -12, -4
D7A6DO, G, 3, -9, -12, -9
7MVUG1, G, 4, -13, -12, -9
D7A6DO, G, 3, -13, -12, -9
93CT8B, R, 2, -12, -12, -4
D7A6DO, R, 3, inf, -12, -4
7MVUG1, B, 4, -2, -12, -4
D7A6DO, R, 3, -2, -12, -4
7MVUG1, G, 4, -6, -12, -4
D7A6DO, R, 3, -6, -12, -6
7MVUG1, Y, 4, -10, -12, -6
D7A6DO, R, 3, -10, -12, -10
BJ5MZ5, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
BJ5MZ5, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
BJ5MZ5, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
E3B6KU, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
E3B6KU, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
FBMJRV, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
FBMJRV, R, 4, -8, -12, -10
D7A6DO, R, 3, -10, -12, -10
FBMJRV, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
GKM35T, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
GKM35T, R, 4, -8, -12, -10
D7A6DO, R, 3, -10, -12, -10
GKM35T, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
JENPWA, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
JENPWA, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
LCX2DK, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
LCX2DK, R, 4, -8, -12, -10
D7A6DO, R, 3, -10, -12, -10
LCX2DK, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
LX6ZE0, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
LX6ZE0, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
NCYMNC, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
NCYMNC, R, 4, -8, -12, -10
D7A6DO, R, 3, -10, -12, -10
NCYMNC, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
ODUBEG, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
ODUBEG, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
ODUBEG, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
ST898E, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
ST898E, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
ST898E, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
TI1LD6, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
TI1LD6, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
TI1LD6, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
XW9SVZ, B, 4, -2, -12, -10
D7A6DO, R, 3, -10, -12, -10
XW9SVZ, G, 4, -6, -12, -10
D7A6DO, R, 3, -10, -12, -10
XW9SVZ, Y, 4, -10, -12, -10
D7A6DO, R, 3, -10, -12, -10
93CT8B, R, 2, -10, -10, -4
D7A6DO, Y, 3, inf, -10, -4
7MVUG1, B, 4, -4, -10, -4
D7A6DO, Y, 3, -4, -10, -4
7MVUG1, G, 4, -8, -10, -4
D7A6DO, Y, 3, -8, -10, -8
7MVUG1, Y, 4, -12, -10, -8
D7A6DO, Y, 3, -12, -10, -8
93CT8B, R, 2, -10, -10, -4
E3B6KU, B, 3, inf, -10, -4
7MVUG1, B, 4, -15, -10, -4
E3B6KU, B, 3, -15, -10, -4
93CT8B, R, 2, -10, -10, -4
E3B6KU, R, 3, inf, -10, -4
7MVUG1, B, 4, -2, -10, -4
E3B6KU, R, 3, -2, -10, -4
7MVUG1, G, 4, -6, -10, -4
E3B6KU, R, 3, -6, -10, -6
7MVUG1, Y, 4, -10, -10, -6
E3B6KU, R, 3, -10, -10, -6
93CT8B, R, 2, -10, -10, -4
E3B6KU, Y, 3, inf, -10, -4
7MVUG1, B, 4, -4, -10, -4
E3B6KU, Y, 3, -4, -10, -4
7MVUG1, G, 4, -8, -10, -4
E3B6KU, Y, 3, -8, -10, -8
7MVUG1, Y, 4, -12, -10, -8
E3B6KU, Y, 3, -12, -10, -8
93CT8B, R, 2, -10, -10, -4
FBMJRV, B, 3, inf, -10, -4
7MVUG1, B, 4, -15, -10, -4
FBMJRV, B, 3, -15, -10, -4
93CT8B, R, 2, -10, -10, -4
FBMJRV, R, 3, inf, -10, -4
7MVUG1, B, 4, -2, -10, -4
FBMJRV, R, 3, -2, -10, -4
7MVUG1, G, 4, -6, -10, -4
FBMJRV, R, 3, -6, -10, -6
7MVUG1, Y, 4, -10, -10, -6
FBMJRV, R, 3, -10, -10, -6
93CT8B, R, 2, -10, -10, -4
FBMJRV, Y, 3, inf, -10, -4
7MVUG1, B, 4, -4, -10, -4
FBMJRV, Y, 3, -4, -10, -4
7MVUG1, G, 4, -8, -10, -4
FBMJRV, Y, 3, -8, -10, -8
7MVUG1, Y, 4, -12, -10, -8
FBMJRV, Y, 3, -12, -10, -8
93CT8B, R, 2, -10, -10, -4
GKM35T, G, 3, inf, -10, -4
7MVUG1, B, 4, -9, -10, -4
GKM35T, G, 3, -9, -10, -9
7MVUG1, Y, 4, -17, -10, -9
GKM35T, G, 3, -17, -10, -9
93CT8B, R, 2, -10, -10, -4
GKM35T, R, 3, inf, -10, -4
7MVUG1, B, 4, -2, -10, -4
GKM35T, R, 3, -2, -10, -4
7MVUG1, G, 4, -6, -10, -4
GKM35T, R, 3, -6, -10, -6
7MVUG1, Y, 4, -10, -10, -6
GKM35T, R, 3, -10, -10, -6
93CT8B, R, 2, -10, -10, -4
GKM35T, Y, 3, inf, -10, -4
7MVUG1, B, 4, -4, -10, -4
