Y5AK5V, G, 0, -inf, -inf, inf
5ARP8X, G, 3, 6, -3, 0
PAFB9P, G, 4, 15, -3, 0
5ARP8X, G, 3, 6, -3, 0
PEU7VW, B, 4, 9, -3, 0
5ARP8X, G, 3, 6, -3, 0
R2IKQH, G, 4, 15, -3, 0
5ARP8X, G, 3, 6, -3, 0
R2IKQH, R, 4, 6, -3, 0
5ARP8X, G, 3, 6, -3, 0
U7XFL2, R, 4, 6, -3, 0
5ARP8X, G, 3, 6, -3, 0
W2IIS3, B, 4, 9, -3, 0
5ARP8X, G, 3, 6, -3, 0
W2IIS3, G, 4, 15, -3, 0
5ARP8X, G, 3, 6, -3, 0
WPO8UN, B, 4, 9, -3, 0
5ARP8X, G, 3, 6, -3, 0
WPO8UN, R, 4, 6, -3, 0
5ARP8X, G, 3, 6, -3, 0
Z7J3WM, B, 4, 9, -3, 0
5ARP8X, G, 3, 6, -3, 0
Z7J3WM, R, 4, 6, -3, 0
5ARP8X, G, 3, 6, -3, 0
5V4RTP, G, 2, 6, -3, 0
572PSY, B, 1, 0, -inf, 0
5V4RTP, R, 2, -inf, -inf, 0
5ARP8X, B, 3, inf, -inf, 0
FN6FXI, R, 4, -12, -inf, 0
5ARP8X, B, 3, -12, -inf, -12
FVHX54, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
FVHX54, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
JPKJGU, R, 4, -12, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
KV5GZ0, R, 4, -12, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
PAFB9P, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
PAFB9P, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
PEU7VW, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
R2IKQH, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
R2IKQH, R, 4, -12, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
U7XFL2, R, 4, -12, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
W2IIS3, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
W2IIS3, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
WPO8UN, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
WPO8UN, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
Y9PHLU, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
Z7J3WM, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
Z7J3WM, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
5V4RTP, R, 2, -12, -12, 0
5ARP8X, G, 3, inf, -12, 0
FN6FXI, B, 4, 0, -12, 0
5ARP8X, G, 3, 0, -12, 0
FN6FXI, R, 4, -3, -12, 0
5ARP8X, G, 3, -3, -12, -3
FVHX54, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
FVHX54, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
JPKJGU, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
JPKJGU, R, 4, -3, -12, -3
5ARP8X, G, 3, -3, -12, -3
KV5GZ0, R, 4, -3, -12, -3
5ARP8X, G, 3, -3, -12, -3
PAFB9P, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
PAFB9P, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
PEU7VW, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
R2IKQH, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
R2IKQH, R, 4, -3, -12, -3
5ARP8X, G, 3, -3, -12, -3
U7XFL2, R, 4, -3, -12, -3
5ARP8X, G, 3, -3, -12, -3
W2IIS3, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
W2IIS3, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
WPO8UN, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
WPO8UN, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
Z7J3WM, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
Z7J3WM, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
5V4RTP, R, 2, -3, -3, 0
FN6FXI, B, 3, inf, -3, 0
5ARP8X, G, 4, -3, -3, 0
FN6FXI, B, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
FN6FXI, R, 3, inf, -3, 0
5ARP8X, B, 4, -3, -3, 0
FN6FXI, R, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
FVHX54, B, 3, inf, -3, 0
05Z10J, G, 4, -3, -3, 0
FVHX54, B, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
FVHX54, G, 3, inf, -3, 0
05Z10J, B, 4, 0, -3, 0
FVHX54, G, 3, 0, -3, 0
05Z10J, R, 4, -3, -3, 0
FVHX54, G, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
JPKJGU, B, 3, inf, -3, 0
5ARP8X, G, 4, -3, -3, 0
JPKJGU, B, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
JPKJGU, R, 3, inf, -3, 0
5ARP8X, B, 4, -3, -3, 0
JPKJGU, R, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
KV5GZ0, R, 3, inf, -3, 0
5ARP8X, B, 4, -3, -3, 0
KV5GZ0, R, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
PAFB9P, B, 3, inf, -3, 0
05Z10J, G, 4, -3, -3, 0
PAFB9P, B, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
PAFB9P, G, 3, inf, -3, 0
05Z10J, B, 4, 0, -3, 0
PAFB9P, G, 3, 0, -3, 0
05Z10J, R, 4, -3, -3, 0
PAFB9P, G, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
PEU7VW, B, 3, inf, -3, 0
5ARP8X, B, 4, -9, -3, 0
PEU7VW, B, 3, -9, -3, 0
5V4RTP, R, 2, -3, -3, 0
R2IKQH, G, 3, inf, -3, 0
05Z10J, B, 4, 0, -3, 0
R2IKQH, G, 3, 0, -3, 0
05Z10J, R, 4, -3, -3, 0
R2IKQH, G, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
R2IKQH, R, 3, inf, -3, 0
05Z10J, B, 4, -3, -3, 0
R2IKQH, R, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
U7XFL2, R, 3, inf, -3, 0
5ARP8X, B, 4, -3, -3, 0
U7XFL2, R, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
W2IIS3, B, 3, inf, -3, 0
5ARP8X, B, 4, -9, -3, 0
W2IIS3, B, 3, -9, -3, 0
5V4RTP, R, 2, -3, -3, 0
W2IIS3, G, 3, inf, -3, 0
5ARP8X, B, 4, 0, -3, 0
W2IIS3, G, 3, 0, -3, 0
5ARP8X, G, 4, 6, -3, 0
W2IIS3, G, 3, 0, -3, 0
FN6FXI, B, 4, 0, -3, 0
W2IIS3, G, 3, 0, -3, 0
FN6FXI, R, 4, -3, -3, 0
W2IIS3, G, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
WPO8UN, B, 3, inf, -3, 0
0RWJCR, G, 4, -3, -3, 0
WPO8UN, B, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
WPO8UN, G, 3, inf, -3, 0
0RWJCR, B, 4, 0, -3, 0
WPO8UN, G, 3, 0, -3, 0
0RWJCR, R, 4, -3, -3, 0
WPO8UN, G, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
Y9PHLU, G, 3, inf, -3, 0
5ARP8X, B, 4, 0, -3, 0
Y9PHLU, G, 3, 0, -3, 0
DEM4NQ, B, 4, 0, -3, 0
Y9PHLU, G, 3, 0, -3, 0
DEM4NQ, R, 4, -3, -3, 0
Y9PHLU, G, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
Z7J3WM, B, 3, inf, -3, 0
05Z10J, G, 4, -3, -3, 0
Z7J3WM, B, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
Z7J3WM, G, 3, inf, -3, 0
05Z10J, B, 4, 0, -3, 0
Z7J3WM, G, 3, 0, -3, 0
05Z10J, R, 4, -3, -3, 0
Z7J3WM, G, 3, -3, -3, 0
5V4RTP, R, 2, -3, -3, 0
572PSY, B, 1, -3, -inf, -3
FN6FXI, B, 2, -inf, -inf, -3
5ARP8X, G, 3, inf, -inf, -3
5V4RTP, G, 4, 9, -inf, -3
5ARP8X, G, 3, 9, -inf, -3
5V4RTP, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
FVHX54, B, 4, 3, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
FVHX54, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
JPKJGU, B, 4, 3, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
JPKJGU, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
KV5GZ0, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
NNBHMP, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
NNBHMP, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
PAFB9P, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
R2IKQH, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
R2IKQH, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
U7XFL2, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
W2IIS3, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
FN6FXI, B, 2, 0, -inf, -3
572PSY, B, 1, -3, -inf, -3
FN6FXI, R, 2, -inf, -inf, -3
5ARP8X, B, 3, inf, -inf, -3
5V4RTP, G, 4, -3, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
5V4RTP, R, 4, -12, -inf, -3
5ARP8X, B, 3, -12, -inf, -12
FVHX54, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
FVHX54, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
JPKJGU, R, 4, -12, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
NNBHMP, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
NNBHMP, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
PAFB9P, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
PAFB9P, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
PEU7VW, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
R2IKQH, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
U7XFL2, R, 4, -12, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
W2IIS3, B, 4, -9, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
W2IIS3, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
Y9PHLU, G, 4, -3, -inf, -12
5ARP8X, B, 3, -12, -inf, -12
FN6FXI, R, 2, -12, -12, -3
5ARP8X, G, 3, inf, -12, -3
5V4RTP, G, 4, 6, -12, -3
5ARP8X, G, 3, 6, -12, -3
5V4RTP, R, 4, -3, -12, -3
5ARP8X, G, 3, -3, -12, -3
FVHX54, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
FVHX54, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
JPKJGU, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
JPKJGU, R, 4, -3, -12, -3
5ARP8X, G, 3, -3, -12, -3
NNBHMP, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
NNBHMP, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
PAFB9P, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
PAFB9P, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
PEU7VW, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
R2IKQH, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
U7XFL2, R, 4, -3, -12, -3
5ARP8X, G, 3, -3, -12, -3
W2IIS3, B, 4, 0, -12, -3
5ARP8X, G, 3, -3, -12, -3
W2IIS3, G, 4, 6, -12, -3
5ARP8X, G, 3, -3, -12, -3
FN6FXI, R, 2, -3, -12, -3
572PSY, B, 1, -3, -inf, -3
FVHX54, B, 2, -inf, -inf, -3
05Z10J, G, 3, inf, -inf, -3
5ARP8X, B, 4, 3, -inf, -3
05Z10J, G, 3, 3, -inf, -3
5ARP8X, G, 4, 9, -inf, -3
05Z10J, G, 3, 3, -inf, -3
5V4RTP, G, 4, 9, -inf, -3
05Z10J, G, 3, 3, -inf, -3
5V4RTP, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
FN6FXI, B, 4, 3, -inf, -3
05Z10J, G, 3, 0, -inf, -3
FN6FXI, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
JPKJGU, B, 4, 3, -inf, -3
05Z10J, G, 3, 0, -inf, -3
JPKJGU, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
KV5GZ0, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
PEU7VW, B, 4, 3, -inf, -3
05Z10J, G, 3, 0, -inf, -3
R2IKQH, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
T2YR3E, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
U7XFL2, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
V4Q1JP, G, 4, 9, -inf, -3
05Z10J, G, 3, 0, -inf, -3
V4Q1JP, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
W2IIS3, B, 4, 3, -inf, -3
05Z10J, G, 3, 0, -inf, -3
W2IIS3, G, 4, 9, -inf, -3
05Z10J, G, 3, 0, -inf, -3
WPO8UN, G, 4, 9, -inf, -3
05Z10J, G, 3, 0, -inf, -3
WPO8UN, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
Y2UCHU, B, 4, 3, -inf, -3
05Z10J, G, 3, 0, -inf, -3
Y2UCHU, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
Y9PHLU, G, 4, 9, -inf, -3
05Z10J, G, 3, 0, -inf, -3
Z7J3WM, B, 4, 3, -inf, -3
05Z10J, G, 3, 0, -inf, -3
Z7J3WM, R, 4, 0, -inf, -3
05Z10J, G, 3, 0, -inf, -3
FVHX54, B, 2, 0, -inf, -3
572PSY, B, 1, -3, -inf, -3
FVHX54, G, 2, -inf, -inf, -3
05Z10J, B, 3, inf, -inf, -3
5ARP8X, B, 4, 0, -inf, -3
05Z10J, B, 3, 0, -inf, -3
5ARP8X, G, 4, 6, -inf, -3
05Z10J, B, 3, 0, -inf, -3
5V4RTP, G, 4, 6, -inf, -3
05Z10J, B, 3, 0, -inf, -3
5V4RTP, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
FN6FXI, B, 4, 0, -inf, -3
05Z10J, B, 3, -3, -inf, -3
FN6FXI, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
JPKJGU, B, 4, 0, -inf, -3
05Z10J, B, 3, -3, -inf, -3
JPKJGU, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
KV5GZ0, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
PEU7VW, B, 4, 0, -inf, -3
05Z10J, B, 3, -3, -inf, -3
R2IKQH, G, 4, 6, -inf, -3
05Z10J, B, 3, -3, -inf, -3
R2IKQH, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
T2YR3E, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
U7XFL2, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
V4Q1JP, B, 4, 0, -inf, -3
05Z10J, B, 3, -3, -inf, -3
V4Q1JP, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
W2IIS3, B, 4, 0, -inf, -3
05Z10J, B, 3, -3, -inf, -3
W2IIS3, G, 4, 6, -inf, -3
05Z10J, B, 3, -3, -inf, -3
WPO8UN, B, 4, 0, -inf, -3
05Z10J, B, 3, -3, -inf, -3
WPO8UN, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
Y2UCHU, G, 4, 6, -inf, -3
05Z10J, B, 3, -3, -inf, -3
Y2UCHU, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
Y9PHLU, G, 4, 6, -inf, -3
05Z10J, B, 3, -3, -inf, -3
Z7J3WM, G, 4, 6, -inf, -3
05Z10J, B, 3, -3, -inf, -3
Z7J3WM, R, 4, -3, -inf, -3
05Z10J, B, 3, -3, -inf, -3
FVHX54, G, 2, -3, -inf, -3
572PSY, B, 1, -3, -inf, -3
JPKJGU, B, 2, -inf, -inf, -3
5ARP8X, G, 3, inf, -inf, -3
5V4RTP, G, 4, 9, -inf, -3
5ARP8X, G, 3, 9, -inf, -3
5V4RTP, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
FN6FXI, B, 4, 3, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
FN6FXI, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
FVHX54, B, 4, 3, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
FVHX54, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
KV5GZ0, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
LWMYG1, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
LWMYG1, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
NNBHMP, G, 4, 9, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
NNBHMP, R, 4, 0, -inf, -3
5ARP8X, G, 3, 0, -inf, -3
PAFB9P, B, 4, 3, -inf, -3
