MD3KRQ, G, 0, -inf, -inf, inf
10X94T, B, 1, -6, -inf, -6
LSMH8T, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
LSMH8T, P, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
LSMH8T, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
LSMH8T, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
LSMH8T, R, 2, -inf, -inf, -6
5E7IFX, B, 3, -5, -inf, -6
LSMH8T, R, 2, -5, -inf, -6
10X94T, B, 1, -6, -inf, -6
LSMH8T, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
LSMH8T, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
LSMH8T, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
LSMH8T, Y, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
LSMH8T, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
R109DH, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
R109DH, P, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
R109DH, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
R109DH, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
R109DH, R, 2, -inf, -inf, -6
5E7IFX, B, 3, -5, -inf, -6
R109DH, R, 2, -5, -inf, -6
10X94T, B, 1, -6, -inf, -6
R109DH, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
R109DH, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
R109DH, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
R109DH, Y, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
R109DH, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
ZE3HTR, B, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
ZE3HTR, B, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
ZE3HTR, B, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
ZE3HTR, B, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
ZE3HTR, G, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
ZE3HTR, G, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
ZE3HTR, G, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
ZE3HTR, G, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
ZE3HTR, G, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
ZE3HTR, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
ZE3HTR, P, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
ZE3HTR, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
ZE3HTR, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
ZE3HTR, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
ZE3HTR, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
ZE3HTR, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
ZE3HTR, Y, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
ZE3HTR, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
MD3KRQ, G, 0, -6, -6, inf
10X94T, P, 1, inf, -6, inf
5E7IFX, B, 2, -inf, -6, inf
AGKE29, G, 3, -13, -6, inf
5E7IFX, B, 2, -13, -6, inf
AGKE29, P, 3, -13, -6, inf
5E7IFX, B, 2, -13, -6, inf
AGKE29, R, 3, -9, -6, inf
5E7IFX, B, 2, -9, -6, inf
AGKE29, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
DRPOSC, B, 3, -10, -6, inf
5E7IFX, B, 2, -7, -6, inf
DRPOSC, R, 3, -9, -6, inf
5E7IFX, B, 2, -7, -6, inf
DRPOSC, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
DWCEWT, P, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
DWCEWT, R, 3, -9, -6, inf
5E7IFX, B, 2, -7, -6, inf
DWCEWT, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
EACUER, G, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
EACUER, P, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
EACUER, R, 3, -9, -6, inf
5E7IFX, B, 2, -7, -6, inf
EACUER, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
F5GTYF, B, 3, -10, -6, inf
5E7IFX, B, 2, -7, -6, inf
F5GTYF, G, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
F5GTYF, R, 3, -9, -6, inf
5E7IFX, B, 2, -7, -6, inf
F5GTYF, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
FC55DO, B, 3, -10, -6, inf
5E7IFX, B, 2, -7, -6, inf
FC55DO, G, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
FC55DO, P, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
FC55DO, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
FXFIH0, B, 3, -10, -6, inf
5E7IFX, B, 2, -7, -6, inf
FXFIH0, G, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
FXFIH0, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
LSMH8T, B, 3, -10, -6, inf
5E7IFX, B, 2, -7, -6, inf
LSMH8T, G, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
LSMH8T, R, 3, -9, -6, inf
5E7IFX, B, 2, -7, -6, inf
LSMH8T, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
R109DH, B, 3, -10, -6, inf
5E7IFX, B, 2, -7, -6, inf
R109DH, R, 3, -9, -6, inf
5E7IFX, B, 2, -7, -6, inf
R109DH, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
Z9Q7SV, G, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
Z9Q7SV, P, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
Z9Q7SV, R, 3, -9, -6, inf
5E7IFX, B, 2, -7, -6, inf
Z9Q7SV, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
ZE3HTR, B, 3, -10, -6, inf
5E7IFX, B, 2, -7, -6, inf
ZE3HTR, G, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
ZE3HTR, P, 3, -13, -6, inf
5E7IFX, B, 2, -7, -6, inf
ZE3HTR, Y, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
10X94T, P, 1, -7, -6, inf
MD3KRQ, G, 0, -6, -6, inf
10X94T, Y, 1, inf, -6, inf
5E7IFX, B, 2, -inf, -6, inf
AGKE29, G, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
AGKE29, P, 3, -7, -6, inf
5E7IFX, B, 2, -7, -6, inf
AGKE29, R, 3, -3, -6, inf
5E7IFX, B, 2, -3, -3, inf
AGKE29, Y, 3, -1, -3, inf
5E7IFX, B, 2, -1, -1, inf
DRPOSC, B, 3, -4, -1, inf
5E7IFX, B, 2, -1, -1, inf
DRPOSC, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
DRPOSC, R, 3, -3, -1, inf
5E7IFX, B, 2, -1, -1, inf
DWCEWT, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
DWCEWT, R, 3, -3, -1, inf
5E7IFX, B, 2, -1, -1, inf
DWCEWT, Y, 3, -1, -1, inf
5E7IFX, B, 2, -1, -1, inf
EACUER, G, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
EACUER, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
EACUER, R, 3, -3, -1, inf
5E7IFX, B, 2, -1, -1, inf
EACUER, Y, 3, -1, -1, inf
5E7IFX, B, 2, -1, -1, inf
F5GTYF, B, 3, -4, -1, inf
5E7IFX, B, 2, -1, -1, inf
F5GTYF, G, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
F5GTYF, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
F5GTYF, R, 3, -3, -1, inf
5E7IFX, B, 2, -1, -1, inf
FC55DO, B, 3, -4, -1, inf
5E7IFX, B, 2, -1, -1, inf
FC55DO, G, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
FC55DO, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
FC55DO, Y, 3, -1, -1, inf
5E7IFX, B, 2, -1, -1, inf
FXFIH0, B, 3, -4, -1, inf
5E7IFX, B, 2, -1, -1, inf
FXFIH0, G, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
FXFIH0, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
LSMH8T, B, 3, -4, -1, inf
5E7IFX, B, 2, -1, -1, inf
LSMH8T, G, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
LSMH8T, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
LSMH8T, R, 3, -3, -1, inf
5E7IFX, B, 2, -1, -1, inf
R109DH, B, 3, -4, -1, inf
5E7IFX, B, 2, -1, -1, inf
R109DH, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
R109DH, R, 3, -3, -1, inf
5E7IFX, B, 2, -1, -1, inf
Z9Q7SV, G, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
Z9Q7SV, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
Z9Q7SV, R, 3, -3, -1, inf
5E7IFX, B, 2, -1, -1, inf
Z9Q7SV, Y, 3, -1, -1, inf
5E7IFX, B, 2, -1, -1, inf
ZE3HTR, B, 3, -4, -1, inf
5E7IFX, B, 2, -1, -1, inf
ZE3HTR, G, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
ZE3HTR, P, 3, -7, -1, inf
5E7IFX, B, 2, -1, -1, inf
ZE3HTR, Y, 3, -1, -1, inf
5E7IFX, B, 2, -1, -1, inf
10X94T, Y, 1, -1, -6, -1
5E7IFX, P, 2, -inf, -6, -1
AGKE29, B, 3, -4, -6, -1
5E7IFX, P, 2, -4, -4, -1
AGKE29, G, 3, -7, -4, -1
5E7IFX, P, 2, -4, -4, -1
AGKE29, R, 3, -3, -4, -1
5E7IFX, P, 2, -3, -3, -1
AGKE29, Y, 3, -1, -3, -1
5E7IFX, P, 2, -1, -3, -1
10X94T, Y, 1, -1, -6, -1
5E7IFX, R, 2, -inf, -6, -1
AGKE29, B, 3, -2, -6, -1
5E7IFX, R, 2, -2, -2, -1
AGKE29, G, 3, -5, -2, -1
5E7IFX, R, 2, -2, -2, -1
AGKE29, P, 3, -5, -2, -1
5E7IFX, R, 2, -2, -2, -1
AGKE29, Y, 3, 1, -2, -1
5E7IFX, R, 2, 1, -2, -1
10X94T, Y, 1, -1, -6, -1
5E7IFX, Y, 2, -inf, -6, -1
AGKE29, B, 3, -6, -6, -1
5E7IFX, Y, 2, -6, -6, -1
AGKE29, G, 3, -9, -6, -1
5E7IFX, Y, 2, -6, -6, -1
AGKE29, P, 3, -9, -6, -1
5E7IFX, Y, 2, -6, -6, -1
AGKE29, R, 3, -5, -6, -1
5E7IFX, Y, 2, -5, -5, -1
DRPOSC, B, 3, -6, -5, -1
5E7IFX, Y, 2, -5, -5, -1
DRPOSC, P, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
DRPOSC, R, 3, -5, -5, -1
5E7IFX, Y, 2, -5, -5, -1
DWCEWT, B, 3, -6, -5, -1
5E7IFX, Y, 2, -5, -5, -1
DWCEWT, P, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
DWCEWT, R, 3, -5, -5, -1
5E7IFX, Y, 2, -5, -5, -1
EACUER, B, 3, -6, -5, -1
5E7IFX, Y, 2, -5, -5, -1
EACUER, G, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
EACUER, P, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
EACUER, R, 3, -5, -5, -1
5E7IFX, Y, 2, -5, -5, -1
F5GTYF, B, 3, -6, -5, -1
5E7IFX, Y, 2, -5, -5, -1
F5GTYF, G, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
F5GTYF, P, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
F5GTYF, R, 3, -5, -5, -1
5E7IFX, Y, 2, -5, -5, -1
FC55DO, B, 3, -6, -5, -1
5E7IFX, Y, 2, -5, -5, -1
FC55DO, G, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
FC55DO, P, 3, -9, -5, -1
5E7IFX, Y, 2, -5, -5, -1
FC55DO, Y, 3, -3, -5, -1
5E7IFX, Y, 2, -3, -3, -1
FXFIH0, B, 3, -6, -3, -1
