LTLSGP, G, 0, -inf, -inf, inf
817L9G, R, 3, 9, 6, 9
AAG474, B, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
AAG474, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
AAG474, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
AAG474, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
CF1Z5O, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
CF1Z5O, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
CF1Z5O, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
CF1Z5O, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
CO40SE, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
CO40SE, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
CO40SE, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
CO40SE, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
EF9RLK, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
EF9RLK, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
EF9RLK, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
EY09SW, B, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
EY09SW, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
EY09SW, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
EY09SW, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
FOO33M, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
FOO33M, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
FOO33M, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
FOO33M, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
L4HM6F, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
L4HM6F, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
L4HM6F, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
L4HM6F, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
NKKV2U, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
NKKV2U, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
NKKV2U, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
NTI6GR, B, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
NTI6GR, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
NTI6GR, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
NTI6GR, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
SH4X3W, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
SH4X3W, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
SH4X3W, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
UQ5Z9S, B, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
UQ5Z9S, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
UQ5Z9S, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
UQ5Z9S, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
USBR8V, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
USBR8V, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
USBR8V, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
WWGHKN, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
WWGHKN, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
WWGHKN, R, 4, 12, 6, 9
817L9G, R, 3, 9, 6, 9
WWGHKN, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
ZMZURH, B, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
ZMZURH, G, 4, 10, 6, 9
817L9G, R, 3, 9, 6, 9
ZMZURH, P, 4, 16, 6, 9
817L9G, R, 3, 9, 6, 9
ZMZURH, Y, 4, 9, 6, 9
817L9G, R, 3, 9, 6, 9
8QCUXZ, B, 2, 9, 9, inf
817L9G, Y, 3, inf, 9, inf
9YUTXH, G, 4, 5, 9, inf
817L9G, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
9YUTXH, G, 3, inf, 9, inf
817L9G, G, 4, 7, 9, inf
9YUTXH, G, 3, 7, 9, inf
8QCUXZ, B, 2, 9, 9, inf
9YUTXH, P, 3, inf, 9, inf
817L9G, G, 4, -3, 9, inf
9YUTXH, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
9YUTXH, Y, 3, inf, 9, inf
817L9G, G, 4, 5, 9, inf
9YUTXH, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
CF1Z5O, G, 3, inf, 9, inf
659CBO, B, 4, 7, 9, inf
CF1Z5O, G, 3, 7, 9, inf
8QCUXZ, B, 2, 9, 9, inf
CF1Z5O, P, 3, inf, 9, inf
659CBO, B, 4, -3, 9, inf
CF1Z5O, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
CF1Z5O, R, 3, inf, 9, inf
659CBO, B, 4, 10, 9, inf
CF1Z5O, R, 3, 10, 9, 10
659CBO, G, 4, 10, 9, 10
CF1Z5O, R, 3, 10, 9, 10
659CBO, P, 4, 16, 9, 10
CF1Z5O, R, 3, 10, 9, 10
659CBO, Y, 4, 9, 9, 10
CF1Z5O, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
CF1Z5O, Y, 3, inf, 9, inf
659CBO, B, 4, 5, 9, inf
CF1Z5O, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
CO40SE, G, 3, inf, 9, inf
659CBO, B, 4, 7, 9, inf
CO40SE, G, 3, 7, 9, inf
8QCUXZ, B, 2, 9, 9, inf
CO40SE, P, 3, inf, 9, inf
659CBO, B, 4, -3, 9, inf
CO40SE, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
CO40SE, R, 3, inf, 9, inf
659CBO, B, 4, 10, 9, inf
CO40SE, R, 3, 10, 9, 10
659CBO, G, 4, 10, 9, 10
CO40SE, R, 3, 10, 9, 10
659CBO, P, 4, 16, 9, 10
CO40SE, R, 3, 10, 9, 10
659CBO, Y, 4, 9, 9, 10
CO40SE, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
CO40SE, Y, 3, inf, 9, inf
659CBO, B, 4, 5, 9, inf
CO40SE, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
EF9RLK, G, 3, inf, 9, inf
817L9G, P, 4, 13, 9, inf
EF9RLK, G, 3, 13, 9, 13
817L9G, R, 4, 9, 9, 13
EF9RLK, G, 3, 9, 9, 13
8QCUXZ, B, 2, 9, 9, inf
EF9RLK, P, 3, inf, 9, inf
817L9G, G, 4, -3, 9, inf
EF9RLK, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
EF9RLK, R, 3, inf, 9, inf
817L9G, G, 4, 10, 9, inf
EF9RLK, R, 3, 10, 9, 10
817L9G, P, 4, 16, 9, 10
EF9RLK, R, 3, 10, 9, 10
817L9G, Y, 4, 9, 9, 10
EF9RLK, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
EF9RLK, Y, 3, inf, 9, inf
817L9G, G, 4, 5, 9, inf
EF9RLK, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
EY09SW, B, 3, inf, 9, inf
817L9G, G, 4, -1, 9, inf
EY09SW, B, 3, -1, 9, inf
8QCUXZ, B, 2, 9, 9, inf
EY09SW, P, 3, inf, 9, inf
817L9G, G, 4, -3, 9, inf
EY09SW, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
EY09SW, R, 3, inf, 9, inf
817L9G, G, 4, 10, 9, inf
EY09SW, R, 3, 10, 9, 10
817L9G, P, 4, 16, 9, 10
EY09SW, R, 3, 10, 9, 10
817L9G, R, 4, 12, 9, 10
EY09SW, R, 3, 10, 9, 10
817L9G, Y, 4, 9, 9, 10
EY09SW, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
EY09SW, Y, 3, inf, 9, inf
817L9G, G, 4, 5, 9, inf
EY09SW, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
FOO33M, G, 3, inf, 9, inf
659CBO, B, 4, 7, 9, inf
FOO33M, G, 3, 7, 9, inf
8QCUXZ, B, 2, 9, 9, inf
FOO33M, P, 3, inf, 9, inf
659CBO, B, 4, -3, 9, inf
FOO33M, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
FOO33M, R, 3, inf, 9, inf
659CBO, B, 4, 10, 9, inf
FOO33M, R, 3, 10, 9, 10
659CBO, G, 4, 10, 9, 10
FOO33M, R, 3, 10, 9, 10
659CBO, P, 4, 16, 9, 10
FOO33M, R, 3, 10, 9, 10
659CBO, Y, 4, 9, 9, 10
FOO33M, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
FOO33M, Y, 3, inf, 9, inf
659CBO, B, 4, 5, 9, inf
FOO33M, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
L4HM6F, G, 3, inf, 9, inf
817L9G, G, 4, 7, 9, inf
L4HM6F, G, 3, 7, 9, inf
8QCUXZ, B, 2, 9, 9, inf
L4HM6F, P, 3, inf, 9, inf
817L9G, G, 4, -3, 9, inf
L4HM6F, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
L4HM6F, R, 3, inf, 9, inf
817L9G, G, 4, 10, 9, inf
L4HM6F, R, 3, 10, 9, 10
817L9G, P, 4, 16, 9, 10
L4HM6F, R, 3, 10, 9, 10
817L9G, R, 4, 12, 9, 10
L4HM6F, R, 3, 10, 9, 10
817L9G, Y, 4, 9, 9, 10
L4HM6F, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
L4HM6F, Y, 3, inf, 9, inf
817L9G, G, 4, 5, 9, inf
L4HM6F, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
NKKV2U, P, 3, inf, 9, inf
659CBO, B, 4, -3, 9, inf
NKKV2U, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
NKKV2U, R, 3, inf, 9, inf
659CBO, B, 4, 10, 9, inf
NKKV2U, R, 3, 10, 9, 10
659CBO, G, 4, 10, 9, 10
NKKV2U, R, 3, 10, 9, 10
659CBO, P, 4, 16, 9, 10
NKKV2U, R, 3, 10, 9, 10
659CBO, Y, 4, 9, 9, 10
NKKV2U, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
NKKV2U, Y, 3, inf, 9, inf
659CBO, B, 4, 5, 9, inf
NKKV2U, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
NTI6GR, B, 3, inf, 9, inf
817L9G, G, 4, -1, 9, inf
NTI6GR, B, 3, -1, 9, inf
8QCUXZ, B, 2, 9, 9, inf
NTI6GR, G, 3, inf, 9, inf
817L9G, G, 4, 7, 9, inf
NTI6GR, G, 3, 7, 9, inf
8QCUXZ, B, 2, 9, 9, inf
NTI6GR, P, 3, inf, 9, inf
817L9G, G, 4, -3, 9, inf
NTI6GR, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
NTI6GR, Y, 3, inf, 9, inf
817L9G, G, 4, 5, 9, inf
NTI6GR, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
SH4X3W, P, 3, inf, 9, inf
659CBO, B, 4, -3, 9, inf
SH4X3W, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
SH4X3W, R, 3, inf, 9, inf
659CBO, B, 4, 10, 9, inf
SH4X3W, R, 3, 10, 9, 10
659CBO, G, 4, 10, 9, 10
SH4X3W, R, 3, 10, 9, 10
659CBO, P, 4, 16, 9, 10
SH4X3W, R, 3, 10, 9, 10
659CBO, Y, 4, 9, 9, 10
SH4X3W, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
SH4X3W, Y, 3, inf, 9, inf
659CBO, B, 4, 5, 9, inf
SH4X3W, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
USBR8V, G, 3, inf, 9, inf
817L9G, P, 4, 13, 9, inf
USBR8V, G, 3, 13, 9, 13
817L9G, R, 4, 9, 9, 13
USBR8V, G, 3, 9, 9, 13
8QCUXZ, B, 2, 9, 9, inf
USBR8V, P, 3, inf, 9, inf
817L9G, G, 4, -3, 9, inf
USBR8V, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
USBR8V, R, 3, inf, 9, inf
817L9G, G, 4, 10, 9, inf
USBR8V, R, 3, 10, 9, 10
817L9G, P, 4, 16, 9, 10
USBR8V, R, 3, 10, 9, 10
817L9G, Y, 4, 9, 9, 10
USBR8V, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
USBR8V, Y, 3, inf, 9, inf
817L9G, G, 4, 5, 9, inf
USBR8V, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
WWGHKN, G, 3, inf, 9, inf
817L9G, G, 4, 7, 9, inf
WWGHKN, G, 3, 7, 9, inf
8QCUXZ, B, 2, 9, 9, inf
WWGHKN, P, 3, inf, 9, inf
817L9G, G, 4, -3, 9, inf
WWGHKN, P, 3, -3, 9, inf
8QCUXZ, B, 2, 9, 9, inf
WWGHKN, R, 3, inf, 9, inf
817L9G, G, 4, 10, 9, inf
WWGHKN, R, 3, 10, 9, 10
817L9G, P, 4, 16, 9, 10
WWGHKN, R, 3, 10, 9, 10
817L9G, R, 4, 12, 9, 10
WWGHKN, R, 3, 10, 9, 10
817L9G, Y, 4, 9, 9, 10
WWGHKN, R, 3, 9, 9, 10
8QCUXZ, B, 2, 9, 9, inf
WWGHKN, Y, 3, inf, 9, inf
817L9G, G, 4, 5, 9, inf
WWGHKN, Y, 3, 5, 9, inf
8QCUXZ, B, 2, 9, 9, inf
4DCIPK, B, 1, 9, -inf, 9
8QCUXZ, P, 2, -inf, -inf, 9
817L9G, B, 3, inf, -inf, 9
9YUTXH, G, 4, 5, -inf, 9
817L9G, B, 3, 5, -inf, 5
9YUTXH, P, 4, 11, -inf, 5
817L9G, B, 3, 5, -inf, 5
9YUTXH, Y, 4, 4, -inf, 5
817L9G, B, 3, 4, -inf, 4
AAG474, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
AAG474, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
AAG474, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
AAG474, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
CF1Z5O, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
CF1Z5O, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
CF1Z5O, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
CO40SE, B, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
CO40SE, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
CO40SE, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
CO40SE, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
EF9RLK, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
EF9RLK, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
EF9RLK, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
EY09SW, B, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
EY09SW, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
EY09SW, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
EY09SW, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
FOO33M, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
FOO33M, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
FOO33M, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
L4HM6F, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
L4HM6F, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
L4HM6F, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
L4HM6F, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
NKKV2U, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
NKKV2U, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
NKKV2U, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
NTI6GR, B, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
NTI6GR, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
NTI6GR, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
NTI6GR, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
SH4X3W, B, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
SH4X3W, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
SH4X3W, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
UQ5Z9S, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
UQ5Z9S, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
UQ5Z9S, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
UQ5Z9S, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
USBR8V, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
USBR8V, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
USBR8V, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
USBR8V, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
WWGHKN, B, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
WWGHKN, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
WWGHKN, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
WWGHKN, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
ZMZURH, G, 4, 5, -inf, 4
817L9G, B, 3, 4, -inf, 4
ZMZURH, P, 4, 11, -inf, 4
817L9G, B, 3, 4, -inf, 4
ZMZURH, R, 4, 7, -inf, 4
817L9G, B, 3, 4, -inf, 4
ZMZURH, Y, 4, 4, -inf, 4
817L9G, B, 3, 4, -inf, 4
8QCUXZ, P, 2, 4, 4, 9
817L9G, G, 3, inf, 4, 9
9YUTXH, G, 4, 13, 4, 9
817L9G, G, 3, 13, 4, 9
9YUTXH, P, 4, 19, 4, 9
817L9G, G, 3, 13, 4, 9
9YUTXH, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
AAG474, B, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
AAG474, P, 4, 19, 4, 9
817L9G, G, 3, 12, 4, 9
AAG474, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
AAG474, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
CF1Z5O, G, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
CF1Z5O, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
CF1Z5O, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
CO40SE, B, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
CO40SE, G, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
CO40SE, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
CO40SE, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
EF9RLK, B, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
EF9RLK, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
EF9RLK, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
EY09SW, B, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
EY09SW, P, 4, 19, 4, 9
817L9G, G, 3, 12, 4, 9
EY09SW, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
EY09SW, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
FOO33M, G, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
FOO33M, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
FOO33M, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
L4HM6F, G, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
L4HM6F, P, 4, 19, 4, 9
817L9G, G, 3, 12, 4, 9
L4HM6F, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
L4HM6F, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
NKKV2U, P, 4, 19, 4, 9
817L9G, G, 3, 12, 4, 9
NKKV2U, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
NKKV2U, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
NTI6GR, B, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
NTI6GR, G, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
NTI6GR, P, 4, 19, 4, 9
817L9G, G, 3, 12, 4, 9
NTI6GR, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
SH4X3W, B, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
SH4X3W, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
SH4X3W, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
UQ5Z9S, B, 4, 13, 4, 9
817L9G, G, 3, 12, 4, 9
UQ5Z9S, P, 4, 19, 4, 9
817L9G, G, 3, 12, 4, 9
UQ5Z9S, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
UQ5Z9S, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
USBR8V, P, 4, 19, 4, 9
817L9G, G, 3, 12, 4, 9
USBR8V, R, 4, 15, 4, 9
817L9G, G, 3, 12, 4, 9
USBR8V, Y, 4, 12, 4, 9
817L9G, G, 3, 12, 4, 9
WWGHKN, B, 4, 13, 4, 9
