AJAPPB, G, 0, -inf, -inf, inf
LQCIWV, B, 4, 17, 5, 17
6GS1PE, R, 3, 17, 5, 17
LQCIWV, R, 4, 22, 5, 17
6GS1PE, R, 3, 17, 5, 17
MMHWXR, R, 4, 22, 5, 17
6GS1PE, R, 3, 17, 5, 17
NPJF3V, B, 4, 17, 5, 17
6GS1PE, R, 3, 17, 5, 17
QNJ9R5, B, 4, 17, 5, 17
6GS1PE, R, 3, 17, 5, 17
QNJ9R5, R, 4, 22, 5, 17
6GS1PE, R, 3, 17, 5, 17
TZQJJE, B, 4, 17, 5, 17
6GS1PE, R, 3, 17, 5, 17
TZQJJE, R, 4, 22, 5, 17
6GS1PE, R, 3, 17, 5, 17
VBYL0E, B, 4, 17, 5, 17
6GS1PE, R, 3, 17, 5, 17
VBYL0E, R, 4, 22, 5, 17
6GS1PE, R, 3, 17, 5, 17
Z21EX8, B, 4, 17, 5, 17
6GS1PE, R, 3, 17, 5, 17
Z21EX8, R, 4, 22, 5, 17
6GS1PE, R, 3, 17, 5, 17
8CHS0C, G, 2, 17, 17, inf
IGXP2R, B, 3, inf, 17, inf
6GS1PE, B, 4, 5, 17, inf
IGXP2R, B, 3, 5, 17, inf
8CHS0C, G, 2, 17, 17, inf
IGXP2R, R, 3, inf, 17, inf
6GS1PE, B, 4, 17, 17, inf
IGXP2R, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
LQCIWV, B, 3, inf, 17, inf
6GS1PE, B, 4, 5, 17, inf
LQCIWV, B, 3, 5, 17, inf
8CHS0C, G, 2, 17, 17, inf
LQCIWV, R, 3, inf, 17, inf
6GS1PE, B, 4, 17, 17, inf
LQCIWV, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
MMHWXR, R, 3, inf, 17, inf
0CQG18, B, 4, 17, 17, inf
MMHWXR, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
NPJF3V, B, 3, inf, 17, inf
6GS1PE, R, 4, 10, 17, inf
NPJF3V, B, 3, 10, 17, inf
8CHS0C, G, 2, 17, 17, inf
NPJF3V, R, 3, inf, 17, inf
6GS1PE, B, 4, 17, 17, inf
NPJF3V, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
QNJ9R5, B, 3, inf, 17, inf
6GS1PE, B, 4, 5, 17, inf
QNJ9R5, B, 3, 5, 17, inf
8CHS0C, G, 2, 17, 17, inf
QNJ9R5, R, 3, inf, 17, inf
6GS1PE, B, 4, 17, 17, inf
QNJ9R5, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
TZQJJE, B, 3, inf, 17, inf
0CQG18, G, 4, 9, 17, inf
TZQJJE, B, 3, 9, 17, inf
8CHS0C, G, 2, 17, 17, inf
TZQJJE, R, 3, inf, 17, inf
0CQG18, B, 4, 17, 17, inf
TZQJJE, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
VBYL0E, B, 3, inf, 17, inf
6GS1PE, B, 4, 5, 17, inf
VBYL0E, B, 3, 5, 17, inf
8CHS0C, G, 2, 17, 17, inf
VBYL0E, R, 3, inf, 17, inf
6GS1PE, B, 4, 17, 17, inf
VBYL0E, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
Z21EX8, B, 3, inf, 17, inf
0CQG18, G, 4, 9, 17, inf
Z21EX8, B, 3, 9, 17, inf
8CHS0C, G, 2, 17, 17, inf
Z21EX8, R, 3, inf, 17, inf
0CQG18, B, 4, 17, 17, inf
Z21EX8, R, 3, 17, 17, inf
8CHS0C, G, 2, 17, 17, inf
8WNJUN, B, 1, 17, -inf, 17
8CHS0C, R, 2, -inf, -inf, 17
6GS1PE, B, 3, inf, -inf, 17
6WKEGC, G, 4, 10, -inf, 17
6GS1PE, B, 3, 10, -inf, 10
6WKEGC, R, 4, 11, -inf, 10
6GS1PE, B, 3, 10, -inf, 10
IGXP2R, B, 4, 6, -inf, 10
6GS1PE, B, 3, 6, -inf, 6
IGXP2R, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
LQCIWV, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
LQCIWV, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
QNJ9R5, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
QNJ9R5, G, 4, 10, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
TZQJJE, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
TZQJJE, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
VBYL0E, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
VBYL0E, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
Z21EX8, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
Z21EX8, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
8CHS0C, R, 2, 6, 6, 17
6GS1PE, G, 3, inf, 6, 17
6WKEGC, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
6WKEGC, R, 4, 23, 6, 17
6GS1PE, G, 3, 18, 6, 17
IGXP2R, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
IGXP2R, R, 4, 23, 6, 17
6GS1PE, G, 3, 18, 6, 17
LQCIWV, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
LQCIWV, R, 4, 23, 6, 17
6GS1PE, G, 3, 18, 6, 17
NPJF3V, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
QNJ9R5, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
QNJ9R5, G, 4, 22, 6, 17
6GS1PE, G, 3, 18, 6, 17
TZQJJE, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
TZQJJE, R, 4, 23, 6, 17
6GS1PE, G, 3, 18, 6, 17
VBYL0E, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
VBYL0E, R, 4, 23, 6, 17
6GS1PE, G, 3, 18, 6, 17
Z21EX8, B, 4, 18, 6, 17
6GS1PE, G, 3, 18, 6, 17
Z21EX8, R, 4, 23, 6, 17
6GS1PE, G, 3, 18, 6, 17
8CHS0C, R, 2, 18, 6, 17
8WNJUN, B, 1, 17, -inf, 17
IGXP2R, B, 2, -inf, -inf, 17
8CHS0C, G, 3, inf, -inf, 17
6GS1PE, B, 4, 13, -inf, 17
8CHS0C, G, 3, 13, -inf, 13
6GS1PE, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
LQCIWV, B, 4, 13, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
LQCIWV, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
MMHWXR, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
NPJF3V, B, 4, 13, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
NPJF3V, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
QNJ9R5, B, 4, 13, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
QNJ9R5, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
TZQJJE, B, 4, 13, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
TZQJJE, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
VBYL0E, B, 4, 13, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
VBYL0E, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
Y9IW63, G, 4, 17, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
Y9IW63, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
Z21EX8, B, 4, 13, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
Z21EX8, R, 4, 18, -inf, 13
8CHS0C, G, 3, 13, -inf, 13
IGXP2R, B, 2, 13, 13, 17
8CHS0C, R, 3, inf, 13, 17
6GS1PE, B, 4, 13, 13, 17
8CHS0C, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
LQCIWV, B, 3, inf, 13, 17
6WKEGC, G, 4, 5, 13, 17
LQCIWV, B, 3, 5, 13, 17
IGXP2R, B, 2, 13, 13, 17
LQCIWV, R, 3, inf, 13, 17
6WKEGC, B, 4, 13, 13, 17
LQCIWV, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
MMHWXR, R, 3, inf, 13, 17
0CQG18, B, 4, 13, 13, 17
MMHWXR, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
NPJF3V, B, 3, inf, 13, 17
6GS1PE, G, 4, 5, 13, 17
NPJF3V, B, 3, 5, 13, 17
IGXP2R, B, 2, 13, 13, 17
NPJF3V, R, 3, inf, 13, 17
6GS1PE, B, 4, 13, 13, 17
NPJF3V, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
TZQJJE, B, 3, inf, 13, 17
0CQG18, G, 4, 5, 13, 17
TZQJJE, B, 3, 5, 13, 17
IGXP2R, B, 2, 13, 13, 17
TZQJJE, R, 3, inf, 13, 17
0CQG18, B, 4, 13, 13, 17
TZQJJE, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
VBYL0E, B, 3, inf, 13, 17
8CHS0C, G, 4, 5, 13, 17
VBYL0E, B, 3, 5, 13, 17
IGXP2R, B, 2, 13, 13, 17
VBYL0E, R, 3, inf, 13, 17
8CHS0C, G, 4, 17, 13, 17
VBYL0E, R, 3, 17, 13, 17
8CHS0C, R, 4, 18, 13, 17
VBYL0E, R, 3, 17, 13, 17
LPZHG7, B, 4, 13, 13, 17
VBYL0E, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
Y9IW63, G, 3, inf, 13, 17
8CHS0C, G, 4, 17, 13, 17
Y9IW63, G, 3, 17, 13, 17
8CHS0C, R, 4, 18, 13, 17
Y9IW63, G, 3, 17, 13, 17
LQCIWV, B, 4, 13, 13, 17
Y9IW63, G, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
Y9IW63, R, 3, inf, 13, 17
8CHS0C, G, 4, 17, 13, 17
Y9IW63, R, 3, 17, 13, 17
8CHS0C, R, 4, 18, 13, 17
Y9IW63, R, 3, 17, 13, 17
LQCIWV, B, 4, 13, 13, 17
Y9IW63, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
Z21EX8, B, 3, inf, 13, 17
0CQG18, G, 4, 5, 13, 17
Z21EX8, B, 3, 5, 13, 17
IGXP2R, B, 2, 13, 13, 17
Z21EX8, R, 3, inf, 13, 17
0CQG18, B, 4, 13, 13, 17
Z21EX8, R, 3, 13, 13, 17
IGXP2R, B, 2, 13, 13, 17
8WNJUN, B, 1, 13, -inf, 13
IGXP2R, R, 2, -inf, -inf, 13
8CHS0C, G, 3, inf, -inf, 13
6GS1PE, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
6GS1PE, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
LQCIWV, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
LQCIWV, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
MMHWXR, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
NPJF3V, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
NPJF3V, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
QNJ9R5, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
QNJ9R5, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
TZQJJE, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
TZQJJE, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
VBYL0E, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
VBYL0E, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
Y9IW63, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
Y9IW63, G, 4, 22, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
Z21EX8, B, 4, 18, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
Z21EX8, R, 4, 23, -inf, 13
8CHS0C, G, 3, 18, -inf, 13
IGXP2R, R, 2, 18, -inf, 13
8WNJUN, B, 1, 13, -inf, 13
LQCIWV, B, 2, -inf, -inf, 13
6WKEGC, G, 3, inf, -inf, 13
6GS1PE, B, 4, 13, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
6GS1PE, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
8CHS0C, G, 4, 17, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
8CHS0C, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
IGXP2R, B, 4, 13, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
IGXP2R, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
MMHWXR, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
NPJF3V, B, 4, 13, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
NPJF3V, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
QNJ9R5, G, 4, 17, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
QNJ9R5, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
TZQJJE, B, 4, 13, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
TZQJJE, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
VBYL0E, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
Z21EX8, R, 4, 18, -inf, 13
6WKEGC, G, 3, 13, -inf, 13
LQCIWV, B, 2, 13, -inf, 13
8WNJUN, B, 1, 13, -inf, 13
LQCIWV, R, 2, -inf, -inf, 13
6WKEGC, B, 3, inf, -inf, 13
6GS1PE, G, 4, 10, -inf, 13
6WKEGC, B, 3, 10, -inf, 10
6GS1PE, R, 4, 11, -inf, 10
6WKEGC, B, 3, 10, -inf, 10
8CHS0C, G, 4, 10, -inf, 10
6WKEGC, B, 3, 10, -inf, 10
8CHS0C, R, 4, 11, -inf, 10
6WKEGC, B, 3, 10, -inf, 10
IGXP2R, B, 4, 6, -inf, 10
6WKEGC, B, 3, 6, -inf, 6
IGXP2R, R, 4, 11, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
MMHWXR, R, 4, 11, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
NPJF3V, B, 4, 6, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
NPJF3V, R, 4, 11, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
QNJ9R5, B, 4, 6, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
QNJ9R5, G, 4, 10, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
TZQJJE, B, 4, 6, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
TZQJJE, R, 4, 11, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
VBYL0E, B, 4, 6, -inf, 6
6WKEGC, B, 3, 6, -inf, 6
LQCIWV, R, 2, 6, 6, 13
6WKEGC, G, 3, inf, 6, 13
6GS1PE, B, 4, 18, 6, 13
6WKEGC, G, 3, 18, 6, 13
6GS1PE, R, 4, 23, 6, 13
6WKEGC, G, 3, 18, 6, 13
8CHS0C, G, 4, 22, 6, 13
6WKEGC, G, 3, 18, 6, 13
8CHS0C, R, 4, 23, 6, 13
6WKEGC, G, 3, 18, 6, 13
IGXP2R, B, 4, 18, 6, 13
6WKEGC, G, 3, 18, 6, 13
IGXP2R, R, 4, 23, 6, 13
6WKEGC, G, 3, 18, 6, 13
MMHWXR, R, 4, 23, 6, 13
6WKEGC, G, 3, 18, 6, 13
NPJF3V, B, 4, 18, 6, 13
6WKEGC, G, 3, 18, 6, 13
NPJF3V, R, 4, 23, 6, 13
6WKEGC, G, 3, 18, 6, 13
QNJ9R5, B, 4, 18, 6, 13
6WKEGC, G, 3, 18, 6, 13
QNJ9R5, G, 4, 22, 6, 13
6WKEGC, G, 3, 18, 6, 13
TZQJJE, B, 4, 18, 6, 13
6WKEGC, G, 3, 18, 6, 13
TZQJJE, R, 4, 23, 6, 13
6WKEGC, G, 3, 18, 6, 13
VBYL0E, B, 4, 18, 6, 13
6WKEGC, G, 3, 18, 6, 13
Z21EX8, B, 4, 18, 6, 13
6WKEGC, G, 3, 18, 6, 13
LQCIWV, R, 2, 18, 6, 13
8WNJUN, B, 1, 13, -inf, 13
MMHWXR, R, 2, -inf, -inf, 13
0CQG18, B, 3, inf, -inf, 13
8CHS0C, G, 4, 10, -inf, 13
0CQG18, B, 3, 10, -inf, 10
IGXP2R, B, 4, 6, -inf, 10
0CQG18, B, 3, 6, -inf, 6
IGXP2R, R, 4, 11, -inf, 6
0CQG18, B, 3, 6, -inf, 6
LPZHG7, B, 4, 6, -inf, 6
0CQG18, B, 3, 6, -inf, 6
LPZHG7, G, 4, 10, -inf, 6
0CQG18, B, 3, 6, -inf, 6
LQCIWV, B, 4, 6, -inf, 6
0CQG18, B, 3, 6, -inf, 6
LQCIWV, R, 4, 11, -inf, 6
0CQG18, B, 3, 6, -inf, 6
NPJF3V, B, 4, 6, -inf, 6
0CQG18, B, 3, 6, -inf, 6
NPJF3V, R, 4, 11, -inf, 6
0CQG18, B, 3, 6, -inf, 6
R6T68C, G, 4, 10, -inf, 6
0CQG18, B, 3, 6, -inf, 6
R6T68C, R, 4, 11, -inf, 6
0CQG18, B, 3, 6, -inf, 6
TZQJJE, R, 4, 11, -inf, 6
0CQG18, B, 3, 6, -inf, 6
VBYL0E, B, 4, 6, -inf, 6
0CQG18, B, 3, 6, -inf, 6
VBYL0E, R, 4, 11, -inf, 6
0CQG18, B, 3, 6, -inf, 6
MMHWXR, R, 2, 6, 6, 13
0CQG18, G, 3, inf, 6, 13
8CHS0C, G, 4, 22, 6, 13
0CQG18, G, 3, 22, 6, 13
IGXP2R, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
IGXP2R, R, 4, 23, 6, 13
0CQG18, G, 3, 18, 6, 13
LPZHG7, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
LPZHG7, G, 4, 22, 6, 13
0CQG18, G, 3, 18, 6, 13
LQCIWV, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
LQCIWV, R, 4, 23, 6, 13
0CQG18, G, 3, 18, 6, 13
NPJF3V, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
NPJF3V, R, 4, 23, 6, 13
0CQG18, G, 3, 18, 6, 13
R6T68C, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
R6T68C, R, 4, 23, 6, 13
0CQG18, G, 3, 18, 6, 13
TZQJJE, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
TZQJJE, R, 4, 23, 6, 13
0CQG18, G, 3, 18, 6, 13
VBYL0E, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
VBYL0E, R, 4, 23, 6, 13
0CQG18, G, 3, 18, 6, 13
Z21EX8, B, 4, 18, 6, 13
0CQG18, G, 3, 18, 6, 13
MMHWXR, R, 2, 18, 6, 13
8WNJUN, B, 1, 13, -inf, 13
NPJF3V, B, 2, -inf, -inf, 13
6GS1PE, G, 3, inf, -inf, 13
6WKEGC, B, 4, 13, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
6WKEGC, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
8CHS0C, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
IGXP2R, B, 4, 13, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
IGXP2R, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
KY7FH0, G, 4, 17, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
KY7FH0, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
LQCIWV, B, 4, 13, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
LQCIWV, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
MMHWXR, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
TZQJJE, B, 4, 13, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
TZQJJE, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
VBYL0E, B, 4, 13, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
VBYL0E, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
Z21EX8, B, 4, 13, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
Z21EX8, R, 4, 18, -inf, 13
6GS1PE, G, 3, 13, -inf, 13
NPJF3V, B, 2, 13, -inf, 13
8WNJUN, B, 1, 13, -inf, 13
NPJF3V, R, 2, -inf, -inf, 13
6GS1PE, B, 3, inf, -inf, 13
6WKEGC, G, 4, 10, -inf, 13
6GS1PE, B, 3, 10, -inf, 10
6WKEGC, R, 4, 11, -inf, 10
6GS1PE, B, 3, 10, -inf, 10
8CHS0C, G, 4, 10, -inf, 10
6GS1PE, B, 3, 10, -inf, 10
IGXP2R, B, 4, 6, -inf, 10
6GS1PE, B, 3, 6, -inf, 6
IGXP2R, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
KY7FH0, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
KY7FH0, G, 4, 10, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
LQCIWV, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
LQCIWV, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
MMHWXR, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
TZQJJE, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
TZQJJE, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
VBYL0E, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
VBYL0E, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
Z21EX8, B, 4, 6, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
Z21EX8, R, 4, 11, -inf, 6
6GS1PE, B, 3, 6, -inf, 6
NPJF3V, R, 2, 6, 6, 13
6GS1PE, G, 3, inf, 6, 13
6WKEGC, B, 4, 18, 6, 13
6GS1PE, G, 3, 18, 6, 13
6WKEGC, R, 4, 23, 6, 13
6GS1PE, G, 3, 18, 6, 13
IGXP2R, B, 4, 18, 6, 13
6GS1PE, G, 3, 18, 6, 13
IGXP2R, R, 4, 23, 6, 13
6GS1PE, G, 3, 18, 6, 13
KY7FH0, B, 4, 18, 6, 13
6GS1PE, G, 3, 18, 6, 13
KY7FH0, G, 4, 22, 6, 13
6GS1PE, G, 3, 18, 6, 13
LQCIWV, B, 4, 18, 6, 13
6GS1PE, G, 3, 18, 6, 13
LQCIWV, R, 4, 23, 6, 13
6GS1PE, G, 3, 18, 6, 13
MMHWXR, R, 4, 23, 6, 13
6GS1PE, G, 3, 18, 6, 13
TZQJJE, B, 4, 18, 6, 13
6GS1PE, G, 3, 18, 6, 13
TZQJJE, R, 4, 23, 6, 13
6GS1PE, G, 3, 18, 6, 13
VBYL0E, B, 4, 18, 6, 13
6GS1PE, G, 3, 18, 6, 13
VBYL0E, R, 4, 23, 6, 13
6GS1PE, G, 3, 18, 6, 13
Z21EX8, B, 4, 18, 6, 13
6GS1PE, G, 3, 18, 6, 13
Z21EX8, R, 4, 23, 6, 13
6GS1PE, G, 3, 18, 6, 13
NPJF3V, R, 2, 18, 6, 13
8WNJUN, B, 1, 13, -inf, 13
TZQJJE, B, 2, -inf, -inf, 13
0CQG18, G, 3, inf, -inf, 13
8CHS0C, G, 4, 17, -inf, 13
0CQG18, G, 3, 17, -inf, 13
8CHS0C, R, 4, 18, -inf, 13
0CQG18, G, 3, 17, -inf, 13
IGXP2R, B, 4, 13, -inf, 13
0CQG18, G, 3, 13, -inf, 13
IGXP2R, R, 4, 18, -inf, 13
0CQG18, G, 3, 13, -inf, 13
LQCIWV, B, 4, 13, -inf, 13
0CQG18, G, 3, 13, -inf, 13
LQCIWV, R, 4, 18, -inf, 13
0CQG18, G, 3, 13, -inf, 13
MMHWXR, R, 4, 18, -inf, 13
0CQG18, G, 3, 13, -inf, 13
NPJF3V, B, 4, 13, -inf, 13
0CQG18, G, 3, 13, -inf, 13
NPJF3V, R, 4, 18, -inf, 13
0CQG18, G, 3, 13, -inf, 13
R6T68C, B, 4, 13, -inf, 13
0CQG18, G, 3, 13, -inf, 13
R6T68C, R, 4, 18, -inf, 13
0CQG18, G, 3, 13, -inf, 13
VBYL0E, B, 4, 13, -inf, 13
0CQG18, G, 3, 13, -inf, 13
VBYL0E, R, 4, 18, -inf, 13
0CQG18, G, 3, 13, -inf, 13
Z21EX8, R, 4, 18, -inf, 13
0CQG18, G, 3, 13, -inf, 13
TZQJJE, B, 2, 13, -inf, 13
8WNJUN, B, 1, 13, -inf, 13
TZQJJE, R, 2, -inf, -inf, 13
0CQG18, B, 3, inf, -inf, 13
8CHS0C, G, 4, 10, -inf, 13
0CQG18, B, 3, 10, -inf, 10
8CHS0C, R, 4, 11, -inf, 10
0CQG18, B, 3, 10, -inf, 10
IGXP2R, B, 4, 6, -inf, 10
0CQG18, B, 3, 6, -inf, 6
IGXP2R, R, 4, 11, -inf, 6
0CQG18, B, 3, 6, -inf, 6
