5CA6VJ, G, 0, -inf, -inf, inf
JR9C40, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
JR9C40, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
M4AFDF, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
M4AFDF, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
M4AFDF, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
NJD0TU, B, 4, 4, 1, 3
7SNEM6, P, 3, 3, 1, 3
NJD0TU, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
NJD0TU, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
NJD0TU, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
PPCJJT, B, 4, 4, 1, 3
7SNEM6, P, 3, 3, 1, 3
PPCJJT, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
PPCJJT, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
PPCJJT, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
QDQXZ1, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
QDQXZ1, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
QDQXZ1, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
RIRK2U, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
RIRK2U, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
RIRK2U, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
RIRK2U, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
RR8KM2, B, 4, 4, 1, 3
7SNEM6, P, 3, 3, 1, 3
RR8KM2, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
RR8KM2, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
RR8KM2, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
T8Q1Q8, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
T8Q1Q8, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
T8Q1Q8, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
T8Q1Q8, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
U443VL, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
U443VL, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
U443VL, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
U443VL, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
WU9EI8, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
WU9EI8, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
WU9EI8, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
WU9EI8, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
X3CA4P, B, 4, 4, 1, 3
7SNEM6, P, 3, 3, 1, 3
X3CA4P, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
X3CA4P, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
X3CA4P, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
AP0NVM, B, 2, 3, 3, inf
7SNEM6, R, 3, inf, 3, inf
8TGCSO, G, 4, 31, 3, inf
7SNEM6, R, 3, 31, 3, 31
8TGCSO, P, 4, 16, 3, 31
7SNEM6, R, 3, 16, 3, 16
8TGCSO, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
8TGCSO, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
HQ05G0, B, 4, 17, 3, 16
7SNEM6, R, 3, 16, 3, 16
HQ05G0, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
HQ05G0, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
HQ05G0, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
J5S5CH, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
J5S5CH, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
J5S5CH, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
J5S5CH, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
JR9C40, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
JR9C40, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
JR9C40, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
M4AFDF, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
M4AFDF, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
M4AFDF, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
NJD0TU, B, 4, 17, 3, 16
7SNEM6, R, 3, 16, 3, 16
NJD0TU, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
NJD0TU, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
NJD0TU, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
PPCJJT, B, 4, 17, 3, 16
7SNEM6, R, 3, 16, 3, 16
PPCJJT, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
PPCJJT, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
PPCJJT, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
QDQXZ1, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
QDQXZ1, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
QDQXZ1, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
RIRK2U, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
RIRK2U, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
RIRK2U, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
RIRK2U, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
RR8KM2, B, 4, 17, 3, 16
7SNEM6, R, 3, 16, 3, 16
RR8KM2, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
RR8KM2, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
RR8KM2, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
T8Q1Q8, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
T8Q1Q8, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
T8Q1Q8, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
T8Q1Q8, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
U443VL, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
U443VL, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
U443VL, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
U443VL, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
WU9EI8, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
WU9EI8, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
WU9EI8, R, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
WU9EI8, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
X3CA4P, B, 4, 17, 3, 16
7SNEM6, R, 3, 16, 3, 16
X3CA4P, G, 4, 31, 3, 16
7SNEM6, R, 3, 16, 3, 16
X3CA4P, P, 4, 16, 3, 16
7SNEM6, R, 3, 16, 3, 16
X3CA4P, Y, 4, 23, 3, 16
7SNEM6, R, 3, 16, 3, 16
AP0NVM, B, 2, 16, 16, inf
7SNEM6, Y, 3, inf, 16, inf
8TGCSO, G, 4, 18, 16, inf
7SNEM6, Y, 3, 18, 16, 18
8TGCSO, P, 4, 3, 16, 18
7SNEM6, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
8TGCSO, G, 3, inf, 16, inf
7SNEM6, G, 4, 16, 16, inf
8TGCSO, G, 3, 16, 16, inf
AP0NVM, B, 2, 16, 16, inf
8TGCSO, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
8TGCSO, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
8TGCSO, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
8TGCSO, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
8TGCSO, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
8TGCSO, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
8TGCSO, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
8TGCSO, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
8TGCSO, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
J5S5CH, G, 3, inf, 16, inf
7SNEM6, G, 4, 16, 16, inf
J5S5CH, G, 3, 16, 16, inf
AP0NVM, B, 2, 16, 16, inf
J5S5CH, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
J5S5CH, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
J5S5CH, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
J5S5CH, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
J5S5CH, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
J5S5CH, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
J5S5CH, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
J5S5CH, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
J5S5CH, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
JR9C40, G, 3, inf, 16, inf
7SNEM6, P, 4, 1, 16, inf
JR9C40, G, 3, 1, 16, inf
AP0NVM, B, 2, 16, 16, inf
JR9C40, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
JR9C40, P, 3, 18, 16, 18
7SNEM6, R, 4, 18, 16, 18
JR9C40, P, 3, 18, 16, 18
7SNEM6, Y, 4, 10, 16, 18
JR9C40, P, 3, 10, 16, 18
AP0NVM, B, 2, 16, 16, inf
JR9C40, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
JR9C40, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
JR9C40, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
JR9C40, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
JR9C40, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
JR9C40, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
M4AFDF, G, 3, inf, 16, inf
7SNEM6, P, 4, 1, 16, inf
M4AFDF, G, 3, 1, 16, inf
AP0NVM, B, 2, 16, 16, inf
M4AFDF, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
M4AFDF, P, 3, 18, 16, 18
7SNEM6, R, 4, 18, 16, 18
M4AFDF, P, 3, 18, 16, 18
7SNEM6, Y, 4, 10, 16, 18
M4AFDF, P, 3, 10, 16, 18
AP0NVM, B, 2, 16, 16, inf
M4AFDF, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
M4AFDF, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
M4AFDF, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
M4AFDF, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
M4AFDF, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
M4AFDF, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
NJD0TU, B, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
NJD0TU, B, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
NJD0TU, B, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
NJD0TU, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
NJD0TU, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
NJD0TU, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
NJD0TU, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
NJD0TU, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
NJD0TU, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
NJD0TU, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
NJD0TU, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
NJD0TU, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
QDQXZ1, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
QDQXZ1, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
QDQXZ1, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
QDQXZ1, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
QDQXZ1, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
QDQXZ1, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
QDQXZ1, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
QDQXZ1, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
QDQXZ1, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
RIRK2U, G, 3, inf, 16, inf
7SNEM6, G, 4, 16, 16, inf
RIRK2U, G, 3, 16, 16, inf
AP0NVM, B, 2, 16, 16, inf
RIRK2U, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
RIRK2U, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
RIRK2U, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
RIRK2U, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
RIRK2U, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
RIRK2U, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
RIRK2U, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
RIRK2U, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
RIRK2U, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
RR8KM2, B, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
RR8KM2, B, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
RR8KM2, B, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
RR8KM2, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
RR8KM2, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
RR8KM2, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
RR8KM2, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
RR8KM2, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
RR8KM2, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
RR8KM2, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
RR8KM2, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
RR8KM2, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
T8Q1Q8, G, 3, inf, 16, inf
7SNEM6, G, 4, 16, 16, inf
T8Q1Q8, G, 3, 16, 16, inf
AP0NVM, B, 2, 16, 16, inf
T8Q1Q8, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
T8Q1Q8, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
T8Q1Q8, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
T8Q1Q8, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
T8Q1Q8, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
T8Q1Q8, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
T8Q1Q8, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
T8Q1Q8, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
T8Q1Q8, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
U443VL, G, 3, inf, 16, inf
7SNEM6, G, 4, 16, 16, inf
U443VL, G, 3, 16, 16, inf
AP0NVM, B, 2, 16, 16, inf
U443VL, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
U443VL, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
U443VL, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
U443VL, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
U443VL, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
U443VL, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
U443VL, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
U443VL, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
U443VL, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
WU9EI8, G, 3, inf, 16, inf
7SNEM6, G, 4, 16, 16, inf
WU9EI8, G, 3, 16, 16, inf
AP0NVM, B, 2, 16, 16, inf
WU9EI8, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
WU9EI8, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
WU9EI8, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
WU9EI8, R, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
WU9EI8, R, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
WU9EI8, R, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
WU9EI8, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
WU9EI8, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
WU9EI8, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
X3CA4P, B, 3, inf, 16, inf
7SNEM6, G, 4, 31, 16, inf
X3CA4P, B, 3, 31, 16, 31
7SNEM6, P, 4, 16, 16, 31
X3CA4P, B, 3, 16, 16, 31
AP0NVM, B, 2, 16, 16, inf
X3CA4P, G, 3, inf, 16, inf
7SNEM6, G, 4, 16, 16, inf
X3CA4P, G, 3, 16, 16, inf
AP0NVM, B, 2, 16, 16, inf
X3CA4P, P, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
X3CA4P, P, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
X3CA4P, P, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
X3CA4P, Y, 3, inf, 16, inf
7SNEM6, G, 4, 18, 16, inf
X3CA4P, Y, 3, 18, 16, 18
7SNEM6, P, 4, 3, 16, 18
X3CA4P, Y, 3, 3, 16, 18
AP0NVM, B, 2, 16, 16, inf
94Y912, B, 1, 16, -inf, 16
AP0NVM, P, 2, -inf, -inf, 16
7SNEM6, B, 3, inf, -inf, 16
8TGCSO, B, 4, 16, -inf, 16
7SNEM6, B, 3, 16, -inf, 16
8TGCSO, G, 4, 30, -inf, 16
7SNEM6, B, 3, 16, -inf, 16
8TGCSO, R, 4, 30, -inf, 16
7SNEM6, B, 3, 16, -inf, 16
8TGCSO, Y, 4, 22, -inf, 16
7SNEM6, B, 3, 16, -inf, 16
HQ05G0, G, 4, 30, -inf, 16
7SNEM6, B, 3, 16, -inf, 16
HQ05G0, P, 4, 15, -inf, 16
7SNEM6, B, 3, 15, -inf, 15
HQ05G0, R, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
HQ05G0, Y, 4, 22, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
J5S5CH, B, 4, 16, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
J5S5CH, G, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
J5S5CH, R, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
J5S5CH, Y, 4, 22, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
JR9C40, G, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
JR9C40, P, 4, 15, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
JR9C40, R, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
JR9C40, Y, 4, 22, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
M4AFDF, G, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
M4AFDF, R, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
M4AFDF, Y, 4, 22, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
NJD0TU, B, 4, 16, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
NJD0TU, P, 4, 15, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
NJD0TU, R, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
NJD0TU, Y, 4, 22, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
PPCJJT, G, 4, 30, -inf, 15
7SNEM6, B, 3, 15, -inf, 15
PPCJJT, P, 4, 15, -inf, 15
