BO0OV0, G, 0, -inf, -inf, inf
3EI3PD, B, 2, 6, 6, inf
HMIZVH, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
HMIZVH, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
HMIZVH, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
KS360P, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
KS360P, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
KS360P, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
KS360P, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
KS360P, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
MJKHEN, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
MJKHEN, G, 3, -3, 6, inf
3EI3PD, B, 2, 6, 6, inf
MJKHEN, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
MJKHEN, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
MJKHEN, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
MN8GQC, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
MN8GQC, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
MN8GQC, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
MN8GQC, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
MN8GQC, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
RYP5LU, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
RYP5LU, G, 3, -3, 6, inf
3EI3PD, B, 2, 6, 6, inf
RYP5LU, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
RYP5LU, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
RYP5LU, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
S165KV, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
S165KV, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
S165KV, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
S165KV, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
S165KV, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
XCTWGU, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
XCTWGU, G, 3, -3, 6, inf
3EI3PD, B, 2, 6, 6, inf
XCTWGU, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
XCTWGU, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
XCTWGU, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
YWE2XU, G, 3, -3, 6, inf
3EI3PD, B, 2, 6, 6, inf
YWE2XU, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
YWE2XU, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
YWE2XU, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
YWE2XU, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
0ICMMK, B, 1, 6, -inf, 6
3EI3PD, O, 2, -inf, -inf, 6
3OBOG6, G, 3, -1, -inf, 6
3EI3PD, O, 2, -1, -1, 6
3OBOG6, O, 3, -3, -1, 6
3EI3PD, O, 2, -1, -1, 6
3OBOG6, P, 3, 4, -1, 6
3EI3PD, O, 2, 4, 4, 6
3OBOG6, R, 3, 7, 4, 6
3EI3PD, O, 2, 7, 4, 6
0ICMMK, B, 1, 6, -inf, 6
3EI3PD, P, 2, -inf, -inf, 6
3OBOG6, G, 3, 4, -inf, 6
3EI3PD, P, 2, 4, 4, 6
3OBOG6, O, 3, 2, 4, 6
3EI3PD, P, 2, 4, 4, 6
3OBOG6, P, 3, 9, 4, 6
3EI3PD, P, 2, 9, 4, 6
0ICMMK, B, 1, 6, -inf, 6
3EI3PD, Y, 2, -inf, -inf, 6
3OBOG6, G, 3, -5, -inf, 6
3EI3PD, Y, 2, -5, -5, 6
3OBOG6, O, 3, -7, -5, 6
3EI3PD, Y, 2, -5, -5, 6
3OBOG6, P, 3, 0, -5, 6
3EI3PD, Y, 2, 0, 0, 6
3OBOG6, R, 3, 3, 0, 6
3EI3PD, Y, 2, 3, 3, 6
3OBOG6, Y, 3, 4, 3, 6
3EI3PD, Y, 2, 4, 4, 6
A5AZRE, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
A5AZRE, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
A5AZRE, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
A5AZRE, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
B0JPZW, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
B0JPZW, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
B0JPZW, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
B0JPZW, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
B0JPZW, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DH4M4H, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DH4M4H, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DH4M4H, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DH4M4H, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DH4M4H, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DPTQ4B, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DPTQ4B, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DPTQ4B, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
DPTQ4B, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
F19HEQ, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
F19HEQ, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
F19HEQ, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
F19HEQ, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
F19HEQ, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
H9WYCE, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
H9WYCE, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
H9WYCE, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
H9WYCE, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
HMIZVH, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
HMIZVH, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
HMIZVH, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
HMIZVH, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
HMIZVH, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
KS360P, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
KS360P, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
KS360P, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
KS360P, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
KS360P, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MJKHEN, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MJKHEN, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MJKHEN, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MJKHEN, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MJKHEN, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MN8GQC, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MN8GQC, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MN8GQC, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MN8GQC, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
MN8GQC, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
RYP5LU, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
RYP5LU, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
RYP5LU, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
RYP5LU, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
RYP5LU, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
S165KV, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
S165KV, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
S165KV, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
S165KV, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
S165KV, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
XCTWGU, B, 3, 2, 4, 6
3EI3PD, Y, 2, 4, 4, 6
XCTWGU, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
XCTWGU, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
XCTWGU, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
XCTWGU, Y, 3, 4, 4, 6
3EI3PD, Y, 2, 4, 4, 6
YWE2XU, G, 3, -5, 4, 6
3EI3PD, Y, 2, 4, 4, 6
YWE2XU, O, 3, -7, 4, 6
3EI3PD, Y, 2, 4, 4, 6
YWE2XU, P, 3, 0, 4, 6
3EI3PD, Y, 2, 4, 4, 6
YWE2XU, R, 3, 3, 4, 6
3EI3PD, Y, 2, 4, 4, 6
0ICMMK, B, 1, 4, -inf, 4
3OBOG6, G, 2, -inf, -inf, 4
3EI3PD, B, 3, 0, -inf, 4
3OBOG6, G, 2, 0, 0, 4
3EI3PD, O, 3, -9, 0, 4
3OBOG6, G, 2, 0, 0, 4
3EI3PD, P, 3, -2, 0, 4
3OBOG6, G, 2, 0, 0, 4
3EI3PD, Y, 3, 2, 0, 4
3OBOG6, G, 2, 2, 2, 4
A5AZRE, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
A5AZRE, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
A5AZRE, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
A5AZRE, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
B0JPZW, G, 3, -7, 2, 4
3OBOG6, G, 2, 2, 2, 4
B0JPZW, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
B0JPZW, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
B0JPZW, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
B0JPZW, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
DH4M4H, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
DH4M4H, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
DH4M4H, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
DH4M4H, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
DPTQ4B, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
DPTQ4B, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
DPTQ4B, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
DPTQ4B, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
DPTQ4B, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
F19HEQ, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
F19HEQ, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
F19HEQ, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
F19HEQ, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
F19HEQ, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
H9WYCE, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
H9WYCE, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
H9WYCE, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
H9WYCE, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
HMIZVH, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
HMIZVH, G, 3, -7, 2, 4
3OBOG6, G, 2, 2, 2, 4
HMIZVH, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
HMIZVH, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
HMIZVH, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
KS360P, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
KS360P, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
KS360P, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
KS360P, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
KS360P, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
MJKHEN, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
MJKHEN, G, 3, -7, 2, 4
3OBOG6, G, 2, 2, 2, 4
MJKHEN, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
MJKHEN, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
MJKHEN, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
MN8GQC, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
MN8GQC, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
MN8GQC, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
MN8GQC, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
MN8GQC, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
RYP5LU, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
RYP5LU, G, 3, -7, 2, 4
3OBOG6, G, 2, 2, 2, 4
RYP5LU, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
RYP5LU, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
RYP5LU, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
S165KV, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
S165KV, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
S165KV, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
S165KV, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
S165KV, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
VX28B9, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
VX28B9, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
VX28B9, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
VX28B9, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
VX28B9, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
XCTWGU, B, 3, 0, 2, 4
3OBOG6, G, 2, 2, 2, 4
XCTWGU, G, 3, -7, 2, 4
3OBOG6, G, 2, 2, 2, 4
XCTWGU, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
XCTWGU, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
XCTWGU, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
YWE2XU, G, 3, -7, 2, 4
3OBOG6, G, 2, 2, 2, 4
YWE2XU, O, 3, -9, 2, 4
3OBOG6, G, 2, 2, 2, 4
YWE2XU, P, 3, -2, 2, 4
3OBOG6, G, 2, 2, 2, 4
YWE2XU, R, 3, 1, 2, 4
3OBOG6, G, 2, 2, 2, 4
YWE2XU, Y, 3, 2, 2, 4
3OBOG6, G, 2, 2, 2, 4
0ICMMK, B, 1, 2, -inf, 2
3OBOG6, O, 2, -inf, -inf, 2
3EI3PD, B, 3, 6, -inf, 2
3OBOG6, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
3OBOG6, P, 2, -inf, -inf, 2
3EI3PD, B, 3, 11, -inf, 2
3OBOG6, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
3OBOG6, R, 2, -inf, -inf, 2
3EI3PD, B, 3, 5, -inf, 2
3OBOG6, R, 2, 5, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
3OBOG6, Y, 2, -inf, -inf, 2
3EI3PD, B, 3, 2, -inf, 2
3OBOG6, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
A5AZRE, B, 2, -inf, -inf, 2
3EI3PD, B, 3, 4, -inf, 2
A5AZRE, B, 2, 4, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
A5AZRE, O, 2, -inf, -inf, 2
3EI3PD, B, 3, 6, -inf, 2
A5AZRE, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
A5AZRE, P, 2, -inf, -inf, 2
3EI3PD, B, 3, 11, -inf, 2
A5AZRE, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
A5AZRE, Y, 2, -inf, -inf, 2
3EI3PD, B, 3, 2, -inf, 2
A5AZRE, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
B0JPZW, G, 2, -inf, -inf, 2
3EI3PD, B, 3, 0, -inf, 2
B0JPZW, G, 2, 0, 0, 2
3EI3PD, O, 3, -9, 0, 2
B0JPZW, G, 2, 0, 0, 2
3EI3PD, P, 3, -2, 0, 2
B0JPZW, G, 2, 0, 0, 2
3EI3PD, Y, 3, 2, 0, 2
B0JPZW, G, 2, 2, 0, 2
0ICMMK, B, 1, 2, -inf, 2
B0JPZW, O, 2, -inf, -inf, 2
3EI3PD, B, 3, 6, -inf, 2
B0JPZW, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
B0JPZW, P, 2, -inf, -inf, 2
3EI3PD, B, 3, 11, -inf, 2
B0JPZW, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
B0JPZW, R, 2, -inf, -inf, 2
3EI3PD, B, 3, 5, -inf, 2
B0JPZW, R, 2, 5, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
B0JPZW, Y, 2, -inf, -inf, 2
3EI3PD, B, 3, 2, -inf, 2
B0JPZW, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DH4M4H, G, 2, -inf, -inf, 2
2C730F, B, 3, 0, -inf, 2
DH4M4H, G, 2, 0, 0, 2
2C730F, O, 3, -9, 0, 2
DH4M4H, G, 2, 0, 0, 2
2C730F, P, 3, -2, 0, 2
DH4M4H, G, 2, 0, 0, 2
2C730F, R, 3, 1, 0, 2
DH4M4H, G, 2, 1, 1, 2
2C730F, Y, 3, 2, 1, 2
DH4M4H, G, 2, 2, 1, 2
0ICMMK, B, 1, 2, -inf, 2
DH4M4H, O, 2, -inf, -inf, 2
2C730F, B, 3, 6, -inf, 2
DH4M4H, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DH4M4H, P, 2, -inf, -inf, 2
2C730F, B, 3, 11, -inf, 2
DH4M4H, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DH4M4H, R, 2, -inf, -inf, 2
2C730F, B, 3, 5, -inf, 2
DH4M4H, R, 2, 5, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DH4M4H, Y, 2, -inf, -inf, 2
2C730F, B, 3, 2, -inf, 2
DH4M4H, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DPTQ4B, B, 2, -inf, -inf, 2
2C730F, G, 3, -3, -inf, 2
DPTQ4B, B, 2, -3, -3, 2
2C730F, O, 3, -5, -3, 2
DPTQ4B, B, 2, -3, -3, 2
2C730F, P, 3, 2, -3, 2
DPTQ4B, B, 2, 2, -3, 2
0ICMMK, B, 1, 2, -inf, 2
DPTQ4B, O, 2, -inf, -inf, 2
2C730F, B, 3, 6, -inf, 2
DPTQ4B, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DPTQ4B, P, 2, -inf, -inf, 2
2C730F, B, 3, 11, -inf, 2
DPTQ4B, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DPTQ4B, R, 2, -inf, -inf, 2
2C730F, B, 3, 5, -inf, 2
DPTQ4B, R, 2, 5, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
DPTQ4B, Y, 2, -inf, -inf, 2
2C730F, B, 3, 2, -inf, 2
DPTQ4B, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
H9WYCE, O, 2, -inf, -inf, 2
3EI3PD, B, 3, 6, -inf, 2
H9WYCE, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
H9WYCE, P, 2, -inf, -inf, 2
3EI3PD, B, 3, 11, -inf, 2
H9WYCE, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
H9WYCE, R, 2, -inf, -inf, 2
3EI3PD, B, 3, 5, -inf, 2
H9WYCE, R, 2, 5, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
H9WYCE, Y, 2, -inf, -inf, 2
3EI3PD, B, 3, 2, -inf, 2
H9WYCE, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
HMIZVH, B, 2, -inf, -inf, 2
3EI3PD, B, 3, 4, -inf, 2
HMIZVH, B, 2, 4, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
HMIZVH, G, 2, -inf, -inf, 2
3EI3PD, B, 3, 0, -inf, 2
HMIZVH, G, 2, 0, 0, 2
3EI3PD, O, 3, -9, 0, 2
HMIZVH, G, 2, 0, 0, 2
3EI3PD, P, 3, -2, 0, 2
HMIZVH, G, 2, 0, 0, 2
3EI3PD, Y, 3, 2, 0, 2
HMIZVH, G, 2, 2, 0, 2
0ICMMK, B, 1, 2, -inf, 2
HMIZVH, O, 2, -inf, -inf, 2
3EI3PD, B, 3, 6, -inf, 2
HMIZVH, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
HMIZVH, P, 2, -inf, -inf, 2
3EI3PD, B, 3, 11, -inf, 2
HMIZVH, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
HMIZVH, Y, 2, -inf, -inf, 2
3EI3PD, B, 3, 2, -inf, 2
HMIZVH, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
KS360P, B, 2, -inf, -inf, 2
3EI3PD, B, 3, 4, -inf, 2
KS360P, B, 2, 4, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
KS360P, O, 2, -inf, -inf, 2
3EI3PD, B, 3, 6, -inf, 2
KS360P, O, 2, 6, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
KS360P, P, 2, -inf, -inf, 2
3EI3PD, B, 3, 11, -inf, 2
KS360P, P, 2, 11, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
KS360P, R, 2, -inf, -inf, 2
3EI3PD, B, 3, 5, -inf, 2
KS360P, R, 2, 5, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
KS360P, Y, 2, -inf, -inf, 2
3EI3PD, B, 3, 2, -inf, 2
KS360P, Y, 2, 2, -inf, 2
0ICMMK, B, 1, 2, -inf, 2
MJKHEN, B, 2, -inf, -inf, 2
2C730F, G, 3, -3, -inf, 2
MJKHEN, B, 2, -3, -3, 2
2C730F, O, 3, -5, -3, 2
MJKHEN, B, 2, -3, -3, 2
2C730F, P, 3, 2, -3, 2
MJKHEN, B, 2, 2, -3, 2
0ICMMK, B, 1, 2, -inf, 2
MJKHEN, G, 2, -inf, -inf, 2
2C730F, B, 3, 0, -inf, 2
MJKHEN, G, 2, 0, 0, 2
2C730F, O, 3, -9, 0, 2
MJKHEN, G, 2, 0, 0, 2
2C730F, P, 3, -2, 0, 2
MJKHEN, G, 2, 0, 0, 2
2C730F, R, 3, 1, 0, 2
MJKHEN, G, 2, 1, 1, 2
2C730F, Y, 3, 2, 1, 2
