UPYJ9U, G, 0, -inf, -inf, inf
18BWYA, G, 2, 16, 16, inf
EWP924, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
EWP924, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
F8QWGY, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
F8QWGY, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
F8QWGY, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
F8QWGY, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
I2Y2T8, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
I2Y2T8, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
MGRRCD, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
MGRRCD, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
MGRRCD, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
QMJX05, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
QMJX05, G, 3, 2, 16, inf
18BWYA, G, 2, 16, 16, inf
QMJX05, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
QMJX05, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
RXVBJW, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
RXVBJW, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
RXVBJW, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
RXVBJW, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
S38SP4, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
S38SP4, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
S38SP4, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
S38SP4, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
SD9JEG, G, 3, 2, 16, inf
18BWYA, G, 2, 16, 16, inf
SD9JEG, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
SD9JEG, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
TSC4ZZ, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
TSC4ZZ, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
TSC4ZZ, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
TSC4ZZ, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
0PP42D, B, 1, 16, -inf, 16
18BWYA, P, 2, -inf, -inf, 16
0S6XTZ, B, 3, 17, -inf, 16
18BWYA, P, 2, 17, -inf, 16
0PP42D, B, 1, 16, -inf, 16
18BWYA, R, 2, -inf, -inf, 16
0S6XTZ, B, 3, 22, -inf, 16
18BWYA, R, 2, 22, -inf, 16
0PP42D, B, 1, 16, -inf, 16
18BWYA, Y, 2, -inf, -inf, 16
0S6XTZ, B, 3, 19, -inf, 16
18BWYA, Y, 2, 19, -inf, 16
0PP42D, B, 1, 16, -inf, 16
1OCV17, G, 2, -inf, -inf, 16
18BWYA, G, 3, 2, -inf, 16
1OCV17, G, 2, 2, 2, 16
18BWYA, P, 3, 10, 2, 16
1OCV17, G, 2, 10, 10, 16
18BWYA, R, 3, 7, 10, 16
1OCV17, G, 2, 10, 10, 16
18BWYA, Y, 3, 14, 10, 16
1OCV17, G, 2, 14, 14, 16
464I3S, P, 3, 10, 14, 16
1OCV17, G, 2, 14, 14, 16
464I3S, R, 3, 7, 14, 16
1OCV17, G, 2, 14, 14, 16
464I3S, Y, 3, 14, 14, 16
1OCV17, G, 2, 14, 14, 16
51VNC2, B, 3, 16, 14, 16
1OCV17, G, 2, 16, 14, 16
0PP42D, B, 1, 16, -inf, 16
1OCV17, P, 2, -inf, -inf, 16
18BWYA, G, 3, 3, -inf, 16
1OCV17, P, 2, 3, 3, 16
18BWYA, P, 3, 11, 3, 16
1OCV17, P, 2, 11, 11, 16
18BWYA, R, 3, 8, 11, 16
1OCV17, P, 2, 11, 11, 16
18BWYA, Y, 3, 15, 11, 16
1OCV17, P, 2, 15, 15, 16
464I3S, G, 3, 3, 15, 16
1OCV17, P, 2, 15, 15, 16
464I3S, R, 3, 8, 15, 16
1OCV17, P, 2, 15, 15, 16
464I3S, Y, 3, 15, 15, 16
1OCV17, P, 2, 15, 15, 16
51VNC2, B, 3, 17, 15, 16
1OCV17, P, 2, 17, 15, 16
0PP42D, B, 1, 16, -inf, 16
1OCV17, R, 2, -inf, -inf, 16
18BWYA, G, 3, 8, -inf, 16
1OCV17, R, 2, 8, 8, 16
18BWYA, P, 3, 16, 8, 16
1OCV17, R, 2, 16, 8, 16
0PP42D, B, 1, 16, -inf, 16
1OCV17, Y, 2, -inf, -inf, 16
18BWYA, G, 3, 5, -inf, 16
1OCV17, Y, 2, 5, 5, 16
18BWYA, P, 3, 13, 5, 16
1OCV17, Y, 2, 13, 13, 16
18BWYA, R, 3, 10, 13, 16
1OCV17, Y, 2, 13, 13, 16
18BWYA, Y, 3, 17, 13, 16
1OCV17, Y, 2, 17, 13, 16
0PP42D, B, 1, 16, -inf, 16
464I3S, G, 2, -inf, -inf, 16
18BWYA, G, 3, 2, -inf, 16
464I3S, G, 2, 2, 2, 16
18BWYA, P, 3, 10, 2, 16
464I3S, G, 2, 10, 10, 16
18BWYA, R, 3, 7, 10, 16
464I3S, G, 2, 10, 10, 16
18BWYA, Y, 3, 14, 10, 16
464I3S, G, 2, 14, 14, 16
1OCV17, P, 3, 10, 14, 16
464I3S, G, 2, 14, 14, 16
1OCV17, R, 3, 7, 14, 16
464I3S, G, 2, 14, 14, 16
1OCV17, Y, 3, 14, 14, 16
464I3S, G, 2, 14, 14, 16
51VNC2, B, 3, 16, 14, 16
464I3S, G, 2, 16, 14, 16
0PP42D, B, 1, 16, -inf, 16
464I3S, P, 2, -inf, -inf, 16
18BWYA, G, 3, 3, -inf, 16
464I3S, P, 2, 3, 3, 16
18BWYA, P, 3, 11, 3, 16
464I3S, P, 2, 11, 11, 16
18BWYA, R, 3, 8, 11, 16
464I3S, P, 2, 11, 11, 16
18BWYA, Y, 3, 15, 11, 16
464I3S, P, 2, 15, 15, 16
1OCV17, G, 3, 3, 15, 16
464I3S, P, 2, 15, 15, 16
1OCV17, R, 3, 8, 15, 16
464I3S, P, 2, 15, 15, 16
1OCV17, Y, 3, 15, 15, 16
464I3S, P, 2, 15, 15, 16
51VNC2, B, 3, 17, 15, 16
464I3S, P, 2, 17, 15, 16
0PP42D, B, 1, 16, -inf, 16
464I3S, R, 2, -inf, -inf, 16
18BWYA, G, 3, 8, -inf, 16
464I3S, R, 2, 8, 8, 16
18BWYA, P, 3, 16, 8, 16
464I3S, R, 2, 16, 8, 16
0PP42D, B, 1, 16, -inf, 16
464I3S, Y, 2, -inf, -inf, 16
18BWYA, G, 3, 5, -inf, 16
464I3S, Y, 2, 5, 5, 16
18BWYA, P, 3, 13, 5, 16
464I3S, Y, 2, 13, 13, 16
18BWYA, R, 3, 10, 13, 16
464I3S, Y, 2, 13, 13, 16
18BWYA, Y, 3, 17, 13, 16
464I3S, Y, 2, 17, 13, 16
0PP42D, B, 1, 16, -inf, 16
51VNC2, B, 2, -inf, -inf, 16
18BWYA, G, 3, -2, -inf, 16
51VNC2, B, 2, -2, -2, 16
18BWYA, P, 3, 6, -2, 16
51VNC2, B, 2, 6, 6, 16
18BWYA, R, 3, 3, 6, 16
51VNC2, B, 2, 6, 6, 16
18BWYA, Y, 3, 10, 6, 16
51VNC2, B, 2, 10, 10, 16
1OCV17, G, 3, -2, 10, 16
51VNC2, B, 2, 10, 10, 16
1OCV17, P, 3, 6, 10, 16
51VNC2, B, 2, 10, 10, 16
1OCV17, R, 3, 3, 10, 16
51VNC2, B, 2, 10, 10, 16
1OCV17, Y, 3, 10, 10, 16
51VNC2, B, 2, 10, 10, 16
464I3S, G, 3, -2, 10, 16
51VNC2, B, 2, 10, 10, 16
464I3S, P, 3, 6, 10, 16
51VNC2, B, 2, 10, 10, 16
464I3S, R, 3, 3, 10, 16
51VNC2, B, 2, 10, 10, 16
464I3S, Y, 3, 10, 10, 16
51VNC2, B, 2, 10, 10, 16
6JGNR9, G, 3, -2, 10, 16
51VNC2, B, 2, 10, 10, 16
6JGNR9, P, 3, 6, 10, 16
51VNC2, B, 2, 10, 10, 16
6JGNR9, R, 3, 3, 10, 16
51VNC2, B, 2, 10, 10, 16
6JGNR9, Y, 3, 10, 10, 16
51VNC2, B, 2, 10, 10, 16
BV790R, B, 3, 12, 10, 16
51VNC2, B, 2, 12, 12, 16
BV790R, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
BV790R, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
CF8GZL, G, 3, -2, 12, 16
51VNC2, B, 2, 12, 12, 16
CF8GZL, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
CF8GZL, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
CIR46M, B, 3, 12, 12, 16
51VNC2, B, 2, 12, 12, 16
CIR46M, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
CIR46M, R, 3, 3, 12, 16
51VNC2, B, 2, 12, 12, 16
CIR46M, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
CL2X5M, G, 3, -2, 12, 16
51VNC2, B, 2, 12, 12, 16
CL2X5M, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
CL2X5M, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
EWP924, B, 3, 12, 12, 16
51VNC2, B, 2, 12, 12, 16
EWP924, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
EWP924, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
F8QWGY, B, 3, 12, 12, 16
51VNC2, B, 2, 12, 12, 16
F8QWGY, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
F8QWGY, R, 3, 3, 12, 16
51VNC2, B, 2, 12, 12, 16
F8QWGY, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
I2Y2T8, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
I2Y2T8, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
MGRRCD, B, 3, 12, 12, 16
51VNC2, B, 2, 12, 12, 16
MGRRCD, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
MGRRCD, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
QMJX05, B, 3, 12, 12, 16
51VNC2, B, 2, 12, 12, 16
QMJX05, G, 3, -2, 12, 16
51VNC2, B, 2, 12, 12, 16
QMJX05, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
QMJX05, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
SD9JEG, G, 3, -2, 12, 16
51VNC2, B, 2, 12, 12, 16
SD9JEG, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
SD9JEG, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
TSC4ZZ, P, 3, 6, 12, 16
51VNC2, B, 2, 12, 12, 16
TSC4ZZ, R, 3, 3, 12, 16
51VNC2, B, 2, 12, 12, 16
TSC4ZZ, Y, 3, 10, 12, 16
51VNC2, B, 2, 12, 12, 16
0PP42D, B, 1, 12, -inf, 12
51VNC2, P, 2, -inf, -inf, 12
18BWYA, G, 3, 3, -inf, 12
51VNC2, P, 2, 3, 3, 12
18BWYA, P, 3, 11, 3, 12
51VNC2, P, 2, 11, 11, 12
18BWYA, R, 3, 8, 11, 12
51VNC2, P, 2, 11, 11, 12
18BWYA, Y, 3, 15, 11, 12
51VNC2, P, 2, 15, 11, 12
0PP42D, B, 1, 12, -inf, 12
51VNC2, R, 2, -inf, -inf, 12
18BWYA, G, 3, 8, -inf, 12
51VNC2, R, 2, 8, 8, 12
18BWYA, P, 3, 16, 8, 12
51VNC2, R, 2, 16, 8, 12
0PP42D, B, 1, 12, -inf, 12
51VNC2, Y, 2, -inf, -inf, 12
18BWYA, G, 3, 5, -inf, 12
51VNC2, Y, 2, 5, 5, 12
18BWYA, P, 3, 13, 5, 12
51VNC2, Y, 2, 13, 5, 12
0PP42D, B, 1, 12, -inf, 12
BV790R, B, 2, -inf, -inf, 12
18BWYA, G, 3, -2, -inf, 12
BV790R, B, 2, -2, -2, 12
18BWYA, P, 3, 6, -2, 12
BV790R, B, 2, 6, 6, 12
18BWYA, R, 3, 3, 6, 12
BV790R, B, 2, 6, 6, 12
18BWYA, Y, 3, 10, 6, 12
BV790R, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
BV790R, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
BV790R, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
BV790R, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
BV790R, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
BV790R, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
BV790R, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
BV790R, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
BV790R, B, 2, 10, 10, 12
51VNC2, B, 3, 12, 10, 12
BV790R, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
BV790R, P, 2, -inf, -inf, 12
18BWYA, G, 3, 3, -inf, 12
BV790R, P, 2, 3, 3, 12
18BWYA, R, 3, 8, 3, 12
BV790R, P, 2, 8, 8, 12
18BWYA, Y, 3, 15, 8, 12
BV790R, P, 2, 15, 8, 12
0PP42D, B, 1, 12, -inf, 12
BV790R, Y, 2, -inf, -inf, 12
18BWYA, G, 3, 5, -inf, 12
BV790R, Y, 2, 5, 5, 12
18BWYA, P, 3, 13, 5, 12
BV790R, Y, 2, 13, 5, 12
0PP42D, B, 1, 12, -inf, 12
CF8GZL, G, 2, -inf, -inf, 12
0S6XTZ, B, 3, 16, -inf, 12
CF8GZL, G, 2, 16, -inf, 12
0PP42D, B, 1, 12, -inf, 12
CF8GZL, P, 2, -inf, -inf, 12
0S6XTZ, B, 3, 17, -inf, 12
CF8GZL, P, 2, 17, -inf, 12
0PP42D, B, 1, 12, -inf, 12
CF8GZL, Y, 2, -inf, -inf, 12
0S6XTZ, B, 3, 19, -inf, 12
CF8GZL, Y, 2, 19, -inf, 12
0PP42D, B, 1, 12, -inf, 12
CIR46M, B, 2, -inf, -inf, 12
18BWYA, G, 3, -2, -inf, 12
CIR46M, B, 2, -2, -2, 12
18BWYA, P, 3, 6, -2, 12
CIR46M, B, 2, 6, 6, 12
18BWYA, R, 3, 3, 6, 12
CIR46M, B, 2, 6, 6, 12
18BWYA, Y, 3, 10, 6, 12
CIR46M, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
CIR46M, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
CIR46M, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
CIR46M, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
CIR46M, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
CIR46M, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
CIR46M, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
CIR46M, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
CIR46M, B, 2, 10, 10, 12
51VNC2, B, 3, 12, 10, 12
CIR46M, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
CIR46M, P, 2, -inf, -inf, 12
18BWYA, G, 3, 3, -inf, 12
CIR46M, P, 2, 3, 3, 12
18BWYA, R, 3, 8, 3, 12
CIR46M, P, 2, 8, 8, 12
18BWYA, Y, 3, 15, 8, 12
CIR46M, P, 2, 15, 8, 12
0PP42D, B, 1, 12, -inf, 12
CIR46M, R, 2, -inf, -inf, 12
18BWYA, G, 3, 8, -inf, 12
CIR46M, R, 2, 8, 8, 12
18BWYA, P, 3, 16, 8, 12
CIR46M, R, 2, 16, 8, 12
0PP42D, B, 1, 12, -inf, 12
CIR46M, Y, 2, -inf, -inf, 12
18BWYA, G, 3, 5, -inf, 12
CIR46M, Y, 2, 5, 5, 12
18BWYA, P, 3, 13, 5, 12
CIR46M, Y, 2, 13, 5, 12
0PP42D, B, 1, 12, -inf, 12
CL2X5M, B, 2, -inf, -inf, 12
18BWYA, G, 3, -2, -inf, 12
CL2X5M, B, 2, -2, -2, 12
18BWYA, P, 3, 6, -2, 12
CL2X5M, B, 2, 6, 6, 12
18BWYA, R, 3, 3, 6, 12
CL2X5M, B, 2, 6, 6, 12
18BWYA, Y, 3, 10, 6, 12
CL2X5M, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
CL2X5M, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
CL2X5M, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
CL2X5M, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
CL2X5M, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
CL2X5M, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
CL2X5M, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
CL2X5M, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
CL2X5M, B, 2, 10, 10, 12
51VNC2, P, 3, 6, 10, 12
CL2X5M, B, 2, 10, 10, 12
51VNC2, R, 3, 3, 10, 12
CL2X5M, B, 2, 10, 10, 12
51VNC2, Y, 3, 10, 10, 12
CL2X5M, B, 2, 10, 10, 12
BV790R, B, 3, 12, 10, 12
CL2X5M, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
CL2X5M, G, 2, -inf, -inf, 12
18BWYA, G, 3, 2, -inf, 12
CL2X5M, G, 2, 2, 2, 12
18BWYA, P, 3, 10, 2, 12
CL2X5M, G, 2, 10, 10, 12
18BWYA, R, 3, 7, 10, 12
CL2X5M, G, 2, 10, 10, 12
18BWYA, Y, 3, 14, 10, 12
CL2X5M, G, 2, 14, 10, 12
0PP42D, B, 1, 12, -inf, 12
CL2X5M, P, 2, -inf, -inf, 12
18BWYA, G, 3, 3, -inf, 12
CL2X5M, P, 2, 3, 3, 12
18BWYA, P, 3, 11, 3, 12
CL2X5M, P, 2, 11, 11, 12
18BWYA, R, 3, 8, 11, 12
CL2X5M, P, 2, 11, 11, 12
18BWYA, Y, 3, 15, 11, 12
CL2X5M, P, 2, 15, 11, 12
0PP42D, B, 1, 12, -inf, 12
CL2X5M, Y, 2, -inf, -inf, 12
18BWYA, G, 3, 5, -inf, 12
CL2X5M, Y, 2, 5, 5, 12
18BWYA, P, 3, 13, 5, 12
CL2X5M, Y, 2, 13, 5, 12
0PP42D, B, 1, 12, -inf, 12
EWP924, B, 2, -inf, -inf, 12
18BWYA, G, 3, -2, -inf, 12
EWP924, B, 2, -2, -2, 12
18BWYA, P, 3, 6, -2, 12
EWP924, B, 2, 6, 6, 12
18BWYA, R, 3, 3, 6, 12
EWP924, B, 2, 6, 6, 12
18BWYA, Y, 3, 10, 6, 12
EWP924, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
EWP924, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
EWP924, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
EWP924, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
EWP924, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
EWP924, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
EWP924, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
EWP924, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
EWP924, B, 2, 10, 10, 12
51VNC2, B, 3, 12, 10, 12
EWP924, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
EWP924, P, 2, -inf, -inf, 12
18BWYA, G, 3, 3, -inf, 12
EWP924, P, 2, 3, 3, 12
18BWYA, P, 3, 11, 3, 12
EWP924, P, 2, 11, 11, 12
18BWYA, R, 3, 8, 11, 12
EWP924, P, 2, 11, 11, 12
18BWYA, Y, 3, 15, 11, 12
EWP924, P, 2, 15, 11, 12
0PP42D, B, 1, 12, -inf, 12
EWP924, Y, 2, -inf, -inf, 12
18BWYA, G, 3, 5, -inf, 12
EWP924, Y, 2, 5, 5, 12
18BWYA, P, 3, 13, 5, 12
EWP924, Y, 2, 13, 5, 12
0PP42D, B, 1, 12, -inf, 12
F8QWGY, B, 2, -inf, -inf, 12
18BWYA, G, 3, -2, -inf, 12
F8QWGY, B, 2, -2, -2, 12
18BWYA, P, 3, 6, -2, 12
F8QWGY, B, 2, 6, 6, 12
18BWYA, R, 3, 3, 6, 12
F8QWGY, B, 2, 6, 6, 12
18BWYA, Y, 3, 10, 6, 12
F8QWGY, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
F8QWGY, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
F8QWGY, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
F8QWGY, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
F8QWGY, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
F8QWGY, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
F8QWGY, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
F8QWGY, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
F8QWGY, B, 2, 10, 10, 12
51VNC2, B, 3, 12, 10, 12
F8QWGY, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
F8QWGY, P, 2, -inf, -inf, 12
18BWYA, G, 3, 3, -inf, 12
F8QWGY, P, 2, 3, 3, 12
18BWYA, P, 3, 11, 3, 12
F8QWGY, P, 2, 11, 11, 12
18BWYA, R, 3, 8, 11, 12
F8QWGY, P, 2, 11, 11, 12
18BWYA, Y, 3, 15, 11, 12
F8QWGY, P, 2, 15, 11, 12
0PP42D, B, 1, 12, -inf, 12
F8QWGY, R, 2, -inf, -inf, 12
18BWYA, G, 3, 8, -inf, 12
F8QWGY, R, 2, 8, 8, 12
18BWYA, P, 3, 16, 8, 12
F8QWGY, R, 2, 16, 8, 12
0PP42D, B, 1, 12, -inf, 12
F8QWGY, Y, 2, -inf, -inf, 12
18BWYA, G, 3, 5, -inf, 12
F8QWGY, Y, 2, 5, 5, 12
18BWYA, P, 3, 13, 5, 12
F8QWGY, Y, 2, 13, 5, 12
0PP42D, B, 1, 12, -inf, 12
I2Y2T8, P, 2, -inf, -inf, 12
0S6XTZ, B, 3, 17, -inf, 12
I2Y2T8, P, 2, 17, -inf, 12
0PP42D, B, 1, 12, -inf, 12
I2Y2T8, Y, 2, -inf, -inf, 12
0S6XTZ, B, 3, 19, -inf, 12
I2Y2T8, Y, 2, 19, -inf, 12
0PP42D, B, 1, 12, -inf, 12
MGRRCD, B, 2, -inf, -inf, 12
0S6XTZ, G, 3, -2, -inf, 12
MGRRCD, B, 2, -2, -2, 12
0S6XTZ, P, 3, 6, -2, 12
MGRRCD, B, 2, 6, 6, 12
0S6XTZ, R, 3, 3, 6, 12
MGRRCD, B, 2, 6, 6, 12
0S6XTZ, Y, 3, 10, 6, 12
MGRRCD, B, 2, 10, 10, 12
18BWYA, G, 3, -2, 10, 12
MGRRCD, B, 2, 10, 10, 12
18BWYA, P, 3, 6, 10, 12
MGRRCD, B, 2, 10, 10, 12
18BWYA, R, 3, 3, 10, 12
MGRRCD, B, 2, 10, 10, 12
18BWYA, Y, 3, 10, 10, 12
MGRRCD, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
MGRRCD, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
MGRRCD, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
MGRRCD, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
MGRRCD, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
MGRRCD, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
MGRRCD, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
MGRRCD, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
MGRRCD, B, 2, 10, 10, 12
51VNC2, B, 3, 12, 10, 12
MGRRCD, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
MGRRCD, P, 2, -inf, -inf, 12
0S6XTZ, B, 3, 17, -inf, 12
MGRRCD, P, 2, 17, -inf, 12
0PP42D, B, 1, 12, -inf, 12
MGRRCD, Y, 2, -inf, -inf, 12
0S6XTZ, B, 3, 19, -inf, 12
MGRRCD, Y, 2, 19, -inf, 12
0PP42D, B, 1, 12, -inf, 12
QMJX05, B, 2, -inf, -inf, 12
0S6XTZ, G, 3, -2, -inf, 12
QMJX05, B, 2, -2, -2, 12
0S6XTZ, P, 3, 6, -2, 12
