YACZVG, G, 0, -inf, -inf, inf
5UN7NQ, O, 2, 7, 7, 14
WZ4BWG, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
53E36Q, B, 1, 7, -inf, 7
5UN7NQ, P, 2, -inf, -inf, 7
7S1B87, G, 3, 6, -inf, 7
5UN7NQ, P, 2, 6, 6, 7
7S1B87, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
7S1B87, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
9WDM4Y, B, 3, -6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
9WDM4Y, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
9WDM4Y, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
9WDM4Y, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
9WDM4Y, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DN4ZT4, B, 3, -6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DN4ZT4, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DN4ZT4, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DN4ZT4, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DN4ZT4, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DOR7FV, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DOR7FV, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DOR7FV, P, 3, 2, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DOR7FV, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
DOR7FV, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
GJ3EED, B, 3, -6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
GJ3EED, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
GJ3EED, P, 3, 2, 6, 7
5UN7NQ, P, 2, 6, 6, 7
GJ3EED, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
GJ3EED, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
K96N2Y, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
K96N2Y, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
K96N2Y, P, 3, 2, 6, 7
5UN7NQ, P, 2, 6, 6, 7
K96N2Y, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
K96N2Y, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
PGPUEO, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
PGPUEO, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
PGPUEO, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
PGPUEO, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
S7YAGD, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
S7YAGD, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
S7YAGD, P, 3, 2, 6, 7
5UN7NQ, P, 2, 6, 6, 7
S7YAGD, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
S7YAGD, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
UQ952K, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
UQ952K, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
UQ952K, P, 3, 2, 6, 7
5UN7NQ, P, 2, 6, 6, 7
UQ952K, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
UQ952K, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WIW6DO, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WIW6DO, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WIW6DO, P, 3, 2, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WIW6DO, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WIW6DO, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WZ4BWG, B, 3, -6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WZ4BWG, G, 3, 6, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WZ4BWG, O, 3, -4, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WZ4BWG, R, 3, 3, 6, 7
5UN7NQ, P, 2, 6, 6, 7
WZ4BWG, Y, 3, 5, 6, 7
5UN7NQ, P, 2, 6, 6, 7
53E36Q, B, 1, 6, -inf, 6
5UN7NQ, Y, 2, -inf, -inf, 6
7S1B87, G, 3, 4, -inf, 6
5UN7NQ, Y, 2, 4, 4, 6
7S1B87, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
7S1B87, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
9WDM4Y, B, 3, -8, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
9WDM4Y, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
9WDM4Y, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
9WDM4Y, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
9WDM4Y, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DN4ZT4, B, 3, -8, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DN4ZT4, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DN4ZT4, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DN4ZT4, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DN4ZT4, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DOR7FV, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DOR7FV, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DOR7FV, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DOR7FV, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
DOR7FV, Y, 3, 3, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
GJ3EED, B, 3, -8, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
GJ3EED, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
GJ3EED, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
GJ3EED, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
GJ3EED, Y, 3, 3, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
K96N2Y, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
K96N2Y, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
K96N2Y, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
K96N2Y, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
K96N2Y, Y, 3, 3, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
PGPUEO, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
PGPUEO, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
PGPUEO, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
PGPUEO, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
S7YAGD, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
S7YAGD, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
S7YAGD, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
S7YAGD, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
S7YAGD, Y, 3, 3, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
UQ952K, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
UQ952K, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
UQ952K, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
UQ952K, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
UQ952K, Y, 3, 3, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WIW6DO, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WIW6DO, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WIW6DO, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WIW6DO, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WIW6DO, Y, 3, 3, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WZ4BWG, B, 3, -8, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WZ4BWG, G, 3, 4, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WZ4BWG, O, 3, -6, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WZ4BWG, P, 3, 0, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
WZ4BWG, R, 3, 1, 4, 6
5UN7NQ, Y, 2, 4, 4, 6
53E36Q, B, 1, 4, -inf, 4
7S1B87, G, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
7S1B87, G, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
7S1B87, G, 2, -4, -4, 4
5UN7NQ, P, 3, 2, -4, 4
7S1B87, G, 2, 2, 2, 4
5UN7NQ, Y, 3, 5, 2, 4
7S1B87, G, 2, 5, 2, 4
53E36Q, B, 1, 4, -inf, 4
7S1B87, O, 2, -inf, -inf, 4
5UN7NQ, B, 3, -5, -inf, 4
7S1B87, O, 2, -5, -5, 4
5UN7NQ, P, 3, 3, -5, 4
7S1B87, O, 2, 3, 3, 4
5UN7NQ, Y, 3, 6, 3, 4
7S1B87, O, 2, 6, 3, 4
53E36Q, B, 1, 4, -inf, 4
7S1B87, P, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
7S1B87, P, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
7S1B87, P, 2, -4, -4, 4
5UN7NQ, Y, 3, 5, -4, 4
7S1B87, P, 2, 5, -4, 4
53E36Q, B, 1, 4, -inf, 4
7S1B87, Y, 2, -inf, -inf, 4
5UN7NQ, B, 3, -8, -inf, 4
7S1B87, Y, 2, -8, -8, 4
5UN7NQ, O, 3, -6, -8, 4
7S1B87, Y, 2, -6, -6, 4
5UN7NQ, P, 3, 0, -6, 4
7S1B87, Y, 2, 0, 0, 4
DN4ZT4, B, 3, -8, 0, 4
7S1B87, Y, 2, 0, 0, 4
DN4ZT4, G, 3, 4, 0, 4
7S1B87, Y, 2, 4, 0, 4
53E36Q, B, 1, 4, -inf, 4
DOR7FV, G, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
DOR7FV, G, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
DOR7FV, G, 2, -4, -4, 4
5UN7NQ, P, 3, 2, -4, 4
DOR7FV, G, 2, 2, 2, 4
5UN7NQ, Y, 3, 5, 2, 4
DOR7FV, G, 2, 5, 2, 4
53E36Q, B, 1, 4, -inf, 4
DOR7FV, O, 2, -inf, -inf, 4
5UN7NQ, B, 3, -5, -inf, 4
DOR7FV, O, 2, -5, -5, 4
5UN7NQ, O, 3, -3, -5, 4
DOR7FV, O, 2, -3, -3, 4
5UN7NQ, P, 3, 3, -3, 4
DOR7FV, O, 2, 3, 3, 4
5UN7NQ, Y, 3, 6, 3, 4
DOR7FV, O, 2, 6, 3, 4
53E36Q, B, 1, 4, -inf, 4
DOR7FV, P, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
DOR7FV, P, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
DOR7FV, P, 2, -4, -4, 4
5UN7NQ, P, 3, 2, -4, 4
DOR7FV, P, 2, 2, 2, 4
5UN7NQ, Y, 3, 5, 2, 4
DOR7FV, P, 2, 5, 2, 4
53E36Q, B, 1, 4, -inf, 4
DOR7FV, R, 2, -inf, -inf, 4
5UN7NQ, B, 3, 3, -inf, 4
DOR7FV, R, 2, 3, 3, 4
5UN7NQ, O, 3, 5, 3, 4
DOR7FV, R, 2, 5, 3, 4
53E36Q, B, 1, 4, -inf, 4
DOR7FV, Y, 2, -inf, -inf, 4
5UN7NQ, B, 3, -8, -inf, 4
DOR7FV, Y, 2, -8, -8, 4
5UN7NQ, O, 3, -6, -8, 4
DOR7FV, Y, 2, -6, -6, 4
5UN7NQ, P, 3, 0, -6, 4
DOR7FV, Y, 2, 0, 0, 4
5UN7NQ, Y, 3, 3, 0, 4
DOR7FV, Y, 2, 3, 3, 4
7S1B87, G, 3, 4, 3, 4
DOR7FV, Y, 2, 4, 3, 4
53E36Q, B, 1, 4, -inf, 4
GJ3EED, B, 2, -inf, -inf, 4
5UN7NQ, B, 3, 2, -inf, 4
GJ3EED, B, 2, 2, 2, 4
5UN7NQ, O, 3, 4, 2, 4
GJ3EED, B, 2, 4, 2, 4
53E36Q, B, 1, 4, -inf, 4
GJ3EED, O, 2, -inf, -inf, 4
5UN7NQ, B, 3, -5, -inf, 4
GJ3EED, O, 2, -5, -5, 4
5UN7NQ, O, 3, -3, -5, 4
GJ3EED, O, 2, -3, -3, 4
5UN7NQ, P, 3, 3, -3, 4
GJ3EED, O, 2, 3, 3, 4
5UN7NQ, Y, 3, 6, 3, 4
GJ3EED, O, 2, 6, 3, 4
53E36Q, B, 1, 4, -inf, 4
GJ3EED, P, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
GJ3EED, P, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
GJ3EED, P, 2, -4, -4, 4
5UN7NQ, P, 3, 2, -4, 4
GJ3EED, P, 2, 2, 2, 4
5UN7NQ, Y, 3, 5, 2, 4
GJ3EED, P, 2, 5, 2, 4
53E36Q, B, 1, 4, -inf, 4
GJ3EED, R, 2, -inf, -inf, 4
5UN7NQ, B, 3, 3, -inf, 4
GJ3EED, R, 2, 3, 3, 4
5UN7NQ, O, 3, 5, 3, 4
GJ3EED, R, 2, 5, 3, 4
53E36Q, B, 1, 4, -inf, 4
GJ3EED, Y, 2, -inf, -inf, 4
5UN7NQ, B, 3, -8, -inf, 4
GJ3EED, Y, 2, -8, -8, 4
5UN7NQ, O, 3, -6, -8, 4
GJ3EED, Y, 2, -6, -6, 4
5UN7NQ, P, 3, 0, -6, 4
GJ3EED, Y, 2, 0, 0, 4
5UN7NQ, Y, 3, 3, 0, 4
GJ3EED, Y, 2, 3, 3, 4
7S1B87, G, 3, 4, 3, 4
GJ3EED, Y, 2, 4, 3, 4
53E36Q, B, 1, 4, -inf, 4
K96N2Y, G, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
K96N2Y, G, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
K96N2Y, G, 2, -4, -4, 4
5UN7NQ, P, 3, 2, -4, 4
K96N2Y, G, 2, 2, 2, 4
5UN7NQ, Y, 3, 5, 2, 4
K96N2Y, G, 2, 5, 2, 4
53E36Q, B, 1, 4, -inf, 4
K96N2Y, O, 2, -inf, -inf, 4
5UN7NQ, B, 3, -5, -inf, 4
K96N2Y, O, 2, -5, -5, 4
5UN7NQ, O, 3, -3, -5, 4
K96N2Y, O, 2, -3, -3, 4
5UN7NQ, P, 3, 3, -3, 4
K96N2Y, O, 2, 3, 3, 4
5UN7NQ, Y, 3, 6, 3, 4
K96N2Y, O, 2, 6, 3, 4
53E36Q, B, 1, 4, -inf, 4
K96N2Y, P, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
K96N2Y, P, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
K96N2Y, P, 2, -4, -4, 4
5UN7NQ, P, 3, 2, -4, 4
K96N2Y, P, 2, 2, 2, 4
5UN7NQ, Y, 3, 5, 2, 4
K96N2Y, P, 2, 5, 2, 4
53E36Q, B, 1, 4, -inf, 4
K96N2Y, R, 2, -inf, -inf, 4
5UN7NQ, B, 3, 3, -inf, 4
K96N2Y, R, 2, 3, 3, 4
5UN7NQ, O, 3, 5, 3, 4
K96N2Y, R, 2, 5, 3, 4
53E36Q, B, 1, 4, -inf, 4
K96N2Y, Y, 2, -inf, -inf, 4
5UN7NQ, B, 3, -8, -inf, 4
K96N2Y, Y, 2, -8, -8, 4
5UN7NQ, O, 3, -6, -8, 4
K96N2Y, Y, 2, -6, -6, 4
5UN7NQ, P, 3, 0, -6, 4
K96N2Y, Y, 2, 0, 0, 4
5UN7NQ, Y, 3, 3, 0, 4
K96N2Y, Y, 2, 3, 3, 4
7S1B87, G, 3, 4, 3, 4
K96N2Y, Y, 2, 4, 3, 4
53E36Q, B, 1, 4, -inf, 4
PGPUEO, G, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
PGPUEO, G, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
PGPUEO, G, 2, -4, -4, 4
5UN7NQ, P, 3, 2, -4, 4
PGPUEO, G, 2, 2, 2, 4
5UN7NQ, Y, 3, 5, 2, 4
PGPUEO, G, 2, 5, 2, 4
53E36Q, B, 1, 4, -inf, 4
PGPUEO, O, 2, -inf, -inf, 4
5UN7NQ, B, 3, -5, -inf, 4
PGPUEO, O, 2, -5, -5, 4
5UN7NQ, P, 3, 3, -5, 4
PGPUEO, O, 2, 3, 3, 4
5UN7NQ, Y, 3, 6, 3, 4
PGPUEO, O, 2, 6, 3, 4
53E36Q, B, 1, 4, -inf, 4
PGPUEO, P, 2, -inf, -inf, 4
5UN7NQ, B, 3, -6, -inf, 4
PGPUEO, P, 2, -6, -6, 4
5UN7NQ, O, 3, -4, -6, 4
PGPUEO, P, 2, -4, -4, 4
5UN7NQ, Y, 3, 5, -4, 4
PGPUEO, P, 2, 5, -4, 4
53E36Q, B, 1, 4, -inf, 4
PGPUEO, R, 2, -inf, -inf, 4
5UN7NQ, B, 3, 3, -inf, 4
PGPUEO, R, 2, 3, 3, 4
5UN7NQ, O, 3, 5, 3, 4
PGPUEO, R, 2, 5, 3, 4
53E36Q, B, 1, 4, -inf, 4
PGPUEO, Y, 2, -inf, -inf, 4
