MXFI3W, G, 0, -inf, -inf, inf
CU7BOC, G, 2, -10, -10, inf
C6RXPH, B, 3, inf, -10, inf
9YZSQ5, B, 4, 1, -10, inf
C6RXPH, B, 3, 1, -10, 1
9YZSQ5, R, 4, 0, -10, 1
C6RXPH, B, 3, 0, -10, 0
DDQ3KD, B, 4, 1, -10, 0
C6RXPH, B, 3, 0, -10, 0
FOQ0EN, B, 4, 1, -10, 0
C6RXPH, B, 3, 0, -10, 0
FOQ0EN, R, 4, 0, -10, 0
C6RXPH, B, 3, 0, -10, 0
I7NJQU, G, 4, -11, -10, 0
C6RXPH, B, 3, -11, -10, 0
CU7BOC, G, 2, -10, -10, inf
C6RXPH, R, 3, inf, -10, inf
9YZSQ5, B, 4, 2, -10, inf
C6RXPH, R, 3, 2, -10, 2
9YZSQ5, R, 4, 1, -10, 2
C6RXPH, R, 3, 1, -10, 1
DDQ3KD, B, 4, 2, -10, 1
C6RXPH, R, 3, 1, -10, 1
FOQ0EN, B, 4, 2, -10, 1
C6RXPH, R, 3, 1, -10, 1
FOQ0EN, R, 4, 1, -10, 1
C6RXPH, R, 3, 1, -10, 1
I7NJQU, G, 4, -10, -10, 1
C6RXPH, R, 3, -10, -10, 1
CU7BOC, G, 2, -10, -10, inf
DDQ3KD, B, 3, inf, -10, inf
6ZHWP4, G, 4, -11, -10, inf
DDQ3KD, B, 3, -11, -10, inf
CU7BOC, G, 2, -10, -10, inf
FOQ0EN, B, 3, inf, -10, inf
3BGDX9, G, 4, -11, -10, inf
FOQ0EN, B, 3, -11, -10, inf
CU7BOC, G, 2, -10, -10, inf
FOQ0EN, R, 3, inf, -10, inf
3BGDX9, B, 4, 2, -10, inf
FOQ0EN, R, 3, 2, -10, 2
3BGDX9, G, 4, -10, -10, 2
FOQ0EN, R, 3, -10, -10, 2
CU7BOC, G, 2, -10, -10, inf
I7NJQU, G, 3, inf, -10, inf
328VUA, B, 4, -5, -10, inf
I7NJQU, G, 3, -5, -10, -5
328VUA, R, 4, -6, -10, -5
I7NJQU, G, 3, -6, -10, -6
9YZSQ5, B, 4, -5, -10, -6
I7NJQU, G, 3, -6, -10, -6
9YZSQ5, R, 4, -6, -10, -6
I7NJQU, G, 3, -6, -10, -6
C6RXPH, B, 4, -5, -10, -6
I7NJQU, G, 3, -6, -10, -6
C6RXPH, R, 4, -6, -10, -6
I7NJQU, G, 3, -6, -10, -6
DDQ3KD, B, 4, -5, -10, -6
I7NJQU, G, 3, -6, -10, -6
FOQ0EN, B, 4, -5, -10, -6
I7NJQU, G, 3, -6, -10, -6
FOQ0EN, R, 4, -6, -10, -6
I7NJQU, G, 3, -6, -10, -6
LHSFBP, G, 4, -17, -10, -6
I7NJQU, G, 3, -17, -10, -6
CU7BOC, G, 2, -10, -10, inf
I7NJQU, R, 3, inf, -10, inf
328VUA, B, 4, 2, -10, inf
I7NJQU, R, 3, 2, -10, 2
328VUA, G, 4, -10, -10, 2
I7NJQU, R, 3, -10, -10, 2
CU7BOC, G, 2, -10, -10, inf
LHSFBP, G, 3, inf, -10, inf
3BGDX9, B, 4, -5, -10, inf
LHSFBP, G, 3, -5, -10, -5
3BGDX9, R, 4, -6, -10, -5
LHSFBP, G, 3, -6, -10, -6
6ZHWP4, B, 4, -5, -10, -6
LHSFBP, G, 3, -6, -10, -6
6ZHWP4, R, 4, -6, -10, -6
LHSFBP, G, 3, -6, -10, -6
9YZSQ5, B, 4, -5, -10, -6
LHSFBP, G, 3, -6, -10, -6
9YZSQ5, R, 4, -6, -10, -6
LHSFBP, G, 3, -6, -10, -6
C6RXPH, B, 4, -5, -10, -6
LHSFBP, G, 3, -6, -10, -6
C6RXPH, R, 4, -6, -10, -6
LHSFBP, G, 3, -6, -10, -6
DDQ3KD, B, 4, -5, -10, -6
LHSFBP, G, 3, -6, -10, -6
FOQ0EN, B, 4, -5, -10, -6
LHSFBP, G, 3, -6, -10, -6
FOQ0EN, R, 4, -6, -10, -6
LHSFBP, G, 3, -6, -10, -6
I7NJQU, G, 4, -17, -10, -6
LHSFBP, G, 3, -17, -10, -6
CU7BOC, G, 2, -10, -10, inf
LHSFBP, R, 3, inf, -10, inf
3BGDX9, B, 4, 2, -10, inf
LHSFBP, R, 3, 2, -10, 2
3BGDX9, G, 4, -10, -10, 2
LHSFBP, R, 3, -10, -10, 2
CU7BOC, G, 2, -10, -10, inf
N1JZCU, B, 3, inf, -10, inf
9YZSQ5, B, 4, 1, -10, inf
N1JZCU, B, 3, 1, -10, 1
9YZSQ5, R, 4, 0, -10, 1
N1JZCU, B, 3, 0, -10, 0
C6RXPH, B, 4, 1, -10, 0
N1JZCU, B, 3, 0, -10, 0
C6RXPH, R, 4, 0, -10, 0
N1JZCU, B, 3, 0, -10, 0
DDQ3KD, B, 4, 1, -10, 0
N1JZCU, B, 3, 0, -10, 0
FOQ0EN, B, 4, 1, -10, 0
N1JZCU, B, 3, 0, -10, 0
FOQ0EN, R, 4, 0, -10, 0
N1JZCU, B, 3, 0, -10, 0
HOKRCB, G, 4, -11, -10, 0
N1JZCU, B, 3, -11, -10, 0
CU7BOC, G, 2, -10, -10, inf
N1JZCU, R, 3, inf, -10, inf
9YZSQ5, B, 4, 2, -10, inf
N1JZCU, R, 3, 2, -10, 2
9YZSQ5, R, 4, 1, -10, 2
N1JZCU, R, 3, 1, -10, 1
C6RXPH, B, 4, 2, -10, 1
N1JZCU, R, 3, 1, -10, 1
C6RXPH, R, 4, 1, -10, 1
N1JZCU, R, 3, 1, -10, 1
DDQ3KD, B, 4, 2, -10, 1
N1JZCU, R, 3, 1, -10, 1
FOQ0EN, B, 4, 2, -10, 1
N1JZCU, R, 3, 1, -10, 1
FOQ0EN, R, 4, 1, -10, 1
N1JZCU, R, 3, 1, -10, 1
HOKRCB, B, 4, 2, -10, 1
N1JZCU, R, 3, 1, -10, 1
HOKRCB, G, 4, -10, -10, 1
N1JZCU, R, 3, -10, -10, 1
CU7BOC, G, 2, -10, -10, inf
OQP6DR, B, 3, inf, -10, inf
9YZSQ5, R, 4, 0, -10, inf
OQP6DR, B, 3, 0, -10, 0
C6RXPH, B, 4, 1, -10, 0
OQP6DR, B, 3, 0, -10, 0
C6RXPH, R, 4, 0, -10, 0
OQP6DR, B, 3, 0, -10, 0
FOQ0EN, R, 4, 0, -10, 0
OQP6DR, B, 3, 0, -10, 0
I7NJQU, G, 4, -11, -10, 0
OQP6DR, B, 3, -11, -10, 0
CU7BOC, G, 2, -10, -10, inf
PLUABQ, B, 3, inf, -10, inf
9YZSQ5, B, 4, 1, -10, inf
PLUABQ, B, 3, 1, -10, 1
9YZSQ5, R, 4, 0, -10, 1
PLUABQ, B, 3, 0, -10, 0
C6RXPH, B, 4, 1, -10, 0
PLUABQ, B, 3, 0, -10, 0
C6RXPH, R, 4, 0, -10, 0
PLUABQ, B, 3, 0, -10, 0
DDQ3KD, B, 4, 1, -10, 0
PLUABQ, B, 3, 0, -10, 0
FOQ0EN, B, 4, 1, -10, 0
PLUABQ, B, 3, 0, -10, 0
FOQ0EN, R, 4, 0, -10, 0
PLUABQ, B, 3, 0, -10, 0
I7NJQU, G, 4, -11, -10, 0
PLUABQ, B, 3, -11, -10, 0
CU7BOC, G, 2, -10, -10, inf
PLUABQ, G, 3, inf, -10, inf
9YZSQ5, B, 4, -5, -10, inf
PLUABQ, G, 3, -5, -10, -5
9YZSQ5, R, 4, -6, -10, -5
PLUABQ, G, 3, -6, -10, -6
C6RXPH, B, 4, -5, -10, -6
PLUABQ, G, 3, -6, -10, -6
C6RXPH, R, 4, -6, -10, -6
PLUABQ, G, 3, -6, -10, -6
DDQ3KD, B, 4, -5, -10, -6
PLUABQ, G, 3, -6, -10, -6
FOQ0EN, B, 4, -5, -10, -6
PLUABQ, G, 3, -6, -10, -6
FOQ0EN, R, 4, -6, -10, -6
PLUABQ, G, 3, -6, -10, -6
I7NJQU, G, 4, -17, -10, -6
PLUABQ, G, 3, -17, -10, -6
CU7BOC, G, 2, -10, -10, inf
QDXVF0, B, 3, inf, -10, inf
9YZSQ5, R, 4, 0, -10, inf
QDXVF0, B, 3, 0, -10, 0
C6RXPH, B, 4, 1, -10, 0
QDXVF0, B, 3, 0, -10, 0
C6RXPH, R, 4, 0, -10, 0
QDXVF0, B, 3, 0, -10, 0
DDQ3KD, B, 4, 1, -10, 0
QDXVF0, B, 3, 0, -10, 0
FOQ0EN, B, 4, 1, -10, 0
QDXVF0, B, 3, 0, -10, 0
FOQ0EN, R, 4, 0, -10, 0
QDXVF0, B, 3, 0, -10, 0
I7NJQU, G, 4, -11, -10, 0
QDXVF0, B, 3, -11, -10, 0
CU7BOC, G, 2, -10, -10, inf
QZ8R48, G, 3, inf, -10, inf
9YZSQ5, B, 4, -5, -10, inf
QZ8R48, G, 3, -5, -10, -5
9YZSQ5, R, 4, -6, -10, -5
QZ8R48, G, 3, -6, -10, -6
C6RXPH, B, 4, -5, -10, -6
QZ8R48, G, 3, -6, -10, -6
C6RXPH, R, 4, -6, -10, -6
QZ8R48, G, 3, -6, -10, -6
DDQ3KD, B, 4, -5, -10, -6
QZ8R48, G, 3, -6, -10, -6
FOQ0EN, B, 4, -5, -10, -6
QZ8R48, G, 3, -6, -10, -6
FOQ0EN, R, 4, -6, -10, -6
QZ8R48, G, 3, -6, -10, -6
I7NJQU, G, 4, -17, -10, -6
QZ8R48, G, 3, -17, -10, -6
CU7BOC, G, 2, -10, -10, inf
QZ8R48, R, 3, inf, -10, inf
9YZSQ5, B, 4, 2, -10, inf
QZ8R48, R, 3, 2, -10, 2
9YZSQ5, R, 4, 1, -10, 2
QZ8R48, R, 3, 1, -10, 1
C6RXPH, B, 4, 2, -10, 1
QZ8R48, R, 3, 1, -10, 1
C6RXPH, R, 4, 1, -10, 1
QZ8R48, R, 3, 1, -10, 1
DDQ3KD, B, 4, 2, -10, 1
QZ8R48, R, 3, 1, -10, 1
FOQ0EN, B, 4, 2, -10, 1
QZ8R48, R, 3, 1, -10, 1
I7NJQU, G, 4, -10, -10, 1
QZ8R48, R, 3, -10, -10, 1
CU7BOC, G, 2, -10, -10, inf
RRCAVS, B, 3, inf, -10, inf
328VUA, G, 4, -11, -10, inf
RRCAVS, B, 3, -11, -10, inf
CU7BOC, G, 2, -10, -10, inf
RRCAVS, R, 3, inf, -10, inf
328VUA, B, 4, 2, -10, inf
RRCAVS, R, 3, 2, -10, 2
328VUA, G, 4, -10, -10, 2
RRCAVS, R, 3, -10, -10, 2
CU7BOC, G, 2, -10, -10, inf
U9APRV, B, 3, inf, -10, inf
6ZHWP4, G, 4, -11, -10, inf
U9APRV, B, 3, -11, -10, inf
CU7BOC, G, 2, -10, -10, inf
U9APRV, R, 3, inf, -10, inf
6ZHWP4, B, 4, 2, -10, inf
U9APRV, R, 3, 2, -10, 2
6ZHWP4, G, 4, -10, -10, 2
U9APRV, R, 3, -10, -10, 2
CU7BOC, G, 2, -10, -10, inf
XIMKGA, B, 3, inf, -10, inf
9YZSQ5, B, 4, 1, -10, inf
XIMKGA, B, 3, 1, -10, 1
9YZSQ5, R, 4, 0, -10, 1
XIMKGA, B, 3, 0, -10, 0
C6RXPH, R, 4, 0, -10, 0
XIMKGA, B, 3, 0, -10, 0
FOQ0EN, B, 4, 1, -10, 0
XIMKGA, B, 3, 0, -10, 0
FOQ0EN, R, 4, 0, -10, 0
XIMKGA, B, 3, 0, -10, 0
I7NJQU, G, 4, -11, -10, 0
XIMKGA, B, 3, -11, -10, 0
CU7BOC, G, 2, -10, -10, inf
XIMKGA, R, 3, inf, -10, inf
9YZSQ5, B, 4, 2, -10, inf
XIMKGA, R, 3, 2, -10, 2
9YZSQ5, R, 4, 1, -10, 2
XIMKGA, R, 3, 1, -10, 1
C6RXPH, B, 4, 2, -10, 1
XIMKGA, R, 3, 1, -10, 1
DDQ3KD, B, 4, 2, -10, 1
XIMKGA, R, 3, 1, -10, 1
FOQ0EN, B, 4, 2, -10, 1
XIMKGA, R, 3, 1, -10, 1
FOQ0EN, R, 4, 1, -10, 1
XIMKGA, R, 3, 1, -10, 1
I7NJQU, G, 4, -10, -10, 1
XIMKGA, R, 3, -10, -10, 1
CU7BOC, G, 2, -10, -10, inf
ZJDOS9, G, 3, inf, -10, inf
9YZSQ5, B, 4, -5, -10, inf
ZJDOS9, G, 3, -5, -10, -5
9YZSQ5, R, 4, -6, -10, -5
ZJDOS9, G, 3, -6, -10, -6
C6RXPH, B, 4, -5, -10, -6
ZJDOS9, G, 3, -6, -10, -6
C6RXPH, R, 4, -6, -10, -6
ZJDOS9, G, 3, -6, -10, -6
DDQ3KD, B, 4, -5, -10, -6
ZJDOS9, G, 3, -6, -10, -6
FOQ0EN, B, 4, -5, -10, -6
ZJDOS9, G, 3, -6, -10, -6
FOQ0EN, R, 4, -6, -10, -6
ZJDOS9, G, 3, -6, -10, -6
I7NJQU, G, 4, -17, -10, -6
ZJDOS9, G, 3, -17, -10, -6
CU7BOC, G, 2, -10, -10, inf
ZJDOS9, R, 3, inf, -10, inf
9YZSQ5, B, 4, 2, -10, inf
ZJDOS9, R, 3, 2, -10, 2
9YZSQ5, R, 4, 1, -10, 2
ZJDOS9, R, 3, 1, -10, 1
C6RXPH, B, 4, 2, -10, 1
ZJDOS9, R, 3, 1, -10, 1
DDQ3KD, B, 4, 2, -10, 1
ZJDOS9, R, 3, 1, -10, 1
FOQ0EN, B, 4, 2, -10, 1
ZJDOS9, R, 3, 1, -10, 1
FOQ0EN, R, 4, 1, -10, 1
ZJDOS9, R, 3, 1, -10, 1
I7NJQU, G, 4, -10, -10, 1
ZJDOS9, R, 3, -10, -10, 1
CU7BOC, G, 2, -10, -10, inf
15RP8U, B, 1, -10, -inf, -10
CU7BOC, R, 2, -inf, -inf, -10
9YZSQ5, B, 3, inf, -inf, -10
C6RXPH, B, 4, 12, -inf, -10
9YZSQ5, B, 3, 12, -inf, -10
C6RXPH, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
DDQ3KD, B, 4, 12, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
FOQ0EN, B, 4, 12, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
FOQ0EN, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
HOKRCB, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
HOKRCB, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
I7NJQU, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
I7NJQU, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
LHSFBP, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
LHSFBP, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
N1JZCU, B, 4, 12, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
N1JZCU, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
PLUABQ, B, 4, 12, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
PLUABQ, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
QDXVF0, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
QZ8R48, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
QZ8R48, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
RRCAVS, B, 4, 12, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
RRCAVS, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
U9APRV, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
XIMKGA, B, 4, 12, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
XIMKGA, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
ZJDOS9, G, 4, 0, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
ZJDOS9, R, 4, 11, -inf, -10
9YZSQ5, B, 3, 0, -inf, -10
CU7BOC, R, 2, 0, -inf, -10
15RP8U, B, 1, -10, -inf, -10
DDQ3KD, B, 2, -inf, -inf, -10
6ZHWP4, G, 3, inf, -inf, -10
CU7BOC, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
CU7BOC, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
FOQ0EN, B, 4, 7, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
FOQ0EN, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
HOKRCB, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
HOKRCB, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
I7NJQU, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
I7NJQU, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
JFDOL9, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
JFDOL9, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
LHSFBP, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
PLUABQ, B, 4, 7, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
PLUABQ, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
QDXVF0, B, 4, 7, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
QDXVF0, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
QZ8R48, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
QZ8R48, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
RRCAVS, B, 4, 7, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
RRCAVS, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
U9APRV, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
XIMKGA, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
ZJDOS9, G, 4, -5, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
ZJDOS9, R, 4, 6, -inf, -10
6ZHWP4, G, 3, -5, -inf, -10
DDQ3KD, B, 2, -5, -inf, -10
15RP8U, B, 1, -10, -inf, -10
FOQ0EN, B, 2, -inf, -inf, -10
3BGDX9, G, 3, inf, -inf, -10
328VUA, B, 4, 7, -inf, -10
3BGDX9, G, 3, 7, -inf, -10
328VUA, R, 4, 6, -inf, -10
3BGDX9, G, 3, 6, -inf, -10
CU7BOC, G, 4, -5, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
CU7BOC, R, 4, 6, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
DDQ3KD, B, 4, 7, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
I7NJQU, G, 4, -5, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
I7NJQU, R, 4, 6, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
LHSFBP, R, 4, 6, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
PLUABQ, B, 4, 7, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
PLUABQ, G, 4, -5, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
QDXVF0, B, 4, 7, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
QDXVF0, G, 4, -5, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
QZ8R48, G, 4, -5, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
QZ8R48, R, 4, 6, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
RRCAVS, B, 4, 7, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
RRCAVS, R, 4, 6, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
XIMKGA, B, 4, 7, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
XIMKGA, R, 4, 6, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
ZJDOS9, G, 4, -5, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
ZJDOS9, R, 4, 6, -inf, -10
3BGDX9, G, 3, -5, -inf, -10
FOQ0EN, B, 2, -5, -inf, -10
15RP8U, B, 1, -10, -inf, -10
FOQ0EN, R, 2, -inf, -inf, -10
3BGDX9, B, 3, inf, -inf, -10
328VUA, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
328VUA, R, 4, 11, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
CU7BOC, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
CU7BOC, R, 4, 11, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
DDQ3KD, B, 4, 12, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
I7NJQU, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
I7NJQU, R, 4, 11, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
LHSFBP, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
LHSFBP, R, 4, 11, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
OQP6DR, B, 4, 12, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
PLUABQ, B, 4, 12, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
PLUABQ, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
QDXVF0, B, 4, 12, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
QDXVF0, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
QZ8R48, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
RRCAVS, R, 4, 11, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
XIMKGA, B, 4, 12, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
XIMKGA, R, 4, 11, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
ZJDOS9, G, 4, 0, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
ZJDOS9, R, 4, 11, -inf, -10
3BGDX9, B, 3, 0, -inf, -10
FOQ0EN, R, 2, 0, -inf, -10
15RP8U, B, 1, -10, -inf, -10
I7NJQU, G, 2, -inf, -inf, -10
328VUA, B, 3, inf, -inf, -10
3BGDX9, G, 4, -11, -inf, -10
328VUA, B, 3, -11, -inf, -11
3BGDX9, R, 4, 0, -inf, -11
328VUA, B, 3, -11, -inf, -11
3DEXI7, G, 4, -11, -inf, -11
328VUA, B, 3, -11, -inf, -11
3DEXI7, R, 4, 0, -inf, -11
328VUA, B, 3, -11, -inf, -11
CU7BOC, G, 4, -11, -inf, -11
328VUA, B, 3, -11, -inf, -11
CU7BOC, R, 4, 0, -inf, -11
328VUA, B, 3, -11, -inf, -11
DDQ3KD, B, 4, 1, -inf, -11
328VUA, B, 3, -11, -inf, -11
FOQ0EN, B, 4, 1, -inf, -11
328VUA, B, 3, -11, -inf, -11
FOQ0EN, R, 4, 0, -inf, -11
328VUA, B, 3, -11, -inf, -11
LHSFBP, G, 4, -11, -inf, -11
