6CQPFB, G, 0, -inf, -inf, inf
RUNAZU, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
RZ95L2, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
RZ95L2, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
86JV6B, R, 2, -18, -18, -7
5AYWAI, R, 3, inf, -18, -7
CVLHGR, G, 4, -20, -18, -7
5AYWAI, R, 3, -20, -18, -7
86JV6B, R, 2, -18, -18, -7
CVLHGR, G, 3, inf, -18, -7
5AYWAI, G, 4, -17, -18, -7
CVLHGR, G, 3, -17, -18, -17
5AYWAI, R, 4, -18, -18, -17
CVLHGR, G, 3, -18, -18, -17
86JV6B, R, 2, -18, -18, -7
DDYDZ4, G, 3, inf, -18, -7
5AYWAI, G, 4, -17, -18, -7
DDYDZ4, G, 3, -17, -18, -17
5AYWAI, R, 4, -18, -18, -17
DDYDZ4, G, 3, -18, -18, -17
86JV6B, R, 2, -18, -18, -7
DDYDZ4, R, 3, inf, -18, -7
5AYWAI, G, 4, -20, -18, -7
DDYDZ4, R, 3, -20, -18, -7
86JV6B, R, 2, -18, -18, -7
ELP9SJ, B, 3, inf, -18, -7
2CEW7D, G, 4, -6, -18, -7
ELP9SJ, B, 3, -6, -18, -7
2CEW7D, R, 4, -7, -18, -7
ELP9SJ, B, 3, -7, -18, -7
5AYWAI, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
5AYWAI, R, 4, -7, -18, -7
ELP9SJ, B, 3, -7, -18, -7
7WSMSQ, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
7WSMSQ, R, 4, -7, -18, -7
ELP9SJ, B, 3, -7, -18, -7
CVLHGR, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
DDYDZ4, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
DDYDZ4, R, 4, -7, -18, -7
ELP9SJ, B, 3, -7, -18, -7
IXY4HG, B, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
IXY4HG, R, 4, -7, -18, -7
ELP9SJ, B, 3, -7, -18, -7
JXYE8L, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
R6J76S, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
R6J76S, R, 4, -7, -18, -7
ELP9SJ, B, 3, -7, -18, -7
RDPCLS, B, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
RDPCLS, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
RUNAZU, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
RZ95L2, B, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
RZ95L2, G, 4, -6, -18, -7
ELP9SJ, B, 3, -7, -18, -7
86JV6B, R, 2, -7, -18, -7
2ZRX9U, B, 1, -7, -inf, -7
CVLHGR, G, 2, -inf, -inf, -7
5AYWAI, G, 3, inf, -inf, -7
86JV6B, B, 4, -16, -inf, -7
5AYWAI, G, 3, -16, -inf, -16
86JV6B, R, 4, -17, -inf, -16
5AYWAI, G, 3, -17, -inf, -17
DDYDZ4, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
ELP9SJ, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
ELP9SJ, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
IXY4HG, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
IXY4HG, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
JXYE8L, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
JXYE8L, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
R6J76S, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
R6J76S, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RUNAZU, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RZ95L2, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RZ95L2, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
CVLHGR, G, 2, -17, -17, -7
5AYWAI, R, 3, inf, -17, -7
86JV6B, B, 4, -19, -17, -7
5AYWAI, R, 3, -19, -17, -7
CVLHGR, G, 2, -17, -17, -7
86JV6B, B, 3, inf, -17, -7
5AYWAI, G, 4, -5, -17, -7
86JV6B, B, 3, -5, -17, -7
5AYWAI, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
DDYDZ4, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
ELP9SJ, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
IXY4HG, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
IXY4HG, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
JXYE8L, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
JXYE8L, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
R6J76S, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
R6J76S, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
RDPCLS, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RDPCLS, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
RUNAZU, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RUNAZU, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RZ95L2, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RZ95L2, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
CVLHGR, G, 2, -6, -17, -7
2ZRX9U, B, 1, -7, -inf, -7
DDYDZ4, G, 2, -inf, -inf, -7
5AYWAI, G, 3, inf, -inf, -7
86JV6B, B, 4, -16, -inf, -7
5AYWAI, G, 3, -16, -inf, -16
86JV6B, R, 4, -17, -inf, -16
5AYWAI, G, 3, -17, -inf, -17
9EXWPT, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
9EXWPT, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
IXY4HG, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
IXY4HG, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
J37AP6, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
J37AP6, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
JXYE8L, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
JXYE8L, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
L8DRCP, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
L8DRCP, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
R6J76S, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
R6J76S, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RUNAZU, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RZ95L2, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RZ95L2, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
DDYDZ4, G, 2, -17, -17, -7
5AYWAI, R, 3, inf, -17, -7
86JV6B, B, 4, -19, -17, -7
5AYWAI, R, 3, -19, -17, -7
DDYDZ4, G, 2, -17, -17, -7
86JV6B, B, 3, inf, -17, -7
5AYWAI, G, 4, -5, -17, -7
86JV6B, B, 3, -5, -17, -7
5AYWAI, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
9EXWPT, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
9EXWPT, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
ELP9SJ, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
ELP9SJ, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
IXY4HG, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
IXY4HG, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
J37AP6, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
J37AP6, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
JXYE8L, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
JXYE8L, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
L8DRCP, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
L8DRCP, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
R6J76S, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
R6J76S, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
RDPCLS, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RDPCLS, R, 4, -6, -17, -7
86JV6B, B, 3, -6, -17, -7
RUNAZU, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RUNAZU, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RZ95L2, B, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
RZ95L2, G, 4, -5, -17, -7
86JV6B, B, 3, -6, -17, -7
DDYDZ4, G, 2, -6, -17, -7
2ZRX9U, B, 1, -7, -inf, -7
DDYDZ4, R, 2, -inf, -inf, -7
5AYWAI, G, 3, inf, -inf, -7
86JV6B, B, 4, -17, -inf, -7
5AYWAI, G, 3, -17, -inf, -17
86JV6B, R, 4, -18, -inf, -17
5AYWAI, G, 3, -18, -inf, -18
9EXWPT, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
9EXWPT, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
CVLHGR, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
IXY4HG, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
J37AP6, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
J37AP6, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
JXYE8L, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
JXYE8L, R, 4, -18, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
L8DRCP, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
L8DRCP, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
R6J76S, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
R6J76S, R, 4, -18, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
RUNAZU, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
RZ95L2, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
RZ95L2, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
DDYDZ4, R, 2, -18, -18, -7
5AYWAI, R, 3, inf, -18, -7
86JV6B, B, 4, -20, -18, -7
5AYWAI, R, 3, -20, -18, -7
DDYDZ4, R, 2, -18, -18, -7
86JV6B, B, 3, inf, -18, -7
5AYWAI, G, 4, -6, -18, -7
86JV6B, B, 3, -6, -18, -7
5AYWAI, R, 4, -7, -18, -7
86JV6B, B, 3, -7, -18, -7
9EXWPT, B, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
9EXWPT, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
CVLHGR, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
ELP9SJ, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
ELP9SJ, R, 4, -7, -18, -7
86JV6B, B, 3, -7, -18, -7
IXY4HG, B, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
J37AP6, B, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
J37AP6, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
JXYE8L, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
JXYE8L, R, 4, -7, -18, -7
86JV6B, B, 3, -7, -18, -7
L8DRCP, B, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
L8DRCP, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
R6J76S, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
R6J76S, R, 4, -7, -18, -7
86JV6B, B, 3, -7, -18, -7
RDPCLS, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
RDPCLS, R, 4, -7, -18, -7
86JV6B, B, 3, -7, -18, -7
RUNAZU, B, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
RUNAZU, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
RZ95L2, B, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
RZ95L2, G, 4, -6, -18, -7
86JV6B, B, 3, -7, -18, -7
DDYDZ4, R, 2, -7, -18, -7
2ZRX9U, B, 1, -7, -inf, -7
IXY4HG, B, 2, -inf, -inf, -7
43U9M0, G, 3, inf, -inf, -7
5AYWAI, G, 4, -16, -inf, -7
43U9M0, G, 3, -16, -inf, -16
5AYWAI, R, 4, -17, -inf, -16
43U9M0, G, 3, -17, -inf, -17
86JV6B, B, 4, -16, -inf, -17
43U9M0, G, 3, -17, -inf, -17
86JV6B, R, 4, -17, -inf, -17
43U9M0, G, 3, -17, -inf, -17
CVLHGR, G, 4, -16, -inf, -17
43U9M0, G, 3, -17, -inf, -17
DDYDZ4, G, 4, -16, -inf, -17
43U9M0, G, 3, -17, -inf, -17
DDYDZ4, R, 4, -17, -inf, -17
