5FE1OE, G, 0, -inf, -inf, inf
QPIXA6, P, 3, 5, 4, 5
4X7F6M, R, 4, 7, 4, 5
QPIXA6, P, 3, 5, 4, 5
4X7F6M, Y, 4, 1, 4, 5
QPIXA6, P, 3, 1, 4, 5
79JY8A, G, 2, 4, 4, inf
QPIXA6, R, 3, inf, 4, inf
4X7F6M, B, 4, -2, 4, inf
QPIXA6, R, 3, -2, 4, inf
79JY8A, G, 2, 4, 4, inf
QPIXA6, Y, 3, inf, 4, inf
4X7F6M, B, 4, 4, 4, inf
QPIXA6, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
SSLKLM, B, 3, inf, 4, inf
1OZ1WH, G, 4, 12, 4, inf
SSLKLM, B, 3, 12, 4, 12
1OZ1WH, P, 4, 8, 4, 12
SSLKLM, B, 3, 8, 4, 8
1OZ1WH, R, 4, 10, 4, 8
SSLKLM, B, 3, 8, 4, 8
1OZ1WH, Y, 4, 4, 4, 8
SSLKLM, B, 3, 4, 4, 8
79JY8A, G, 2, 4, 4, inf
SSLKLM, G, 3, inf, 4, inf
1OZ1WH, B, 4, 3, 4, inf
SSLKLM, G, 3, 3, 4, inf
79JY8A, G, 2, 4, 4, inf
SSLKLM, P, 3, inf, 4, inf
1OZ1WH, B, 4, 10, 4, inf
SSLKLM, P, 3, 10, 4, 10
1OZ1WH, G, 4, 9, 4, 10
SSLKLM, P, 3, 9, 4, 9
1OZ1WH, R, 4, 7, 4, 9
SSLKLM, P, 3, 7, 4, 7
1OZ1WH, Y, 4, 1, 4, 7
SSLKLM, P, 3, 1, 4, 7
79JY8A, G, 2, 4, 4, inf
SSLKLM, Y, 3, inf, 4, inf
1OZ1WH, B, 4, 4, 4, inf
SSLKLM, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
UB9JUO, B, 3, inf, 4, inf
4X7F6M, B, 4, 13, 4, inf
UB9JUO, B, 3, 13, 4, 13
4X7F6M, P, 4, 8, 4, 13
UB9JUO, B, 3, 8, 4, 8
4X7F6M, R, 4, 10, 4, 8
UB9JUO, B, 3, 8, 4, 8
4X7F6M, Y, 4, 4, 4, 8
UB9JUO, B, 3, 4, 4, 8
79JY8A, G, 2, 4, 4, inf
UB9JUO, P, 3, inf, 4, inf
4X7F6M, B, 4, 10, 4, inf
UB9JUO, P, 3, 10, 4, 10
4X7F6M, P, 4, 5, 4, 10
UB9JUO, P, 3, 5, 4, 5
4X7F6M, R, 4, 7, 4, 5
UB9JUO, P, 3, 5, 4, 5
4X7F6M, Y, 4, 1, 4, 5
UB9JUO, P, 3, 1, 4, 5
79JY8A, G, 2, 4, 4, inf
UB9JUO, Y, 3, inf, 4, inf
4X7F6M, B, 4, 4, 4, inf
UB9JUO, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
YNARY8, B, 3, inf, 4, inf
4X7F6M, B, 4, 13, 4, inf
YNARY8, B, 3, 13, 4, 13
4X7F6M, P, 4, 8, 4, 13
YNARY8, B, 3, 8, 4, 8
4X7F6M, R, 4, 10, 4, 8
YNARY8, B, 3, 8, 4, 8
4X7F6M, Y, 4, 4, 4, 8
YNARY8, B, 3, 4, 4, 8
79JY8A, G, 2, 4, 4, inf
YNARY8, P, 3, inf, 4, inf
4X7F6M, B, 4, 10, 4, inf
YNARY8, P, 3, 10, 4, 10
4X7F6M, P, 4, 5, 4, 10
YNARY8, P, 3, 5, 4, 5
4X7F6M, R, 4, 7, 4, 5
YNARY8, P, 3, 5, 4, 5
4X7F6M, Y, 4, 1, 4, 5
YNARY8, P, 3, 1, 4, 5
79JY8A, G, 2, 4, 4, inf
YNARY8, R, 3, inf, 4, inf
4X7F6M, B, 4, -2, 4, inf
YNARY8, R, 3, -2, 4, inf
79JY8A, G, 2, 4, 4, inf
YNARY8, Y, 3, inf, 4, inf
4X7F6M, B, 4, 4, 4, inf
YNARY8, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
ZQLVDY, B, 3, inf, 4, inf
4X7F6M, B, 4, 13, 4, inf
ZQLVDY, B, 3, 13, 4, 13
4X7F6M, P, 4, 8, 4, 13
ZQLVDY, B, 3, 8, 4, 8
4X7F6M, R, 4, 10, 4, 8
ZQLVDY, B, 3, 8, 4, 8
4X7F6M, Y, 4, 4, 4, 8
ZQLVDY, B, 3, 4, 4, 8
79JY8A, G, 2, 4, 4, inf
ZQLVDY, P, 3, inf, 4, inf
4X7F6M, B, 4, 10, 4, inf
ZQLVDY, P, 3, 10, 4, 10
4X7F6M, P, 4, 5, 4, 10
ZQLVDY, P, 3, 5, 4, 5
4X7F6M, R, 4, 7, 4, 5
ZQLVDY, P, 3, 5, 4, 5
4X7F6M, Y, 4, 1, 4, 5
ZQLVDY, P, 3, 1, 4, 5
79JY8A, G, 2, 4, 4, inf
ZQLVDY, Y, 3, inf, 4, inf
4X7F6M, B, 4, 4, 4, inf
ZQLVDY, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
M7EGKH, B, 1, 4, -inf, 4
79JY8A, P, 2, -inf, -inf, 4
4X7F6M, B, 3, inf, -inf, 4
96Y3RZ, G, 4, 8, -inf, 4
4X7F6M, B, 3, 8, -inf, 4
96Y3RZ, P, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
96Y3RZ, R, 4, 6, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
96Y3RZ, Y, 4, 0, -inf, 4
4X7F6M, B, 3, 0, -inf, 0
9708QA, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
9708QA, P, 4, 4, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
9708QA, R, 4, 6, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
9708QA, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
APNFUQ, B, 4, 9, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
APNFUQ, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
APNFUQ, R, 4, 6, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
APNFUQ, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
FMCQUW, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
FMCQUW, P, 4, 4, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
FMCQUW, R, 4, 6, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
FMCQUW, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
M5TTVM, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
M5TTVM, P, 4, 4, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
M5TTVM, R, 4, 6, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
M5TTVM, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
QPIXA6, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
QPIXA6, P, 4, 4, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
QPIXA6, R, 4, 6, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
QPIXA6, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
SSLKLM, B, 4, 9, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
SSLKLM, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
SSLKLM, P, 4, 4, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
SSLKLM, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
UB9JUO, B, 4, 9, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
UB9JUO, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
YNARY8, B, 4, 9, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
YNARY8, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
YNARY8, R, 4, 6, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
YNARY8, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
ZQLVDY, B, 4, 9, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
ZQLVDY, G, 4, 8, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
ZQLVDY, Y, 4, 0, -inf, 0
4X7F6M, B, 3, 0, -inf, 0
79JY8A, P, 2, 0, 0, 4
4X7F6M, G, 3, inf, 0, 4
96Y3RZ, G, 4, -2, 0, 4
4X7F6M, G, 3, -2, 0, 4
79JY8A, P, 2, 0, 0, 4
4X7F6M, R, 3, inf, 0, 4
96Y3RZ, G, 4, -7, 0, 4
4X7F6M, R, 3, -7, 0, 4
79JY8A, P, 2, 0, 0, 4
4X7F6M, Y, 3, inf, 0, 4
96Y3RZ, G, 4, -1, 0, 4
4X7F6M, Y, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
96Y3RZ, G, 3, inf, 0, 4
1OZ1WH, B, 4, -1, 0, 4
96Y3RZ, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
96Y3RZ, P, 3, inf, 0, 4
1OZ1WH, B, 4, 6, 0, 4
96Y3RZ, P, 3, 6, 0, 4
1OZ1WH, G, 4, 5, 0, 4
96Y3RZ, P, 3, 5, 0, 4
1OZ1WH, R, 4, 3, 0, 4
96Y3RZ, P, 3, 3, 0, 3
1OZ1WH, Y, 4, -3, 0, 3
96Y3RZ, P, 3, -3, 0, 3
79JY8A, P, 2, 0, 0, 4
96Y3RZ, R, 3, inf, 0, 4
1OZ1WH, B, 4, -6, 0, 4
96Y3RZ, R, 3, -6, 0, 4
79JY8A, P, 2, 0, 0, 4
96Y3RZ, Y, 3, inf, 0, 4
1OZ1WH, B, 4, 0, 0, 4
96Y3RZ, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
9708QA, G, 3, inf, 0, 4
4X7F6M, B, 4, -1, 0, 4
9708QA, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
9708QA, P, 3, inf, 0, 4
4X7F6M, B, 4, 6, 0, 4
9708QA, P, 3, 6, 0, 4
4X7F6M, G, 4, 5, 0, 4
9708QA, P, 3, 5, 0, 4
4X7F6M, R, 4, 3, 0, 4
9708QA, P, 3, 3, 0, 3
4X7F6M, Y, 4, -3, 0, 3
9708QA, P, 3, -3, 0, 3
79JY8A, P, 2, 0, 0, 4
9708QA, R, 3, inf, 0, 4
4X7F6M, B, 4, -6, 0, 4
9708QA, R, 3, -6, 0, 4
79JY8A, P, 2, 0, 0, 4
9708QA, Y, 3, inf, 0, 4
4X7F6M, B, 4, 0, 0, 4
9708QA, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
APNFUQ, B, 3, inf, 0, 4
4X7F6M, B, 4, 9, 0, 4
APNFUQ, B, 3, 9, 0, 4
4X7F6M, G, 4, 8, 0, 4
APNFUQ, B, 3, 8, 0, 4
4X7F6M, R, 4, 6, 0, 4
APNFUQ, B, 3, 6, 0, 4
4X7F6M, Y, 4, 0, 0, 4
APNFUQ, B, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
APNFUQ, G, 3, inf, 0, 4
4X7F6M, B, 4, -1, 0, 4
APNFUQ, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
APNFUQ, R, 3, inf, 0, 4
4X7F6M, B, 4, -6, 0, 4
APNFUQ, R, 3, -6, 0, 4
79JY8A, P, 2, 0, 0, 4
APNFUQ, Y, 3, inf, 0, 4
4X7F6M, B, 4, 0, 0, 4
APNFUQ, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
FMCQUW, G, 3, inf, 0, 4
1OZ1WH, B, 4, -1, 0, 4
FMCQUW, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
FMCQUW, P, 3, inf, 0, 4
1OZ1WH, B, 4, 6, 0, 4
FMCQUW, P, 3, 6, 0, 4
1OZ1WH, G, 4, 5, 0, 4
FMCQUW, P, 3, 5, 0, 4
1OZ1WH, R, 4, 3, 0, 4
FMCQUW, P, 3, 3, 0, 3
1OZ1WH, Y, 4, -3, 0, 3
FMCQUW, P, 3, -3, 0, 3
79JY8A, P, 2, 0, 0, 4
FMCQUW, R, 3, inf, 0, 4
1OZ1WH, B, 4, -6, 0, 4
FMCQUW, R, 3, -6, 0, 4
79JY8A, P, 2, 0, 0, 4
FMCQUW, Y, 3, inf, 0, 4
1OZ1WH, B, 4, 0, 0, 4
FMCQUW, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
QPIXA6, G, 3, inf, 0, 4
4X7F6M, B, 4, -1, 0, 4
QPIXA6, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
QPIXA6, P, 3, inf, 0, 4
4X7F6M, B, 4, 6, 0, 4
QPIXA6, P, 3, 6, 0, 4
4X7F6M, G, 4, 5, 0, 4
QPIXA6, P, 3, 5, 0, 4
4X7F6M, R, 4, 3, 0, 4
QPIXA6, P, 3, 3, 0, 3
4X7F6M, Y, 4, -3, 0, 3
QPIXA6, P, 3, -3, 0, 3
79JY8A, P, 2, 0, 0, 4
QPIXA6, R, 3, inf, 0, 4
4X7F6M, B, 4, -6, 0, 4
QPIXA6, R, 3, -6, 0, 4
79JY8A, P, 2, 0, 0, 4
QPIXA6, Y, 3, inf, 0, 4
4X7F6M, B, 4, 0, 0, 4
QPIXA6, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
SSLKLM, B, 3, inf, 0, 4
1OZ1WH, G, 4, 8, 0, 4
SSLKLM, B, 3, 8, 0, 4
1OZ1WH, P, 4, 4, 0, 4
SSLKLM, B, 3, 4, 0, 4
1OZ1WH, R, 4, 6, 0, 4
SSLKLM, B, 3, 4, 0, 4
1OZ1WH, Y, 4, 0, 0, 4
SSLKLM, B, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
SSLKLM, G, 3, inf, 0, 4
1OZ1WH, B, 4, -1, 0, 4
SSLKLM, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
SSLKLM, P, 3, inf, 0, 4
1OZ1WH, B, 4, 6, 0, 4
SSLKLM, P, 3, 6, 0, 4
1OZ1WH, G, 4, 5, 0, 4
SSLKLM, P, 3, 5, 0, 4
1OZ1WH, R, 4, 3, 0, 4
SSLKLM, P, 3, 3, 0, 3
1OZ1WH, Y, 4, -3, 0, 3
SSLKLM, P, 3, -3, 0, 3
79JY8A, P, 2, 0, 0, 4
SSLKLM, Y, 3, inf, 0, 4
1OZ1WH, B, 4, 0, 0, 4
SSLKLM, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
UB9JUO, B, 3, inf, 0, 4
4X7F6M, B, 4, 9, 0, 4
UB9JUO, B, 3, 9, 0, 4
4X7F6M, G, 4, 8, 0, 4
UB9JUO, B, 3, 8, 0, 4
4X7F6M, R, 4, 6, 0, 4
UB9JUO, B, 3, 6, 0, 4
4X7F6M, Y, 4, 0, 0, 4
UB9JUO, B, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
UB9JUO, Y, 3, inf, 0, 4
4X7F6M, B, 4, 0, 0, 4
UB9JUO, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
YNARY8, B, 3, inf, 0, 4
4X7F6M, B, 4, 9, 0, 4
YNARY8, B, 3, 9, 0, 4
4X7F6M, G, 4, 8, 0, 4
YNARY8, B, 3, 8, 0, 4
4X7F6M, R, 4, 6, 0, 4
YNARY8, B, 3, 6, 0, 4
4X7F6M, Y, 4, 0, 0, 4
YNARY8, B, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
YNARY8, G, 3, inf, 0, 4
4X7F6M, B, 4, -1, 0, 4
YNARY8, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
YNARY8, R, 3, inf, 0, 4
4X7F6M, B, 4, -6, 0, 4
YNARY8, R, 3, -6, 0, 4
79JY8A, P, 2, 0, 0, 4
YNARY8, Y, 3, inf, 0, 4
4X7F6M, B, 4, 0, 0, 4
YNARY8, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
ZQLVDY, B, 3, inf, 0, 4
4X7F6M, B, 4, 9, 0, 4
ZQLVDY, B, 3, 9, 0, 4
4X7F6M, G, 4, 8, 0, 4
ZQLVDY, B, 3, 8, 0, 4
4X7F6M, R, 4, 6, 0, 4
ZQLVDY, B, 3, 6, 0, 4
4X7F6M, Y, 4, 0, 0, 4
ZQLVDY, B, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
ZQLVDY, G, 3, inf, 0, 4
4X7F6M, B, 4, -1, 0, 4
ZQLVDY, G, 3, -1, 0, 4
79JY8A, P, 2, 0, 0, 4
ZQLVDY, Y, 3, inf, 0, 4
4X7F6M, B, 4, 0, 0, 4
ZQLVDY, Y, 3, 0, 0, 4
79JY8A, P, 2, 0, 0, 4
M7EGKH, B, 1, 0, -inf, 0
79JY8A, R, 2, -inf, -inf, 0
4X7F6M, B, 3, inf, -inf, 0
96Y3RZ, G, 4, 10, -inf, 0
4X7F6M, B, 3, 10, -inf, 0
96Y3RZ, P, 4, 6, -inf, 0
4X7F6M, B, 3, 6, -inf, 0
96Y3RZ, R, 4, 8, -inf, 0
4X7F6M, B, 3, 6, -inf, 0
96Y3RZ, Y, 4, 2, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
9708QA, G, 4, 10, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
9708QA, P, 4, 6, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
9708QA, R, 4, 8, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
9708QA, Y, 4, 2, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
APNFUQ, B, 4, 11, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
APNFUQ, G, 4, 10, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
APNFUQ, P, 4, 6, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
APNFUQ, Y, 4, 2, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
FMCQUW, G, 4, 10, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
FMCQUW, P, 4, 6, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
FMCQUW, R, 4, 8, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
FMCQUW, Y, 4, 2, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
M5TTVM, G, 4, 10, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
M5TTVM, P, 4, 6, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
M5TTVM, R, 4, 8, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
M5TTVM, Y, 4, 2, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
QPIXA6, G, 4, 10, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
QPIXA6, P, 4, 6, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
QPIXA6, R, 4, 8, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
QPIXA6, Y, 4, 2, -inf, 0
4X7F6M, B, 3, 2, -inf, 0
SSLKLM, B, 4, 11, -inf, 0
