6XIYSR, G, 0, -inf, -inf, inf
9NVS33, B, 4, 0, -inf, -16
3WSZG0, G, 3, -5, -inf, -16
9NVS33, R, 4, -5, -inf, -16
3WSZG0, G, 3, -5, -inf, -16
HUGCH7, B, 4, 0, -inf, -16
3WSZG0, G, 3, -5, -inf, -16
HUGCH7, G, 4, -11, -inf, -16
3WSZG0, G, 3, -11, -inf, -16
K2UCHL, B, 4, 0, -inf, -16
3WSZG0, G, 3, -11, -inf, -16
K2UCHL, G, 4, -11, -inf, -16
3WSZG0, G, 3, -11, -inf, -16
K43M77, B, 4, 0, -inf, -16
3WSZG0, G, 3, -11, -inf, -16
K43M77, R, 4, -5, -inf, -16
3WSZG0, G, 3, -11, -inf, -16
MIAG3R, B, 4, 0, -inf, -16
3WSZG0, G, 3, -11, -inf, -16
MIAG3R, R, 4, -5, -inf, -16
3WSZG0, G, 3, -11, -inf, -16
F4P832, B, 2, -11, -inf, -16
9KY7VW, B, 1, -16, -inf, -16
F4P832, G, 2, -inf, -inf, -16
3WSZG0, B, 3, inf, -inf, -16
2GZ2EK, G, 4, -33, -inf, -16
3WSZG0, B, 3, -33, -inf, -33
2GZ2EK, R, 4, -27, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
9NVS33, B, 4, -22, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
9NVS33, R, 4, -27, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
HUGCH7, B, 4, -22, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
HUGCH7, G, 4, -33, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
K2UCHL, B, 4, -22, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
K2UCHL, G, 4, -33, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
K43M77, G, 4, -33, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
K43M77, R, 4, -27, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
MIAG3R, G, 4, -33, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
MIAG3R, R, 4, -27, -inf, -33
3WSZG0, B, 3, -33, -inf, -33
F4P832, G, 2, -33, -33, -16
3WSZG0, R, 3, inf, -33, -16
2GZ2EK, B, 4, -22, -33, -16
3WSZG0, R, 3, -22, -33, -22
2GZ2EK, G, 4, -33, -33, -22
3WSZG0, R, 3, -33, -33, -22
F4P832, G, 2, -33, -33, -16
9NVS33, B, 3, inf, -33, -16
2GZ2EK, G, 4, -33, -33, -16
9NVS33, B, 3, -33, -33, -16
F4P832, G, 2, -33, -33, -16
9NVS33, R, 3, inf, -33, -16
2GZ2EK, B, 4, -22, -33, -16
9NVS33, R, 3, -22, -33, -22
2GZ2EK, G, 4, -33, -33, -22
9NVS33, R, 3, -33, -33, -22
F4P832, G, 2, -33, -33, -16
HUGCH7, B, 3, inf, -33, -16
3WSZG0, B, 4, -22, -33, -16
HUGCH7, B, 3, -22, -33, -22
3WSZG0, R, 4, -27, -33, -22
HUGCH7, B, 3, -27, -33, -27
9NVS33, B, 4, -22, -33, -27
HUGCH7, B, 3, -27, -33, -27
9NVS33, R, 4, -27, -33, -27
HUGCH7, B, 3, -27, -33, -27
K2UCHL, G, 4, -33, -33, -27
HUGCH7, B, 3, -33, -33, -27
F4P832, G, 2, -33, -33, -16
HUGCH7, G, 3, inf, -33, -16
3WSZG0, B, 4, -11, -33, -16
HUGCH7, G, 3, -11, -33, -16
3WSZG0, R, 4, -16, -33, -16
HUGCH7, G, 3, -16, -33, -16
9NVS33, B, 4, -11, -33, -16
HUGCH7, G, 3, -16, -33, -16
9NVS33, R, 4, -16, -33, -16
HUGCH7, G, 3, -16, -33, -16
K2UCHL, B, 4, -11, -33, -16
HUGCH7, G, 3, -16, -33, -16
MIAG3R, B, 4, -11, -33, -16
HUGCH7, G, 3, -16, -33, -16
MIAG3R, R, 4, -16, -33, -16
HUGCH7, G, 3, -16, -33, -16
Q0OK79, B, 4, -11, -33, -16
HUGCH7, G, 3, -16, -33, -16
Q0OK79, R, 4, -16, -33, -16
HUGCH7, G, 3, -16, -33, -16
X0OYLO, B, 4, -11, -33, -16
HUGCH7, G, 3, -16, -33, -16
X0OYLO, R, 4, -16, -33, -16
HUGCH7, G, 3, -16, -33, -16
F4P832, G, 2, -16, -33, -16
9KY7VW, B, 1, -16, -inf, -16
HUGCH7, B, 2, -inf, -inf, -16
9NVS33, B, 3, inf, -inf, -16
2GZ2EK, G, 4, -22, -inf, -16
9NVS33, B, 3, -22, -inf, -22
2GZ2EK, R, 4, -16, -inf, -22
9NVS33, B, 3, -22, -inf, -22
F4P832, B, 4, -11, -inf, -22
9NVS33, B, 3, -22, -inf, -22
F4P832, G, 4, -22, -inf, -22
9NVS33, B, 3, -22, -inf, -22
K2UCHL, G, 4, -22, -inf, -22
9NVS33, B, 3, -22, -inf, -22
K43M77, G, 4, -22, -inf, -22
9NVS33, B, 3, -22, -inf, -22
K43M77, R, 4, -16, -inf, -22
9NVS33, B, 3, -22, -inf, -22
MIAG3R, G, 4, -22, -inf, -22
9NVS33, B, 3, -22, -inf, -22
MIAG3R, R, 4, -16, -inf, -22
9NVS33, B, 3, -22, -inf, -22
Q0OK79, G, 4, -22, -inf, -22
9NVS33, B, 3, -22, -inf, -22
Q0OK79, R, 4, -16, -inf, -22
9NVS33, B, 3, -22, -inf, -22
X0OYLO, G, 4, -22, -inf, -22
9NVS33, B, 3, -22, -inf, -22
X0OYLO, R, 4, -16, -inf, -22
9NVS33, B, 3, -22, -inf, -22
ZZXXNN, G, 4, -22, -inf, -22
9NVS33, B, 3, -22, -inf, -22
ZZXXNN, R, 4, -16, -inf, -22
9NVS33, B, 3, -22, -inf, -22
HUGCH7, B, 2, -22, -22, -16
9NVS33, R, 3, inf, -22, -16
2GZ2EK, B, 4, -11, -22, -16
9NVS33, R, 3, -11, -22, -16
2GZ2EK, G, 4, -22, -22, -16
9NVS33, R, 3, -22, -22, -16
HUGCH7, B, 2, -22, -22, -16
F4P832, B, 3, inf, -22, -16
3WSZG0, G, 4, -22, -22, -16
F4P832, B, 3, -22, -22, -16
HUGCH7, B, 2, -22, -22, -16
F4P832, G, 3, inf, -22, -16
3WSZG0, B, 4, 0, -22, -16
F4P832, G, 3, 0, -22, -16
3WSZG0, R, 4, -5, -22, -16
F4P832, G, 3, -5, -22, -16
9NVS33, B, 4, 0, -22, -16
F4P832, G, 3, -5, -22, -16
9NVS33, R, 4, -5, -22, -16
F4P832, G, 3, -5, -22, -16
K2UCHL, G, 4, -11, -22, -16
F4P832, G, 3, -11, -22, -16
MIAG3R, G, 4, -11, -22, -16
F4P832, G, 3, -11, -22, -16
MIAG3R, R, 4, -5, -22, -16
F4P832, G, 3, -11, -22, -16
Q0OK79, G, 4, -11, -22, -16
F4P832, G, 3, -11, -22, -16
Q0OK79, R, 4, -5, -22, -16
F4P832, G, 3, -11, -22, -16
X0OYLO, G, 4, -11, -22, -16
F4P832, G, 3, -11, -22, -16
X0OYLO, R, 4, -5, -22, -16
F4P832, G, 3, -11, -22, -16
HUGCH7, B, 2, -11, -22, -16
9KY7VW, B, 1, -16, -inf, -16
HUGCH7, G, 2, -inf, -inf, -16
9NVS33, B, 3, inf, -inf, -16
2GZ2EK, G, 4, -33, -inf, -16
9NVS33, B, 3, -33, -inf, -33
2GZ2EK, R, 4, -27, -inf, -33
9NVS33, B, 3, -33, -inf, -33
F4P832, B, 4, -22, -inf, -33
9NVS33, B, 3, -33, -inf, -33
F4P832, G, 4, -33, -inf, -33
9NVS33, B, 3, -33, -inf, -33
K2UCHL, B, 4, -22, -inf, -33
9NVS33, B, 3, -33, -inf, -33
K43M77, G, 4, -33, -inf, -33
9NVS33, B, 3, -33, -inf, -33
K43M77, R, 4, -27, -inf, -33
9NVS33, B, 3, -33, -inf, -33
MIAG3R, B, 4, -22, -inf, -33
9NVS33, B, 3, -33, -inf, -33
MIAG3R, R, 4, -27, -inf, -33
9NVS33, B, 3, -33, -inf, -33
Q0OK79, B, 4, -22, -inf, -33
9NVS33, B, 3, -33, -inf, -33
Q0OK79, R, 4, -27, -inf, -33
9NVS33, B, 3, -33, -inf, -33
X0OYLO, B, 4, -22, -inf, -33
9NVS33, B, 3, -33, -inf, -33
X0OYLO, R, 4, -27, -inf, -33
9NVS33, B, 3, -33, -inf, -33
ZZXXNN, G, 4, -33, -inf, -33
9NVS33, B, 3, -33, -inf, -33
ZZXXNN, R, 4, -27, -inf, -33
9NVS33, B, 3, -33, -inf, -33
HUGCH7, G, 2, -33, -33, -16
9NVS33, R, 3, inf, -33, -16
2GZ2EK, B, 4, -22, -33, -16
9NVS33, R, 3, -22, -33, -22
2GZ2EK, G, 4, -33, -33, -22
9NVS33, R, 3, -33, -33, -22
HUGCH7, G, 2, -33, -33, -16
F4P832, B, 3, inf, -33, -16
3WSZG0, G, 4, -33, -33, -16
F4P832, B, 3, -33, -33, -16
HUGCH7, G, 2, -33, -33, -16
F4P832, G, 3, inf, -33, -16
3WSZG0, B, 4, -11, -33, -16
F4P832, G, 3, -11, -33, -16
3WSZG0, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
9NVS33, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
9NVS33, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
K2UCHL, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
MIAG3R, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
MIAG3R, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
Q0OK79, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
Q0OK79, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
X0OYLO, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
X0OYLO, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
HUGCH7, G, 2, -16, -33, -16
9KY7VW, B, 1, -16, -inf, -16
K2UCHL, B, 2, -inf, -inf, -16
5T5FB6, G, 3, inf, -inf, -16
74W1GW, B, 4, 0, -inf, -16
5T5FB6, G, 3, 0, -inf, -16
74W1GW, R, 4, -5, -inf, -16
5T5FB6, G, 3, -5, -inf, -16
9NVS33, B, 4, 0, -inf, -16
5T5FB6, G, 3, -5, -inf, -16
9NVS33, R, 4, -5, -inf, -16
5T5FB6, G, 3, -5, -inf, -16
F4P832, B, 4, 0, -inf, -16
5T5FB6, G, 3, -5, -inf, -16
F4P832, G, 4, -11, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
HUGCH7, G, 4, -11, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
K43M77, R, 4, -5, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
QU7WBN, B, 4, 0, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
QU7WBN, R, 4, -5, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
X0OYLO, B, 4, 0, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
X0OYLO, R, 4, -5, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
ZZXXNN, G, 4, -11, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
ZZXXNN, R, 4, -5, -inf, -16
5T5FB6, G, 3, -11, -inf, -16
K2UCHL, B, 2, -11, -inf, -16
9KY7VW, B, 1, -16, -inf, -16
K2UCHL, G, 2, -inf, -inf, -16
5T5FB6, B, 3, inf, -inf, -16
74W1GW, G, 4, -33, -inf, -16
5T5FB6, B, 3, -33, -inf, -33
74W1GW, R, 4, -27, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
9NVS33, B, 4, -22, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
9NVS33, R, 4, -27, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
F4P832, B, 4, -22, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
F4P832, G, 4, -33, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
HUGCH7, B, 4, -22, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
K43M77, R, 4, -27, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
QU7WBN, G, 4, -33, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
QU7WBN, R, 4, -27, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
X0OYLO, G, 4, -33, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
X0OYLO, R, 4, -27, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
ZZXXNN, B, 4, -22, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
ZZXXNN, R, 4, -27, -inf, -33
5T5FB6, B, 3, -33, -inf, -33
K2UCHL, G, 2, -33, -33, -16
5T5FB6, R, 3, inf, -33, -16
74W1GW, B, 4, -22, -33, -16
5T5FB6, R, 3, -22, -33, -22
74W1GW, G, 4, -33, -33, -22
5T5FB6, R, 3, -33, -33, -22
K2UCHL, G, 2, -33, -33, -16
9NVS33, B, 3, inf, -33, -16
2GZ2EK, G, 4, -33, -33, -16
9NVS33, B, 3, -33, -33, -16
K2UCHL, G, 2, -33, -33, -16
9NVS33, R, 3, inf, -33, -16
2GZ2EK, B, 4, -22, -33, -16
9NVS33, R, 3, -22, -33, -22
2GZ2EK, G, 4, -33, -33, -22
9NVS33, R, 3, -33, -33, -22
K2UCHL, G, 2, -33, -33, -16
F4P832, B, 3, inf, -33, -16
3WSZG0, G, 4, -33, -33, -16
F4P832, B, 3, -33, -33, -16
K2UCHL, G, 2, -33, -33, -16
F4P832, G, 3, inf, -33, -16
3WSZG0, B, 4, -11, -33, -16
F4P832, G, 3, -11, -33, -16
3WSZG0, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
5T5FB6, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
5T5FB6, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
9NVS33, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
9NVS33, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
HUGCH7, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
K43M77, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
K43M77, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
ZZXXNN, B, 4, -11, -33, -16
F4P832, G, 3, -16, -33, -16
ZZXXNN, R, 4, -16, -33, -16
F4P832, G, 3, -16, -33, -16
K2UCHL, G, 2, -16, -33, -16
9KY7VW, B, 1, -16, -inf, -16
6XIYSR, G, 0, -16, -16, inf
9KY7VW, R, 1, inf, -16, inf
9NVS33, B, 2, -inf, -16, inf
2GZ2EK, G, 3, inf, -16, inf
3WSZG0, B, 4, 0, -16, inf
2GZ2EK, G, 3, 0, -16, 0
3WSZG0, R, 4, -5, -16, 0
2GZ2EK, G, 3, -5, -16, -5
F4P832, B, 4, 0, -16, -5
2GZ2EK, G, 3, -5, -16, -5
F4P832, G, 4, -11, -16, -5
2GZ2EK, G, 3, -11, -16, -11
HUGCH7, B, 4, 0, -16, -11
2GZ2EK, G, 3, -11, -16, -11
HUGCH7, G, 4, -11, -16, -11
2GZ2EK, G, 3, -11, -16, -11
K2UCHL, B, 4, 0, -16, -11
2GZ2EK, G, 3, -11, -16, -11
K2UCHL, G, 4, -11, -16, -11
2GZ2EK, G, 3, -11, -16, -11
K43M77, R, 4, -5, -16, -11
2GZ2EK, G, 3, -11, -16, -11
MIAG3R, B, 4, 0, -16, -11
2GZ2EK, G, 3, -11, -16, -11
MIAG3R, R, 4, -5, -16, -11
2GZ2EK, G, 3, -11, -16, -11
Q0OK79, B, 4, 0, -16, -11
2GZ2EK, G, 3, -11, -16, -11
Q0OK79, R, 4, -5, -16, -11
2GZ2EK, G, 3, -11, -16, -11
YHR68H, B, 4, 0, -16, -11
2GZ2EK, G, 3, -11, -16, -11
YHR68H, R, 4, -5, -16, -11
2GZ2EK, G, 3, -11, -16, -11
ZZXXNN, G, 4, -11, -16, -11
2GZ2EK, G, 3, -11, -16, -11
ZZXXNN, R, 4, -5, -16, -11
2GZ2EK, G, 3, -11, -16, -11
9NVS33, B, 2, -11, -11, inf
2GZ2EK, R, 3, inf, -11, inf
3WSZG0, B, 4, -11, -11, inf
2GZ2EK, R, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
F4P832, B, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
F4P832, B, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
F4P832, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
F4P832, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
HUGCH7, B, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
HUGCH7, B, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
HUGCH7, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
HUGCH7, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
K2UCHL, B, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
K2UCHL, B, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
K2UCHL, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
K2UCHL, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
K43M77, G, 3, inf, -11, inf
2GZ2EK, R, 4, -5, -11, inf
K43M77, G, 3, -5, -11, -5
3WSZG0, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
3WSZG0, R, 4, -5, -11, -5
K43M77, G, 3, -5, -11, -5
5T5FB6, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
5T5FB6, R, 4, -5, -11, -5
K43M77, G, 3, -5, -11, -5
F4P832, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
F4P832, G, 4, -11, -11, -5
